"opt/step","C4H4-new-1-6.0-1-106192 - _step","C4H4-new-1-6.0-1-106192 - _step__MIN","C4H4-new-1-6.0-1-106192 - _step__MAX","C4H4-new-1-6.0-1-106192 - opt/E_smooth","C4H4-new-1-6.0-1-106192 - opt/E_smooth__MIN","C4H4-new-1-6.0-1-106192 - opt/E_smooth__MAX","C4H4-new-1-3.0-8-106026 - _step","C4H4-new-1-3.0-8-106026 - _step__MIN","C4H4-new-1-3.0-8-106026 - _step__MAX","C4H4-new-1-3.0-8-106026 - opt/E_smooth","C4H4-new-1-3.0-8-106026 - opt/E_smooth__MIN","C4H4-new-1-3.0-8-106026 - opt/E_smooth__MAX","C4H4-new-1-6.0-9-106026 - _step","C4H4-new-1-6.0-9-106026 - _step__MIN","C4H4-new-1-6.0-9-106026 - _step__MAX","C4H4-new-1-6.0-9-106026 - opt/E_smooth","C4H4-new-1-6.0-9-106026 - opt/E_smooth__MIN","C4H4-new-1-6.0-9-106026 - opt/E_smooth__MAX","C4H4-moon-2-5.0-3-104963 - _step","C4H4-moon-2-5.0-3-104963 - _step__MIN","C4H4-moon-2-5.0-3-104963 - _step__MAX","C4H4-moon-2-5.0-3-104963 - opt/E_smooth","C4H4-moon-2-5.0-3-104963 - opt/E_smooth__MIN","C4H4-moon-2-5.0-3-104963 - opt/E_smooth__MAX"
"1950","","","","","","","3450","3450","3450","-154.65474204038964","-154.65474204038964","-154.65474204038964","3450","3450","3450","-154.67590699807192","-154.67590699807192","-154.67590699807192","3450","3450","3450","-154.6864533253205","-154.6864533253205","-154.6864533253205"
"1951","","","","","","","3451","3451","3451","-154.65478093073918","-154.65478093073918","-154.65478093073918","3451","3451","3451","-154.67583923339845","-154.67583923339845","-154.67583923339845","3451","3451","3451","-154.68655771108774","-154.68655771108774","-154.68655771108774"
"1952","","","","","","","3452","3452","3452","-154.65481614332933","-154.65481614332933","-154.65481614332933","3452","3452","3452","-154.67582076635117","-154.67582076635117","-154.67582076635117","3452","3452","3452","-154.68659206292568","-154.68659206292568","-154.68659206292568"
"1953","","","","","","","3453","3453","3453","-154.65504079965444","-154.65504079965444","-154.65504079965444","3453","3453","3453","-154.67589150453225","-154.67589150453225","-154.67589150453225","3453","3453","3453","-154.68665341108274","-154.68665341108274","-154.68665341108274"
"1954","","","","","","","3454","3454","3454","-154.6550084040715","-154.6550084040715","-154.6550084040715","3454","3454","3454","-154.6759019900591","-154.6759019900591","-154.6759019900591","3454","3454","3454","-154.68670075245393","-154.68670075245393","-154.68670075245393"
"1955","","","","","","","3455","3455","3455","-154.65502006335137","-154.65502006335137","-154.65502006335137","3455","3455","3455","-154.67596748547678","-154.67596748547678","-154.67596748547678","3455","3455","3455","-154.6867404253055","-154.6867404253055","-154.6867404253055"
"1956","","","","","","","3456","3456","3456","-154.65509009728066","-154.65509009728066","-154.65509009728066","3456","3456","3456","-154.6760466746795","-154.6760466746795","-154.6760466746795","3456","3456","3456","-154.68661788549178","-154.68661788549178","-154.68661788549178"
"1957","","","","","","","3457","3457","3457","-154.6552497276893","-154.6552497276893","-154.6552497276893","3457","3457","3457","-154.67611991686698","-154.67611991686698","-154.67611991686698","3457","3457","3457","-154.68665411533453","-154.68665411533453","-154.68665411533453"
"1958","","","","","","","3458","3458","3458","-154.65550184983474","-154.65550184983474","-154.65550184983474","3458","3458","3458","-154.67615434695512","-154.67615434695512","-154.67615434695512","3458","3458","3458","-154.68674199030949","-154.68674199030949","-154.68674199030949"
"1959","","","","","","","3459","3459","3459","-154.65557626577524","-154.65557626577524","-154.65557626577524","3459","3459","3459","-154.6762468386919","-154.6762468386919","-154.6762468386919","3459","3459","3459","-154.68665841909555","-154.68665841909555","-154.68665841909555"
"1960","","","","","","","3460","3460","3460","-154.65558748829122","-154.65558748829122","-154.65558748829122","3460","3460","3460","-154.67631297208825","-154.67631297208825","-154.67631297208825","3460","3460","3460","-154.68657186079997","-154.68657186079997","-154.68657186079997"
"1961","","","","","","","3461","3461","3461","-154.6557854632942","-154.6557854632942","-154.6557854632942","3461","3461","3461","-154.67639767393774","-154.67639767393774","-154.67639767393774","3461","3461","3461","-154.68634056558415","-154.68634056558415","-154.68634056558415"
"1962","","","","","","","3462","3462","3462","-154.65601831552934","-154.65601831552934","-154.65601831552934","3462","3462","3462","-154.6766071708835","-154.6766071708835","-154.6766071708835","3462","3462","3462","-154.68623858082051","-154.68623858082051","-154.68623858082051"
"1963","","","","","","","3463","3463","3463","-154.65618117974728","-154.65618117974728","-154.65618117974728","3463","3463","3463","-154.67662040554748","-154.67662040554748","-154.67662040554748","3463","3463","3463","-154.6861411892638","-154.6861411892638","-154.6861411892638"
"1964","","","","","","","3464","3464","3464","-154.65631274787748","-154.65631274787748","-154.65631274787748","3464","3464","3464","-154.6766471862793","-154.6766471862793","-154.6766471862793","3464","3464","3464","-154.6860672308474","-154.6860672308474","-154.6860672308474"
"1965","","","","","","","3465","3465","3465","-154.65637790913485","-154.65637790913485","-154.65637790913485","3465","3465","3465","-154.67687770298548","-154.67687770298548","-154.67687770298548","3465","3465","3465","-154.68613947654256","-154.68613947654256","-154.68613947654256"
"1966","","","","","","","3466","3466","3466","-154.65645638290718","-154.65645638290718","-154.65645638290718","3466","3466","3466","-154.67710347078284","-154.67710347078284","-154.67710347078284","3466","3466","3466","-154.68619833187182","-154.68619833187182","-154.68619833187182"
"1967","","","","","","","3467","3467","3467","-154.65637884334643","-154.65637884334643","-154.65637884334643","3467","3467","3467","-154.6772302900042","-154.6772302900042","-154.6772302900042","3467","3467","3467","-154.6860248020717","-154.6860248020717","-154.6860248020717"
"1968","","","","","","","3468","3468","3468","-154.65651477113062","-154.65651477113062","-154.65651477113062","3468","3468","3468","-154.67747871243225","-154.67747871243225","-154.67747871243225","3468","3468","3468","-154.6859968535754","-154.6859968535754","-154.6859968535754"
"1969","","","","","","","3469","3469","3469","-154.65675112665917","-154.65675112665917","-154.65675112665917","3469","3469","3469","-154.67768766442123","-154.67768766442123","-154.67768766442123","3469","3469","3469","-154.68602005316288","-154.68602005316288","-154.68602005316288"
"1970","","","","","","","3470","3470","3470","-154.65685392273258","-154.65685392273258","-154.65685392273258","3470","3470","3470","-154.67789765178856","-154.67789765178856","-154.67789765178856","3470","3470","3470","-154.6860463098826","-154.6860463098826","-154.6860463098826"
"1971","","","","","","","3471","3471","3471","-154.6569767676029","-154.6569767676029","-154.6569767676029","3471","3471","3471","-154.67805558412815","-154.67805558412815","-154.67805558412815","3471","3471","3471","-154.686105873379","-154.686105873379","-154.686105873379"
"1972","","","","","","","3472","3472","3472","-154.65700860192933","-154.65700860192933","-154.65700860192933","3472","3472","3472","-154.67816262801892","-154.67816262801892","-154.67816262801892","3472","3472","3472","-154.6861786818141","-154.6861786818141","-154.6861786818141"
"1973","","","","","","","3473","3473","3473","-154.65709124724876","-154.65709124724876","-154.65709124724876","3473","3473","3473","-154.67844952423562","-154.67844952423562","-154.67844952423562","3473","3473","3473","-154.68630152668445","-154.68630152668445","-154.68630152668445"
"1974","","","","","","","3474","3474","3474","-154.65704260501764","-154.65704260501764","-154.65704260501764","3474","3474","3474","-154.678591887963","-154.678591887963","-154.678591887963","3474","3474","3474","-154.68627813503826","-154.68627813503826","-154.68627813503826"
"1975","","","","","","","3475","3475","3475","-154.6571364039697","-154.6571364039697","-154.6571364039697","3475","3475","3475","-154.67879350536367","-154.67879350536367","-154.67879350536367","3475","3475","3475","-154.68629556258924","-154.68629556258924","-154.68629556258924"
"1976","","","","","","","3476","3476","3476","-154.65721602851363","-154.65721602851363","-154.65721602851363","3476","3476","3476","-154.67902873857372","-154.67902873857372","-154.67902873857372","3476","3476","3476","-154.68629788626268","-154.68629788626268","-154.68629788626268"
"1977","","","","","","","3477","3477","3477","-154.65723841323467","-154.65723841323467","-154.65723841323467","3477","3477","3477","-154.67930680483127","-154.67930680483127","-154.67930680483127","3477","3477","3477","-154.68637100452094","-154.68637100452094","-154.68637100452094"
"1978","","","","","","","3478","3478","3478","-154.65728295030934","-154.65728295030934","-154.65728295030934","3478","3478","3478","-154.6796112060547","-154.6796112060547","-154.6796112060547","3478","3478","3478","-154.68639416379978","-154.68639416379978","-154.68639416379978"
"1979","","","","","","","3479","3479","3479","-154.65741826556055","-154.65741826556055","-154.65741826556055","3479","3479","3479","-154.67987199967283","-154.67987199967283","-154.67987199967283","3479","3479","3479","-154.68641763290174","-154.68641763290174","-154.68641763290174"
"1980","","","","","","","3480","3480","3480","-154.6574557525943","-154.6574557525943","-154.6574557525943","3480","3480","3480","-154.68004045582782","-154.68004045582782","-154.68004045582782","3480","3480","3480","-154.68643704809324","-154.68643704809324","-154.68643704809324"
"1981","","","","","","","3481","3481","3481","-154.65760787809737","-154.65760787809737","-154.65760787809737","3481","3481","3481","-154.6803286003344","-154.6803286003344","-154.6803286003344","3481","3481","3481","-154.68642571959833","-154.68642571959833","-154.68642571959833"
"1982","","","","","","","3482","3482","3482","-154.6576946528271","-154.6576946528271","-154.6576946528271","3482","3482","3482","-154.6806411743164","-154.6806411743164","-154.6806411743164","3482","3482","3482","-154.68631520897452","-154.68631520897452","-154.68631520897452"
"1983","","","","","","","3483","3483","3483","-154.65765974256726","-154.65765974256726","-154.65765974256726","3483","3483","3483","-154.6808140301945","-154.6808140301945","-154.6808140301945","3483","3483","3483","-154.68619814786044","-154.68619814786044","-154.68619814786044"
"1984","","","","","","","3484","3484","3484","-154.65746769760594","-154.65746769760594","-154.65746769760594","3484","3484","3484","-154.68097270618784","-154.68097270618784","-154.68097270618784","3484","3484","3484","-154.68618019181068","-154.68618019181068","-154.68618019181068"
"1985","","","","","","","3485","3485","3485","-154.65764918471828","-154.65764918471828","-154.65764918471828","3485","3485","3485","-154.6812075990619","-154.6812075990619","-154.6812075990619","3485","3485","3485","-154.6860307635683","-154.6860307635683","-154.6860307635683"
"1986","","","","","","","3486","3486","3486","-154.65776462747593","-154.65776462747593","-154.65776462747593","3486","3486","3486","-154.6813726714163","-154.6813726714163","-154.6813726714163","3486","3486","3486","-154.68591547493983","-154.68591547493983","-154.68591547493983"
"1987","","","","","","","3487","3487","3487","-154.65784346455274","-154.65784346455274","-154.65784346455274","3487","3487","3487","-154.68161712029968","-154.68161712029968","-154.68161712029968","3487","3487","3487","-154.68580126521564","-154.68580126521564","-154.68580126521564"
"1988","","","","","","","3488","3488","3488","-154.65800283412742","-154.65800283412742","-154.65800283412742","3488","3488","3488","-154.6817617705374","-154.6817617705374","-154.6817617705374","3488","3488","3488","-154.68570308492642","-154.68570308492642","-154.68570308492642"
"1989","","","","","","","3489","3489","3489","-154.65817206796973","-154.65817206796973","-154.65817206796973","3489","3489","3489","-154.68190218222261","-154.68190218222261","-154.68190218222261","3489","3489","3489","-154.68566516914754","-154.68566516914754","-154.68566516914754"
"1990","","","","","","","3490","3490","3490","-154.65835555953595","-154.65835555953595","-154.65835555953595","3490","3490","3490","-154.68198444615658","-154.68198444615658","-154.68198444615658","3490","3490","3490","-154.68572760347146","-154.68572760347146","-154.68572760347146"
"1991","","","","","","","3491","3491","3491","-154.65833324643236","-154.65833324643236","-154.65833324643236","3491","3491","3491","-154.68200507235886","-154.68200507235886","-154.68200507235886","3491","3491","3491","-154.68576885587606","-154.68576885587606","-154.68576885587606"
"1992","","","","","","","3492","3492","3492","-154.658428786388","-154.658428786388","-154.658428786388","3492","3492","3492","-154.68216371775873","-154.68216371775873","-154.68216371775873","3492","3492","3492","-154.68587436388486","-154.68587436388486","-154.68587436388486"
"1993","","","","","","","3493","3493","3493","-154.65841122727898","-154.65841122727898","-154.65841122727898","3493","3493","3493","-154.68233716188362","-154.68233716188362","-154.68233716188362","3493","3493","3493","-154.68599681758403","-154.68599681758403","-154.68599681758403"
"1994","","","","","","","3494","3494","3494","-154.65841628798287","-154.65841628798287","-154.65841628798287","3494","3494","3494","-154.68239428649596","-154.68239428649596","-154.68239428649596","3494","3494","3494","-154.6860907473157","-154.6860907473157","-154.6860907473157"
"1995","","","","","","","3495","3495","3495","-154.65832626879515","-154.65832626879515","-154.65832626879515","3495","3495","3495","-154.682599628391","-154.682599628391","-154.682599628391","3495","3495","3495","-154.68604297733785","-154.68604297733785","-154.68604297733785"
"1996","","","","","","","3496","3496","3496","-154.65834237103485","-154.65834237103485","-154.65834237103485","3496","3496","3496","-154.6826061459642","-154.6826061459642","-154.6826061459642","3496","3496","3496","-154.6859950540054","-154.6859950540054","-154.6859950540054"
"1997","","","","","","","3497","3497","3497","-154.6585142049358","-154.6585142049358","-154.6585142049358","3497","3497","3497","-154.68265598622997","-154.68265598622997","-154.68265598622997","3497","3497","3497","-154.6860659038601","-154.6860659038601","-154.6860659038601"
"1998","","","","","","","3498","3498","3498","-154.65851865222106","-154.65851865222106","-154.65851865222106","3498","3498","3498","-154.6827539031829","-154.6827539031829","-154.6827539031829","3498","3498","3498","-154.68605846615893","-154.68605846615893","-154.68605846615893"
"1999","","","","","","","3499","3499","3499","-154.6586146522407","-154.6586146522407","-154.6586146522407","3499","3499","3499","-154.68268113639488","-154.68268113639488","-154.68268113639488","3499","3499","3499","-154.68599099010677","-154.68599099010677","-154.68599099010677"
"2000","","","","","","","3500","3500","3500","-154.6586791229248","-154.6586791229248","-154.6586791229248","3500","3500","3500","-154.68256332397462","-154.68256332397462","-154.68256332397462","3500","3500","3500","-154.68590850830077","-154.68590850830077","-154.68590850830077"
"2001","","","","","","","3501","3501","3501","-154.65879676818847","-154.65879676818847","-154.65879676818847","3501","3501","3501","-154.68266708374023","-154.68266708374023","-154.68266708374023","3501","3501","3501","-154.6857551574707","-154.6857551574707","-154.6857551574707"
"2002","","","","","","","3502","3502","3502","-154.65909072875976","-154.65909072875976","-154.65909072875976","3502","3502","3502","-154.68287048339843","-154.68287048339843","-154.68287048339843","3502","3502","3502","-154.68571838378907","-154.68571838378907","-154.68571838378907"
"2003","","","","","","","3503","3503","3503","-154.65907157897948","-154.65907157897948","-154.65907157897948","3503","3503","3503","-154.68307106018065","-154.68307106018065","-154.68307106018065","3503","3503","3503","-154.68556343078615","-154.68556343078615","-154.68556343078615"
"2004","","","","","","","3504","3504","3504","-154.65910270690918","-154.65910270690918","-154.65910270690918","3504","3504","3504","-154.6833560180664","-154.6833560180664","-154.6833560180664","3504","3504","3504","-154.6854049682617","-154.6854049682617","-154.6854049682617"
"2005","","","","","","","3505","3505","3505","-154.65904472351073","-154.65904472351073","-154.65904472351073","3505","3505","3505","-154.68358779907226","-154.68358779907226","-154.68358779907226","3505","3505","3505","-154.68526489257812","-154.68526489257812","-154.68526489257812"
"2006","","","","","","","3506","3506","3506","-154.65907402038573","-154.65907402038573","-154.65907402038573","3506","3506","3506","-154.68383850097655","-154.68383850097655","-154.68383850097655","3506","3506","3506","-154.68511665344238","-154.68511665344238","-154.68511665344238"
"2007","","","","","","","3507","3507","3507","-154.6591891479492","-154.6591891479492","-154.6591891479492","3507","3507","3507","-154.68389236450196","-154.68389236450196","-154.68389236450196","3507","3507","3507","-154.6849080657959","-154.6849080657959","-154.6849080657959"
"2008","","","","","","","3508","3508","3508","-154.65933715820313","-154.65933715820313","-154.65933715820313","3508","3508","3508","-154.6839102935791","-154.6839102935791","-154.6839102935791","3508","3508","3508","-154.68465660095214","-154.68465660095214","-154.68465660095214"
"2009","","","","","","","3509","3509","3509","-154.65934219360352","-154.65934219360352","-154.65934219360352","3509","3509","3509","-154.68395820617675","-154.68395820617675","-154.68395820617675","3509","3509","3509","-154.6846484375","-154.6846484375","-154.6846484375"
"2010","","","","","","","3510","3510","3510","-154.65934100554358","-154.65934100554358","-154.65934100554358","3510","3510","3510","-154.683905378503","-154.683905378503","-154.683905378503","3510","3510","3510","-154.68457160304436","-154.68457160304436","-154.68457160304436"
"2011","","","","","","","3511","3511","3511","-154.65946110208236","-154.65946110208236","-154.65946110208236","3511","3511","3511","-154.68397096852166","-154.68397096852166","-154.68397096852166","3511","3511","3511","-154.68442698616295","-154.68442698616295","-154.68442698616295"
"2012","","","","","","","3512","3512","3512","-154.65925742381842","-154.65925742381842","-154.65925742381842","3512","3512","3512","-154.68405872553734","-154.68405872553734","-154.68405872553734","3512","3512","3512","-154.68432920844992","-154.68432920844992","-154.68432920844992"
"2013","","","","","","","3513","3513","3513","-154.65930373158622","-154.65930373158622","-154.65930373158622","3513","3513","3513","-154.68425063707343","-154.68425063707343","-154.68425063707343","3513","3513","3513","-154.68412067166608","-154.68412067166608","-154.68412067166608"
"2014","","","","","","","3514","3514","3514","-154.6592529448704","-154.6592529448704","-154.6592529448704","3514","3514","3514","-154.68439229329428","-154.68439229329428","-154.68439229329428","3514","3514","3514","-154.68401249368392","-154.68401249368392","-154.68401249368392"
"2015","","","","","","","3515","3515","3515","-154.65931306905415","-154.65931306905415","-154.65931306905415","3515","3515","3515","-154.68444725530065","-154.68444725530065","-154.68444725530065","3515","3515","3515","-154.6838589948208","-154.6838589948208","-154.6838589948208"
"2016","","","","","","","3516","3516","3516","-154.65922508429531","-154.65922508429531","-154.65922508429531","3516","3516","3516","-154.6845620378333","-154.6845620378333","-154.6845620378333","3516","3516","3516","-154.6837072419883","-154.6837072419883","-154.6837072419883"
"2017","","","","","","","3517","3517","3517","-154.65920071578145","-154.65920071578145","-154.65920071578145","3517","3517","3517","-154.6846874483782","-154.6846874483782","-154.6846874483782","3517","3517","3517","-154.6835911689113","-154.6835911689113","-154.6835911689113"
"2018","","","","","","","3518","3518","3518","-154.65916943905958","-154.65916943905958","-154.65916943905958","3518","3518","3518","-154.68481604732685","-154.68481604732685","-154.68481604732685","3518","3518","3518","-154.683509181388","-154.683509181388","-154.683509181388"
"2019","","","","","","","3519","3519","3519","-154.65911948740185","-154.65911948740185","-154.65911948740185","3519","3519","3519","-154.68493439783504","-154.68493439783504","-154.68493439783504","3519","3519","3519","-154.68347448851932","-154.68347448851932","-154.68347448851932"
"2020","","","","","","","3520","3520","3520","-154.65915128500154","-154.65915128500154","-154.65915128500154","3520","3520","3520","-154.68503865157024","-154.68503865157024","-154.68503865157024","3520","3520","3520","-154.6833188651812","-154.6833188651812","-154.6833188651812"
"2021","","","","","","","3521","3521","3521","-154.65907310259223","-154.65907310259223","-154.65907310259223","3521","3521","3521","-154.68503041786724","-154.68503041786724","-154.68503041786724","3521","3521","3521","-154.6831892410127","-154.6831892410127","-154.6831892410127"
"2022","","","","","","","3522","3522","3522","-154.6589844958617","-154.6589844958617","-154.6589844958617","3522","3522","3522","-154.68508964009806","-154.68508964009806","-154.68508964009806","3522","3522","3522","-154.6831450509553","-154.6831450509553","-154.6831450509553"
"2023","","","","","","","3523","3523","3523","-154.65885373861482","-154.65885373861482","-154.65885373861482","3523","3523","3523","-154.68522258796315","-154.68522258796315","-154.68522258796315","3523","3523","3523","-154.6830782748685","-154.6830782748685","-154.6830782748685"
"2024","","","","","","","3524","3524","3524","-154.65878839776067","-154.65878839776067","-154.65878839776067","3524","3524","3524","-154.6852988063699","-154.6852988063699","-154.6852988063699","3524","3524","3524","-154.68291767989055","-154.68291767989055","-154.68291767989055"
"2025","","","","","","","3525","3525","3525","-154.65884746891436","-154.65884746891436","-154.65884746891436","3525","3525","3525","-154.6853889994102","-154.6853889994102","-154.6853889994102","3525","3525","3525","-154.68290695341506","-154.68290695341506","-154.68290695341506"
"2026","","","","","","","3526","3526","3526","-154.6589792837011","-154.6589792837011","-154.6589792837011","3526","3526","3526","-154.68548810600055","-154.68548810600055","-154.68548810600055","3526","3526","3526","-154.6828938097057","-154.6828938097057","-154.6828938097057"
"2027","","","","","","","3527","3527","3527","-154.6590960663144","-154.6590960663144","-154.6590960663144","3527","3527","3527","-154.68548515999672","-154.68548515999672","-154.68548515999672","3527","3527","3527","-154.6828827055374","-154.6828827055374","-154.6828827055374"
"2028","","","","","","","3528","3528","3528","-154.65931860291133","-154.65931860291133","-154.65931860291133","3528","3528","3528","-154.68549044769588","-154.68549044769588","-154.68549044769588","3528","3528","3528","-154.68278563848816","-154.68278563848816","-154.68278563848816"
"2029","","","","","","","3529","3529","3529","-154.6593156569075","-154.6593156569075","-154.6593156569075","3529","3529","3529","-154.68554340022627","-154.68554340022627","-154.68554340022627","3529","3529","3529","-154.6827143300878","-154.6827143300878","-154.6827143300878"
"2030","","","","","","","3530","3530","3530","-154.6593019081454","-154.6593019081454","-154.6593019081454","3530","3530","3530","-154.6856717264711","-154.6856717264711","-154.6856717264711","3530","3530","3530","-154.68269874309672","-154.68269874309672","-154.68269874309672"
"2031","","","","","","","3531","3531","3531","-154.6594321716008","-154.6594321716008","-154.6594321716008","3531","3531","3531","-154.68581709838267","-154.68581709838267","-154.68581709838267","3531","3531","3531","-154.68262868796663","-154.68262868796663","-154.68262868796663"
"2032","","","","","","","3532","3532","3532","-154.6594510383794","-154.6594510383794","-154.6594510383794","3532","3532","3532","-154.68574817074932","-154.68574817074932","-154.68574817074932","3532","3532","3532","-154.68249338835918","-154.68249338835918","-154.68249338835918"
"2033","","","","","","","3533","3533","3533","-154.6596261762046","-154.6596261762046","-154.6596261762046","3533","3533","3533","-154.68577658366686","-154.68577658366686","-154.68577658366686","3533","3533","3533","-154.68245715813097","-154.68245715813097","-154.68245715813097"
"2034","","","","","","","3534","3534","3534","-154.65959994311405","-154.65959994311405","-154.65959994311405","3534","3534","3534","-154.68584370730545","-154.68584370730545","-154.68584370730545","3534","3534","3534","-154.6824160420836","-154.6824160420836","-154.6824160420836"
"2035","","","","","","","3535","3535","3535","-154.65957416102216","-154.65957416102216","-154.65957416102216","3535","3535","3535","-154.6859217300791","-154.6859217300791","-154.6859217300791","3535","3535","3535","-154.68239416864705","-154.68239416864705","-154.68239416864705"
"2036","","","","","","","3536","3536","3536","-154.65956837320562","-154.65956837320562","-154.65956837320562","3536","3536","3536","-154.68610370805112","-154.68610370805112","-154.68610370805112","3536","3536","3536","-154.68236132090902","-154.68236132090902","-154.68236132090902"
"2037","","","","","","","3537","3537","3537","-154.6596368498403","-154.6596368498403","-154.6596368498403","3537","3537","3537","-154.68633973069967","-154.68633973069967","-154.68633973069967","3537","3537","3537","-154.6823603437452","-154.6823603437452","-154.6823603437452"
"2038","","","","","","","3538","3538","3538","-154.6597262979141","-154.6597262979141","-154.6597262979141","3538","3538","3538","-154.6866241605411","-154.6866241605411","-154.6866241605411","3538","3538","3538","-154.6821052288187","-154.6821052288187","-154.6821052288187"
"2039","","","","","","","3539","3539","3539","-154.659815595655","-154.659815595655","-154.659815595655","3539","3539","3539","-154.68690137440348","-154.68690137440348","-154.68690137440348","3539","3539","3539","-154.68208997002964","-154.68208997002964","-154.68208997002964"
"2040","","","","","","","3540","3540","3540","-154.65990620033415","-154.65990620033415","-154.65990620033415","3540","3540","3540","-154.68696055692786","-154.68696055692786","-154.68696055692786","3540","3540","3540","-154.68200907987708","-154.68200907987708","-154.68200907987708"
"2041","","","","","","","3541","3541","3541","-154.65991555008233","-154.65991555008233","-154.65991555008233","3541","3541","3541","-154.68706093582452","-154.68706093582452","-154.68706093582452","3541","3541","3541","-154.68195926441865","-154.68195926441865","-154.68195926441865"
"2042","","","","","","","3542","3542","3542","-154.65998406503715","-154.65998406503715","-154.65998406503715","3542","3542","3542","-154.68715996835746","-154.68715996835746","-154.68715996835746","3542","3542","3542","-154.68194437961952","-154.68194437961952","-154.68194437961952"
"2043","","","","","","","3543","3543","3543","-154.65996731028838","-154.65996731028838","-154.65996731028838","3543","3543","3543","-154.68726842543657","-154.68726842543657","-154.68726842543657","3543","3543","3543","-154.68205119114296","-154.68205119114296","-154.68205119114296"
"2044","","","","","","","3544","3544","3544","-154.65987500957414","-154.65987500957414","-154.65987500957414","3544","3544","3544","-154.68735077801873","-154.68735077801873","-154.68735077801873","3544","3544","3544","-154.68227573469574","-154.68227573469574","-154.68227573469574"
"2045","","","","","","","3545","3545","3545","-154.6597827836579","-154.6597827836579","-154.6597827836579","3545","3545","3545","-154.68749371696921","-154.68749371696921","-154.68749371696921","3545","3545","3545","-154.68251299390604","-154.68251299390604","-154.68251299390604"
"2046","","","","","","","3546","3546","3546","-154.65971352072324","-154.65971352072324","-154.65971352072324","3546","3546","3546","-154.68749655929267","-154.68749655929267","-154.68749655929267","3546","3546","3546","-154.68256138820274","-154.68256138820274","-154.68256138820274"
"2047","","","","","","","3547","3547","3547","-154.65966931511375","-154.65966931511375","-154.65966931511375","3547","3547","3547","-154.68757614434935","-154.68757614434935","-154.68757614434935","3547","3547","3547","-154.68264957502777","-154.68264957502777","-154.68264957502777"
"2048","","","","","","","3548","3548","3548","-154.65975967108034","-154.65975967108034","-154.65975967108034","3548","3548","3548","-154.6875607359643","-154.6875607359643","-154.6875607359643","3548","3548","3548","-154.68268704881856","-154.68268704881856","-154.68268704881856"
"2049","","","","","","","3549","3549","3549","-154.65979093663833","-154.65979093663833","-154.65979093663833","3549","3549","3549","-154.68765595379998","-154.68765595379998","-154.68765595379998","3549","3549","3549","-154.68265039780562","-154.68265039780562","-154.68265039780562"
"2050","","","","","","","3550","3550","3550","-154.6598550936071","-154.6598550936071","-154.6598550936071","3550","3550","3550","-154.68768571062785","-154.68768571062785","-154.68768571062785","3550","3550","3550","-154.68266229396914","-154.68266229396914","-154.68266229396914"
"2051","","","","","","","3551","3551","3551","-154.659804925686","-154.659804925686","-154.659804925686","3551","3551","3551","-154.68783695872236","-154.68783695872236","-154.68783695872236","3551","3551","3551","-154.6827932962557","-154.6827932962557","-154.6827932962557"
"2052","","","","","","","3552","3552","3552","-154.65987809344037","-154.65987809344037","-154.65987809344037","3552","3552","3552","-154.68797525545446","-154.68797525545446","-154.68797525545446","3552","3552","3552","-154.68280967154155","-154.68280967154155","-154.68280967154155"
"2053","","","","","","","3553","3553","3553","-154.66001944193025","-154.66001944193025","-154.66001944193025","3553","3553","3553","-154.68815672339463","-154.68815672339463","-154.68815672339463","3553","3553","3553","-154.68296687428546","-154.68296687428546","-154.68296687428546"
"2054","","","","","","","3554","3554","3554","-154.66006075231041","-154.66006075231041","-154.66006075231041","3554","3554","3554","-154.68832449564118","-154.68832449564118","-154.68832449564118","3554","3554","3554","-154.68300103908632","-154.68300103908632","-154.68300103908632"
"2055","","","","","","","3555","3555","3555","-154.6601488811214","-154.6601488811214","-154.6601488811214","3555","3555","3555","-154.68842959520293","-154.68842959520293","-154.68842959520293","3555","3555","3555","-154.68296374809452","-154.68296374809452","-154.68296374809452"
"2056","","","","","","","3556","3556","3556","-154.66019108469894","-154.66019108469894","-154.66019108469894","3556","3556","3556","-154.68848110292015","-154.68848110292015","-154.68848110292015","3556","3556","3556","-154.68298860875572","-154.68298860875572","-154.68298860875572"
"2057","","","","","","","3557","3557","3557","-154.66026187059356","-154.66026187059356","-154.66026187059356","3557","3557","3557","-154.6885524098466","-154.6885524098466","-154.6885524098466","3557","3557","3557","-154.68283296910727","-154.68283296910727","-154.68283296910727"
"2058","","","","","","","3558","3558","3558","-154.6602505567597","-154.6602505567597","-154.6602505567597","3558","3558","3558","-154.68851995700743","-154.68851995700743","-154.68851995700743","3558","3558","3558","-154.6828364674638","-154.6828364674638","-154.6828364674638"
"2059","","","","","","","3559","3559","3559","-154.6604624678449","-154.6604624678449","-154.6604624678449","3559","3559","3559","-154.68848147508575","-154.68848147508575","-154.68848147508575","3559","3559","3559","-154.6829327839177","-154.6829327839177","-154.6829327839177"
"2060","","","","","","","3560","3560","3560","-154.66060527320047","-154.66060527320047","-154.66060527320047","3560","3560","3560","-154.68846278514678","-154.68846278514678","-154.68846278514678","3560","3560","3560","-154.6829621398333","-154.6829621398333","-154.6829621398333"
"2061","","","","","","","3561","3561","3561","-154.66058349609375","-154.66058349609375","-154.66058349609375","3561","3561","3561","-154.68847982165883","-154.68847982165883","-154.68847982165883","3561","3561","3561","-154.68301791589238","-154.68301791589238","-154.68301791589238"
