"opt/step","C4H4-new-1-6.0-1-106192 - _step","C4H4-new-1-6.0-1-106192 - _step__MIN","C4H4-new-1-6.0-1-106192 - _step__MAX","C4H4-new-1-6.0-1-106192 - opt/E_smooth","C4H4-new-1-6.0-1-106192 - opt/E_smooth__MIN","C4H4-new-1-6.0-1-106192 - opt/E_smooth__MAX","C4H4-new-1-3.0-8-106026 - _step","C4H4-new-1-3.0-8-106026 - _step__MIN","C4H4-new-1-3.0-8-106026 - _step__MAX","C4H4-new-1-3.0-8-106026 - opt/E_smooth","C4H4-new-1-3.0-8-106026 - opt/E_smooth__MIN","C4H4-new-1-3.0-8-106026 - opt/E_smooth__MAX","C4H4-new-1-6.0-9-106026 - _step","C4H4-new-1-6.0-9-106026 - _step__MIN","C4H4-new-1-6.0-9-106026 - _step__MAX","C4H4-new-1-6.0-9-106026 - opt/E_smooth","C4H4-new-1-6.0-9-106026 - opt/E_smooth__MIN","C4H4-new-1-6.0-9-106026 - opt/E_smooth__MAX","C4H4-moon-2-5.0-3-104963 - _step","C4H4-moon-2-5.0-3-104963 - _step__MIN","C4H4-moon-2-5.0-3-104963 - _step__MAX","C4H4-moon-2-5.0-3-104963 - opt/E_smooth","C4H4-moon-2-5.0-3-104963 - opt/E_smooth__MIN","C4H4-moon-2-5.0-3-104963 - opt/E_smooth__MAX"
"17","1517","1517","1517","-148.318603515625","-148.318603515625","-148.318603515625","1517","1517","1517","-149.10104370117188","-149.10104370117188","-149.10104370117188","1517","1517","1517","-150.13954162597656","-150.13954162597656","-150.13954162597656","1517","1517","1517","-151.27154541015625","-151.27154541015625","-151.27154541015625"
"18","1518","1518","1518","-148.34393310546875","-148.34393310546875","-148.34393310546875","1518","1518","1518","-149.16238403320312","-149.16238403320312","-149.16238403320312","1518","1518","1518","-149.9212646484375","-149.9212646484375","-149.9212646484375","1518","1518","1518","-151.44378662109375","-151.44378662109375","-151.44378662109375"
"19","1519","1519","1519","-148.21829223632812","-148.21829223632812","-148.21829223632812","1519","1519","1519","-149.11050415039062","-149.11050415039062","-149.11050415039062","1519","1519","1519","-149.9388427734375","-149.9388427734375","-149.9388427734375","1519","1519","1519","-151.302490234375","-151.302490234375","-151.302490234375"
"20","1520","1520","1520","-148.2568130493164","-148.2568130493164","-148.2568130493164","1520","1520","1520","-149.17012786865234","-149.17012786865234","-149.17012786865234","1520","1520","1520","-150.4927978515625","-150.4927978515625","-150.4927978515625","1520","1520","1520","-151.30116271972656","-151.30116271972656","-151.30116271972656"
"21","1521","1521","1521","-148.31363677978516","-148.31363677978516","-148.31363677978516","1521","1521","1521","-149.19564056396484","-149.19564056396484","-149.19564056396484","1521","1521","1521","-150.83654022216797","-150.83654022216797","-150.83654022216797","1521","1521","1521","-151.289306640625","-151.289306640625","-151.289306640625"
"22","1522","1522","1522","-148.3009033203125","-148.3009033203125","-148.3009033203125","1522","1522","1522","-149.11729431152344","-149.11729431152344","-149.11729431152344","1522","1522","1522","-150.047119140625","-150.047119140625","-150.047119140625","1522","1522","1522","-151.19304656982422","-151.19304656982422","-151.19304656982422"
"23","1523","1523","1523","-148.4030532836914","-148.4030532836914","-148.4030532836914","1523","1523","1523","-149.08358001708984","-149.08358001708984","-149.08358001708984","1523","1523","1523","-149.83885955810547","-149.83885955810547","-149.83885955810547","1523","1523","1523","-151.1538543701172","-151.1538543701172","-151.1538543701172"
"24","1524","1524","1524","-148.45162963867188","-148.45162963867188","-148.45162963867188","1524","1524","1524","-149.21548461914062","-149.21548461914062","-149.21548461914062","1524","1524","1524","-150.05718994140625","-150.05718994140625","-150.05718994140625","1524","1524","1524","-151.20990753173828","-151.20990753173828","-151.20990753173828"
"25","1525","1525","1525","-148.3996124267578","-148.3996124267578","-148.3996124267578","1525","1525","1525","-149.35154724121094","-149.35154724121094","-149.35154724121094","1525","1525","1525","-149.80205535888672","-149.80205535888672","-149.80205535888672","1525","1525","1525","-151.17811584472656","-151.17811584472656","-151.17811584472656"
"26","1526","1526","1526","-148.33744049072266","-148.33744049072266","-148.33744049072266","1526","1526","1526","-149.37615966796875","-149.37615966796875","-149.37615966796875","1526","1526","1526","-149.69953155517578","-149.69953155517578","-149.69953155517578","1526","1526","1526","-151.1533660888672","-151.1533660888672","-151.1533660888672"
"27","1527","1527","1527","-148.14280700683594","-148.14280700683594","-148.14280700683594","1527","1527","1527","-149.48943328857422","-149.48943328857422","-149.48943328857422","1527","1527","1527","-149.69296264648438","-149.69296264648438","-149.69296264648438","1527","1527","1527","-151.3192138671875","-151.3192138671875","-151.3192138671875"
"28","1528","1528","1528","-148.115234375","-148.115234375","-148.115234375","1528","1528","1528","-149.51947021484375","-149.51947021484375","-149.51947021484375","1528","1528","1528","-149.64112854003906","-149.64112854003906","-149.64112854003906","1528","1528","1528","-151.48934936523438","-151.48934936523438","-151.48934936523438"
"29","1529","1529","1529","-148.1172103881836","-148.1172103881836","-148.1172103881836","1529","1529","1529","-149.45437622070312","-149.45437622070312","-149.45437622070312","1529","1529","1529","-149.73375701904297","-149.73375701904297","-149.73375701904297","1529","1529","1529","-151.47421264648438","-151.47421264648438","-151.47421264648438"
"30","1530","1530","1530","-148.0104217529297","-148.0104217529297","-148.0104217529297","1530","1530","1530","-149.4720255533854","-149.4720255533854","-149.4720255533854","1530","1530","1530","-149.87139383951822","-149.87139383951822","-149.87139383951822","1530","1530","1530","-151.47483825683594","-151.47483825683594","-151.47483825683594"
