"Step","07-02_cumulene_C4H4_0deg_13b1974852bbdb41a3edc82b988422bf_5 - opt/E_smooth","07-02_cumulene_C4H4_0deg_13b1974852bbdb41a3edc82b988422bf_5 - opt/E_smooth__MIN","07-02_cumulene_C4H4_0deg_13b1974852bbdb41a3edc82b988422bf_5 - opt/E_smooth__MAX"
"1278","-152.73086906881895","-152.73086906881895","-152.73086906881895"
"1279","-152.74247921214385","-152.74247921214385","-152.74247921214385"
"1287","-152.86298116048178","-152.86298116048178","-152.86298116048178"
"1288","-152.88394504123264","-152.88394504123264","-152.88394504123264"
"1289","-152.90495808919272","-152.90495808919272","-152.90495808919272"
"1290","-152.90735104209497","-152.90735104209497","-152.90735104209497"
"1291","-152.9253507915296","-152.9253507915296","-152.9253507915296"
"1292","-152.9399992290296","-152.9399992290296","-152.9399992290296"
"1293","-152.95471673262747","-152.95471673262747","-152.95471673262747"
"1294","-152.9666378623561","-152.9666378623561","-152.9666378623561"
"1295","-152.98498053299753","-152.98498053299753","-152.98498053299753"
"1297","-153.00405803479646","-153.00405803479646","-153.00405803479646"
"1298","-153.01973282663445","-153.01973282663445","-153.01973282663445"
"1299","-153.03178566380552","-153.03178566380552","-153.03178566380552"
"1305","-153.1027717590332","-153.1027717590332","-153.1027717590332"
"1309","-153.13310775756835","-153.13310775756835","-153.13310775756835"
"1311","-153.15400768461683","-153.15400768461683","-153.15400768461683"
"1314","-153.18519882928757","-153.18519882928757","-153.18519882928757"
"1316","-153.21219380696616","-153.21219380696616","-153.21219380696616"
"1318","-153.23602512904577","-153.23602512904577","-153.23602512904577"
"1319","-153.2430448986235","-153.2430448986235","-153.2430448986235"
"1320","-153.2505576393821","-153.2505576393821","-153.2505576393821"
"1322","-153.27231320467862","-153.27231320467862","-153.27231320467862"
"1324","-153.28632978959516","-153.28632978959516","-153.28632978959516"
"1329","-153.32480690696022","-153.32480690696022","-153.32480690696022"
"1331","-153.33338463824728","-153.33338463824728","-153.33338463824728"
"1334","-153.3500226891559","-153.3500226891559","-153.3500226891559"
"1335","-153.35634380838147","-153.35634380838147","-153.35634380838147"
"1337","-153.36769568401834","-153.36769568401834","-153.36769568401834"
"1339","-153.38305199664572","-153.38305199664572","-153.38305199664572"
"1343","-153.41157341003418","-153.41157341003418","-153.41157341003418"
"1344","-153.417599995931","-153.417599995931","-153.417599995931"
"1345","-153.42798360188803","-153.42798360188803","-153.42798360188803"
"1346","-153.43871116638184","-153.43871116638184","-153.43871116638184"
"1350","-153.47852416992188","-153.47852416992188","-153.47852416992188"
"1351","-153.4886328125","-153.4886328125","-153.4886328125"
"1353","-153.50661743164062","-153.50661743164062","-153.50661743164062"
"1354","-153.5177795410156","-153.5177795410156","-153.5177795410156"
"1357","-153.5501239013672","-153.5501239013672","-153.5501239013672"
"1358","-153.55976928710936","-153.55976928710936","-153.55976928710936"
"1359","-153.57189025878907","-153.57189025878907","-153.57189025878907"
"1362","-153.5972671508789","-153.5972671508789","-153.5972671508789"
"1366","-153.6320090660682","-153.6320090660682","-153.6320090660682"
"1367","-153.64222247783954","-153.64222247783954","-153.64222247783954"
"1368","-153.65004495474008","-153.65004495474008","-153.65004495474008"
"1369","-153.65741729736328","-153.65741729736328","-153.65741729736328"
"1370","-153.6607982494213","-153.6607982494213","-153.6607982494213"
"1374","-153.67819835521556","-153.67819835521556","-153.67819835521556"
"1376","-153.6873824508102","-153.6873824508102","-153.6873824508102"
"1377","-153.6928756148727","-153.6928756148727","-153.6928756148727"
"1379","-153.7049193205657","-153.7049193205657","-153.7049193205657"
"1383","-153.7266022818429","-153.7266022818429","-153.7266022818429"
"1385","-153.7339025224958","-153.7339025224958","-153.7339025224958"
"1387","-153.7428376334054","-153.7428376334054","-153.7428376334054"
"1391","-153.7601502517174","-153.7601502517174","-153.7601502517174"
"1392","-153.76682097336342","-153.76682097336342","-153.76682097336342"
"1395","-153.78572240369073","-153.78572240369073","-153.78572240369073"
"1398","-153.8016120647562","-153.8016120647562","-153.8016120647562"
"1400","-153.81147359212238","-153.81147359212238","-153.81147359212238"
"1401","-153.819438680013","-153.819438680013","-153.819438680013"
"1402","-153.82648417154948","-153.82648417154948","-153.82648417154948"
"1403","-153.8326639811198","-153.8326639811198","-153.8326639811198"
"1406","-153.847509765625","-153.847509765625","-153.847509765625"
"1407","-153.85040893554688","-153.85040893554688","-153.85040893554688"
"1408","-153.8535598754883","-153.8535598754883","-153.8535598754883"
"1409","-153.85889689127603","-153.85889689127603","-153.85889689127603"
"1410","-153.86178490423387","-153.86178490423387","-153.86178490423387"
"1413","-153.87655098207534","-153.87655098207534","-153.87655098207534"
"1417","-153.89682942052042","-153.89682942052042","-153.89682942052042"
"1418","-153.9005880048198","-153.9005880048198","-153.9005880048198"
"1423","-153.9176483154297","-153.9176483154297","-153.9176483154297"
"1424","-153.9195055961609","-153.9195055961609","-153.9195055961609"
"1425","-153.92359590530396","-153.92359590530396","-153.92359590530396"
"1426","-153.92529821395874","-153.92529821395874","-153.92529821395874"
"1427","-153.92779207229614","-153.92779207229614","-153.92779207229614"
"1428","-153.93113613128662","-153.93113613128662","-153.93113613128662"
"1429","-153.93580198287964","-153.93580198287964","-153.93580198287964"
"1430","-153.93590615012428","-153.93590615012428","-153.93590615012428"
"1431","-153.93979621656013","-153.93979621656013","-153.93979621656013"
"1433","-153.94507760712594","-153.94507760712594","-153.94507760712594"
"1435","-153.95086068818063","-153.95086068818063","-153.95086068818063"
"1436","-153.9542902166193","-153.9542902166193","-153.9542902166193"
"1437","-153.95902876420453","-153.95902876420453","-153.95902876420453"
"1438","-153.96578979492188","-153.96578979492188","-153.96578979492188"
"1439","-153.9711299087062","-153.9711299087062","-153.9711299087062"
"1440","-153.9738401525161","-153.9738401525161","-153.9738401525161"
"1441","-153.9798027487362","-153.9798027487362","-153.9798027487362"
"1445","-153.99636571547563","-153.99636571547563","-153.99636571547563"
"1446","-154.00052956973806","-154.00052956973806","-154.00052956973806"
"1447","-154.00372942756204","-154.00372942756204","-154.00372942756204"
"1449","-154.0112138635972","-154.0112138635972","-154.0112138635972"
"1450","-154.01361301967077","-154.01361301967077","-154.01361301967077"
"1451","-154.0196990966797","-154.0196990966797","-154.0196990966797"
"1452","-154.02559378487723","-154.02559378487723","-154.02559378487723"
"1453","-154.03037632533483","-154.03037632533483","-154.03037632533483"
"1454","-154.03445085797992","-154.03445085797992","-154.03445085797992"
"1458","-154.05331115722657","-154.05331115722657","-154.05331115722657"
"1461","-154.06396781073676","-154.06396781073676","-154.06396781073676"
"1462","-154.0696186489529","-154.0696186489529","-154.0696186489529"
"1465","-154.079892900255","-154.079892900255","-154.079892900255"
"1466","-154.0849486456977","-154.0849486456977","-154.0849486456977"
"1474","-154.1079291266364","-154.1079291266364","-154.1079291266364"
"1480","-154.1222112555253","-154.1222112555253","-154.1222112555253"
"1482","-154.12889500668174","-154.12889500668174","-154.12889500668174"
"1486","-154.14192039088198","-154.14192039088198","-154.14192039088198"
"1490","-154.14849814390524","-154.14849814390524","-154.14849814390524"
"1493","-154.15693977551584","-154.15693977551584","-154.15693977551584"
"1494","-154.1597419151893","-154.1597419151893","-154.1597419151893"
"1495","-154.16014099121094","-154.16014099121094","-154.16014099121094"
"1497","-154.16438880333533","-154.16438880333533","-154.16438880333533"
"1499","-154.16808338654346","-154.16808338654346","-154.16808338654346"
"1506","-154.18210220336914","-154.18210220336914","-154.18210220336914"
"1508","-154.18587989807128","-154.18587989807128","-154.18587989807128"
"1510","-154.19033143578505","-154.19033143578505","-154.19033143578505"
"1512","-154.19612493747618","-154.19612493747618","-154.19612493747618"
"1513","-154.2003263147866","-154.2003263147866","-154.2003263147866"
"1514","-154.2034599490282","-154.2034599490282","-154.2034599490282"
"1515","-154.20624411978372","-154.20624411978372","-154.20624411978372"
"1516","-154.208819505645","-154.208819505645","-154.208819505645"
"1519","-154.21828888683785","-154.21828888683785","-154.21828888683785"
"1520","-154.2199231102353","-154.2199231102353","-154.2199231102353"
"1521","-154.22252146402994","-154.22252146402994","-154.22252146402994"
"1525","-154.23239172072638","-154.23239172072638","-154.23239172072638"
"1526","-154.23531377883185","-154.23531377883185","-154.23531377883185"
"1527","-154.23776354108537","-154.23776354108537","-154.23776354108537"
"1528","-154.2396955944243","-154.2396955944243","-154.2396955944243"
"1529","-154.24263872419084","-154.24263872419084","-154.24263872419084"
"1534","-154.25670109238735","-154.25670109238735","-154.25670109238735"
"1535","-154.2592624398165","-154.2592624398165","-154.2592624398165"
"1536","-154.26134047397346","-154.26134047397346","-154.26134047397346"
"1537","-154.26479534770166","-154.26479534770166","-154.26479534770166"
"1539","-154.2712420086528","-154.2712420086528","-154.2712420086528"
"1540","-154.2722421125932","-154.2722421125932","-154.2722421125932"
"1541","-154.27423546530983","-154.27423546530983","-154.27423546530983"
"1542","-154.27718318592417","-154.27718318592417","-154.27718318592417"
"1543","-154.27958263050425","-154.27958263050425","-154.27958263050425"
"1546","-154.28786572543058","-154.28786572543058","-154.28786572543058"
"1548","-154.29322017322886","-154.29322017322886","-154.29322017322886"
"1550","-154.29574076334634","-154.29574076334634","-154.29574076334634"
"1552","-154.30104437934028","-154.30104437934028","-154.30104437934028"
"1554","-154.30689832899304","-154.30689832899304","-154.30689832899304"
"1558","-154.3126485188802","-154.3126485188802","-154.3126485188802"
"1559","-154.31449178059896","-154.31449178059896","-154.31449178059896"
"1560","-154.31586655326512","-154.31586655326512","-154.31586655326512"
"1561","-154.3173347141432","-154.3173347141432","-154.3173347141432"
"1562","-154.31958671238112","-154.31958671238112","-154.31958671238112"
"1564","-154.32149406101394","-154.32149406101394","-154.32149406101394"
"1565","-154.3241305143937","-154.3241305143937","-154.3241305143937"
"1566","-154.32663892663044","-154.32663892663044","-154.32663892663044"
"1567","-154.32949265189794","-154.32949265189794","-154.32949265189794"
"1568","-154.3310908441958","-154.3310908441958","-154.3310908441958"
"1570","-154.3349015256192","-154.3349015256192","-154.3349015256192"
"1571","-154.33787244431517","-154.33787244431517","-154.33787244431517"
"1574","-154.34567163345662","-154.34567163345662","-154.34567163345662"
"1575","-154.3489964261968","-154.3489964261968","-154.3489964261968"
"1578","-154.35560088462017","-154.35560088462017","-154.35560088462017"
"1580","-154.35944366455078","-154.35944366455078","-154.35944366455078"
"1581","-154.36191082000732","-154.36191082000732","-154.36191082000732"
"1583","-154.36516316731772","-154.36516316731772","-154.36516316731772"
"1584","-154.3665396372477","-154.3665396372477","-154.3665396372477"
"1587","-154.3737243016561","-154.3737243016561","-154.3737243016561"
"1589","-154.37890466054282","-154.37890466054282","-154.37890466054282"
"1590","-154.38006000129545","-154.38006000129545","-154.38006000129545"
"1591","-154.3826904296875","-154.3826904296875","-154.3826904296875"
"1592","-154.38447695362325","-154.38447695362325","-154.38447695362325"
"1594","-154.3903045654297","-154.3903045654297","-154.3903045654297"
"1595","-154.39249591438139","-154.39249591438139","-154.39249591438139"
"1596","-154.39520730777662","-154.39520730777662","-154.39520730777662"
"1597","-154.39677398058834","-154.39677398058834","-154.39677398058834"
"1598","-154.3984923070791","-154.3984923070791","-154.3984923070791"
"1599","-154.40103772221778","-154.40103772221778","-154.40103772221778"
"1600","-154.40159729003906","-154.40159729003906","-154.40159729003906"
"1603","-154.40545837402342","-154.40545837402342","-154.40545837402342"
"1605","-154.4100439453125","-154.4100439453125","-154.4100439453125"
"1607","-154.4143505859375","-154.4143505859375","-154.4143505859375"
"1611","-154.41951557234222","-154.41951557234222","-154.41951557234222"
"1613","-154.42306129605163","-154.42306129605163","-154.42306129605163"
"1615","-154.4274268056832","-154.4274268056832","-154.4274268056832"
"1617","-154.4297820446538","-154.4297820446538","-154.4297820446538"
"1619","-154.43260611739814","-154.43260611739814","-154.43260611739814"
"1620","-154.4333669222318","-154.4333669222318","-154.4333669222318"
"1621","-154.43441567054163","-154.43441567054163","-154.43441567054163"
"1624","-154.43678401066705","-154.43678401066705","-154.43678401066705"
"1625","-154.43816551795373","-154.43816551795373","-154.43816551795373"
"1628","-154.4412944500263","-154.4412944500263","-154.4412944500263"
"1632","-154.4473361609117","-154.4473361609117","-154.4473361609117"
"1634","-154.45017371987396","-154.45017371987396","-154.45017371987396"
"1636","-154.45308872438827","-154.45308872438827","-154.45308872438827"
"1638","-154.45590353911777","-154.45590353911777","-154.45590353911777"
"1639","-154.45730705980984","-154.45730705980984","-154.45730705980984"
"1640","-154.45798351146556","-154.45798351146556","-154.45798351146556"
"1642","-154.45954160337095","-154.45954160337095","-154.45954160337095"
"1643","-154.46127234564887","-154.46127234564887","-154.46127234564887"
"1644","-154.46294459590206","-154.46294459590206","-154.46294459590206"
"1646","-154.4655171147099","-154.4655171147099","-154.4655171147099"
"1648","-154.4677118372034","-154.4677118372034","-154.4677118372034"
"1649","-154.4688517252604","-154.4688517252604","-154.4688517252604"
"1653","-154.47328879616478","-154.47328879616478","-154.47328879616478"
"1654","-154.4744423606179","-154.4744423606179","-154.4744423606179"
"1658","-154.48003040660512","-154.48003040660512","-154.48003040660512"
"1659","-154.48127219460227","-154.48127219460227","-154.48127219460227"
"1662","-154.4835420336042","-154.4835420336042","-154.4835420336042"
"1665","-154.48713384355818","-154.48713384355818","-154.48713384355818"
"1668","-154.49140412466866","-154.49140412466866","-154.49140412466866"
"1669","-154.49211638314384","-154.49211638314384","-154.49211638314384"
"1674","-154.4960977654708","-154.4960977654708","-154.4960977654708"
"1675","-154.49774009303042","-154.49774009303042","-154.49774009303042"
"1676","-154.49857932642885","-154.49857932642885","-154.49857932642885"
"1678","-154.50039271304482","-154.50039271304482","-154.50039271304482"
"1679","-154.50100065532484","-154.50100065532484","-154.50100065532484"
"1680","-154.5010723245555","-154.5010723245555","-154.5010723245555"
"1681","-154.50272842933393","-154.50272842933393","-154.50272842933393"
"1682","-154.5036842083109","-154.5036842083109","-154.5036842083109"
"1683","-154.5044797700027","-154.5044797700027","-154.5044797700027"
"1684","-154.5053597811995","-154.5053597811995","-154.5053597811995"
"1685","-154.50630161680024","-154.50630161680024","-154.50630161680024"
"1687","-154.50825132172685","-154.50825132172685","-154.50825132172685"
"1688","-154.50881168760102","-154.50881168760102","-154.50881168760102"
"1689","-154.5098245554957","-154.5098245554957","-154.5098245554957"
"1692","-154.50947700112553","-154.50947700112553","-154.50947700112553"
"1694","-154.51106676004702","-154.51106676004702","-154.51106676004702"
"1695","-154.51212349584546","-154.51212349584546","-154.51212349584546"
"1696","-154.51275634765625","-154.51275634765625","-154.51275634765625"
"1698","-154.51501904503775","-154.51501904503775","-154.51501904503775"
"1701","-154.51749801635742","-154.51749801635742","-154.51749801635742"
"1707","-154.5223289489746","-154.5223289489746","-154.5223289489746"
"1711","-154.52467096047323","-154.52467096047323","-154.52467096047323"
"1712","-154.5254771748527","-154.5254771748527","-154.5254771748527"
"1713","-154.52623210969517","-154.52623210969517","-154.52623210969517"
"1718","-154.52987395739947","-154.52987395739947","-154.52987395739947"
"1721","-154.5307102818643","-154.5307102818643","-154.5307102818643"
"1722","-154.5308348132718","-154.5308348132718","-154.5308348132718"
"1723","-154.53158643168788","-154.53158643168788","-154.53158643168788"
"1724","-154.53189554522115","-154.53189554522115","-154.53189554522115"
"1726","-154.5334750759986","-154.5334750759986","-154.5334750759986"
"1727","-154.5349615773847","-154.5349615773847","-154.5349615773847"
"1729","-154.53577423095703","-154.53577423095703","-154.53577423095703"
"1730","-154.53633941165984","-154.53633941165984","-154.53633941165984"
"1731","-154.5381612626333","-154.5381612626333","-154.5381612626333"
"1738","-154.54486544170078","-154.54486544170078","-154.54486544170078"
"1740","-154.54657363891602","-154.54657363891602","-154.54657363891602"
"1741","-154.54809093475342","-154.54809093475342","-154.54809093475342"
"1744","-154.55151176452637","-154.55151176452637","-154.55151176452637"
"1745","-154.55246710777283","-154.55246710777283","-154.55246710777283"
"1746","-154.55354070663452","-154.55354070663452","-154.55354070663452"
"1747","-154.55430150032043","-154.55430150032043","-154.55430150032043"
"1750","-154.55712022047777","-154.55712022047777","-154.55712022047777"
"1751","-154.5579594538762","-154.5579594538762","-154.5579594538762"
"1752","-154.558935546875","-154.558935546875","-154.558935546875"
"1753","-154.55943650465744","-154.55943650465744","-154.55943650465744"
"1755","-154.56046095628005","-154.56046095628005","-154.56046095628005"
"1757","-154.56246525691105","-154.56246525691105","-154.56246525691105"
"1758","-154.5634054330679","-154.5634054330679","-154.5634054330679"
"1761","-154.56530137495562","-154.56530137495562","-154.56530137495562"
"1762","-154.56607125022194","-154.56607125022194","-154.56607125022194"
"1763","-154.5671842170484","-154.5671842170484","-154.5671842170484"
"1765","-154.56743598706794","-154.56743598706794","-154.56743598706794"
"1766","-154.56781167695016","-154.56781167695016","-154.56781167695016"
"1767","-154.56845555160984","-154.56845555160984","-154.56845555160984"
"1769","-154.5696811098041","-154.5696811098041","-154.5696811098041"
"1770","-154.56978299724523","-154.56978299724523","-154.56978299724523"
"1771","-154.57066777926772","-154.57066777926772","-154.57066777926772"
"1772","-154.571270159821","-154.571270159821","-154.571270159821"
"1773","-154.57247218801015","-154.57247218801015","-154.57247218801015"
"1775","-154.5743385428813","-154.5743385428813","-154.5743385428813"
"1776","-154.57463665862582","-154.57463665862582","-154.57463665862582"
"1777","-154.5757797013468","-154.5757797013468","-154.5757797013468"
"1778","-154.57648160564366","-154.57648160564366","-154.57648160564366"
"1780","-154.5772061067469","-154.5772061067469","-154.5772061067469"
"1781","-154.5778314927045","-154.5778314927045","-154.5778314927045"
"1783","-154.57653000775505","-154.57653000775505","-154.57653000775505"
"1786","-154.57876272762522","-154.57876272762522","-154.57876272762522"
"1787","-154.5792267743279","-154.5792267743279","-154.5792267743279"
"1791","-154.58180015674535","-154.58180015674535","-154.58180015674535"
"1794","-154.58430856898212","-154.58430856898212","-154.58430856898212"
"1795","-154.58513630300328","-154.58513630300328","-154.58513630300328"
"1797","-154.5862526271654","-154.5862526271654","-154.5862526271654"
"1801","-154.5864055088588","-154.5864055088588","-154.5864055088588"
"1808","-154.58920288085938","-154.58920288085938","-154.58920288085938"
"1811","-154.5897137279242","-154.5897137279242","-154.5897137279242"
"1814","-154.59018932933537","-154.59018932933537","-154.59018932933537"
"1815","-154.59016461439535","-154.59016461439535","-154.59016461439535"
"1816","-154.59115020322128","-154.59115020322128","-154.59115020322128"
"1817","-154.5915177036339","-154.5915177036339","-154.5915177036339"
"1821","-154.59289614359537","-154.59289614359537","-154.59289614359537"
"1822","-154.59310256110297","-154.59310256110297","-154.59310256110297"
"1826","-154.59397549099393","-154.59397549099393","-154.59397549099393"
"1827","-154.59485986497668","-154.59485986497668","-154.59485986497668"
"1831","-154.59569643621575","-154.59569643621575","-154.59569643621575"
"1832","-154.59597924637467","-154.59597924637467","-154.59597924637467"
"1833","-154.59609211960884","-154.59609211960884","-154.59609211960884"
"1837","-154.59624512554848","-154.59624512554848","-154.59624512554848"
"1838","-154.5971575175246","-154.5971575175246","-154.5971575175246"
"1842","-154.59901180782833","-154.59901180782833","-154.59901180782833"
"1845","-154.59925512365393","-154.59925512365393","-154.59925512365393"
"1846","-154.59913429054055","-154.59913429054055","-154.59913429054055"
"1848","-154.59959844640784","-154.59959844640784","-154.59959844640784"
"1850","-154.59977701822916","-154.59977701822916","-154.59977701822916"
"1853","-154.60103169759114","-154.60103169759114","-154.60103169759114"
"1854","-154.6015079752604","-154.6015079752604","-154.6015079752604"
"1855","-154.60174377441408","-154.60174377441408","-154.60174377441408"
"1856","-154.60216796875","-154.60216796875","-154.60216796875"
"1857","-154.60345743815105","-154.60345743815105","-154.60345743815105"
"1858","-154.60436197916667","-154.60436197916667","-154.60436197916667"
"1859","-154.6051806640625","-154.6051806640625","-154.6051806640625"
"1860","-154.60537920500101","-154.60537920500101","-154.60537920500101"
"1862","-154.606183704577","-154.606183704577","-154.606183704577"
"1863","-154.6069578873484","-154.6069578873484","-154.6069578873484"
"1864","-154.60693700690018","-154.60693700690018","-154.60693700690018"
"1865","-154.60762927406714","-154.60762927406714","-154.60762927406714"
"1866","-154.6083855879934","-154.6083855879934","-154.6083855879934"
"1867","-154.6086285239772","-154.6086285239772","-154.6086285239772"
"1870","-154.60858629895495","-154.60858629895495","-154.60858629895495"
"1871","-154.60864773044338","-154.60864773044338","-154.60864773044338"
"1873","-154.60847810026888","-154.60847810026888","-154.60847810026888"
"1875","-154.60914255117441","-154.60914255117441","-154.60914255117441"
"1881","-154.61068021334134","-154.61068021334134","-154.61068021334134"
"1882","-154.6111323038737","-154.6111323038737","-154.6111323038737"
"1884","-154.61148364727313","-154.61148364727313","-154.61148364727313"
"1885","-154.6119423890725","-154.6119423890725","-154.6119423890725"
"1887","-154.61258149758365","-154.61258149758365","-154.61258149758365"
"1888","-154.61278768686148","-154.61278768686148","-154.61278768686148"
"1889","-154.61285028702173","-154.61285028702173","-154.61285028702173"
"1892","-154.61390280421776","-154.61390280421776","-154.61390280421776"
"1898","-154.6142023786714","-154.6142023786714","-154.6142023786714"
"1900","-154.61498775482178","-154.61498775482178","-154.61498775482178"
"1901","-154.61535758972167","-154.61535758972167","-154.61535758972167"
"1902","-154.6157527923584","-154.6157527923584","-154.6157527923584"
