"opt/step","C4H4-new-1-3.0-1-104613 - _step","C4H4-new-1-3.0-1-104613 - _step__MIN","C4H4-new-1-3.0-1-104613 - _step__MAX","C4H4-new-1-3.0-1-104613 - opt/E_smooth","C4H4-new-1-3.0-1-104613 - opt/E_smooth__MIN","C4H4-new-1-3.0-1-104613 - opt/E_smooth__MAX","C4H4-new-1-9.0-3-104613 - _step","C4H4-new-1-9.0-3-104613 - _step__MIN","C4H4-new-1-9.0-3-104613 - _step__MAX","C4H4-new-1-9.0-3-104613 - opt/E_smooth","C4H4-new-1-9.0-3-104613 - opt/E_smooth__MIN","C4H4-new-1-9.0-3-104613 - opt/E_smooth__MAX","C4H4-new-1-6.0-2-104613 - _step","C4H4-new-1-6.0-2-104613 - _step__MIN","C4H4-new-1-6.0-2-104613 - _step__MAX","C4H4-new-1-6.0-2-104613 - opt/E_smooth","C4H4-new-1-6.0-2-104613 - opt/E_smooth__MIN","C4H4-new-1-6.0-2-104613 - opt/E_smooth__MAX"
"1332","2832","2832","2832","-154.63210876005934","-154.63210876005934","-154.63210876005934","2832","2832","2832","-154.63840742756548","-154.63840742756548","-154.63840742756548","2832","2832","2832","-154.65733922513803","-154.65733922513803","-154.65733922513803"
"1333","2833","2833","2833","-154.6320038989074","-154.6320038989074","-154.6320038989074","2833","2833","2833","-154.63856231001085","-154.63856231001085","-154.63856231001085","2833","2833","2833","-154.65770600971422","-154.65770600971422","-154.65770600971422"
"1334","2834","2834","2834","-154.63219985388275","-154.63219985388275","-154.63219985388275","2834","2834","2834","-154.6387302714183","-154.6387302714183","-154.6387302714183","2834","2834","2834","-154.65781798398584","-154.65781798398584","-154.65781798398584"
"1335","2835","2835","2835","-154.63237446949896","-154.63237446949896","-154.63237446949896","2835","2835","2835","-154.63888354767533","-154.63888354767533","-154.63888354767533","2835","2835","2835","-154.6578080026727","-154.6578080026727","-154.6578080026727"
"1336","2836","2836","2836","-154.63236127580916","-154.63236127580916","-154.63236127580916","2836","2836","2836","-154.6391506338478","-154.6391506338478","-154.6391506338478","2836","2836","2836","-154.65776968360842","-154.65776968360842","-154.65776968360842"
"1337","2837","2837","2837","-154.63245076344427","-154.63245076344427","-154.63245076344427","2837","2837","2837","-154.63938823499177","-154.63938823499177","-154.63938823499177","2837","2837","2837","-154.65752714917176","-154.65752714917176","-154.65752714917176"
"1338","2838","2838","2838","-154.63240120106173","-154.63240120106173","-154.63240120106173","2838","2838","2838","-154.63959176199776","-154.63959176199776","-154.63959176199776","2838","2838","2838","-154.65738419841108","-154.65738419841108","-154.65738419841108"
"1339","2839","2839","2839","-154.6323706834836","-154.6323706834836","-154.6323706834836","2839","2839","2839","-154.63987307440965","-154.63987307440965","-154.63987307440965","2839","2839","2839","-154.65765587369302","-154.65765587369302","-154.65765587369302"
"1340","2840","2840","2840","-154.6325497983107","-154.6325497983107","-154.6325497983107","2840","2840","2840","-154.6400032612815","-154.6400032612815","-154.6400032612815","2840","2840","2840","-154.65777132404384","-154.65777132404384","-154.65777132404384"
"1341","2841","2841","2841","-154.63259625790724","-154.63259625790724","-154.63259625790724","2841","2841","2841","-154.6403986233384","-154.6403986233384","-154.6403986233384","2841","2841","2841","-154.6580136427239","-154.6580136427239","-154.6580136427239"
"1342","2842","2842","2842","-154.63267528477","-154.63267528477","-154.63267528477","2842","2842","2842","-154.6406324016514","-154.6406324016514","-154.6406324016514","2842","2842","2842","-154.6581682803026","-154.6581682803026","-154.6581682803026"
"1343","2843","2843","2843","-154.63289380429396","-154.63289380429396","-154.63289380429396","2843","2843","2843","-154.64088405779938","-154.64088405779938","-154.64088405779938","2843","2843","2843","-154.6582288599726","-154.6582288599726","-154.6582288599726"
"1344","2844","2844","2844","-154.63326958044252","-154.63326958044252","-154.63326958044252","2844","2844","2844","-154.64105919225892","-154.64105919225892","-154.64105919225892","2844","2844","2844","-154.65820813534864","-154.65820813534864","-154.65820813534864"
"1345","2845","2845","2845","-154.63328142308478","-154.63328142308478","-154.63328142308478","2845","2845","2845","-154.64113764976386","-154.64113764976386","-154.64113764976386","2845","2845","2845","-154.65827190342233","-154.65827190342233","-154.65827190342233"
"1346","2846","2846","2846","-154.6333416611401","-154.6333416611401","-154.6333416611401","2846","2846","2846","-154.6413042438564","-154.6413042438564","-154.6413042438564","2846","2846","2846","-154.658224874468","-154.658224874468","-154.658224874468"
"1347","2847","2847","2847","-154.63333266528684","-154.63333266528684","-154.63333266528684","2847","2847","2847","-154.64137416099433","-154.64137416099433","-154.64137416099433","2847","2847","2847","-154.65810496771513","-154.65810496771513","-154.65810496771513"
"1348","2848","2848","2848","-154.63325568811217","-154.63325568811217","-154.63325568811217","2848","2848","2848","-154.6413296372143","-154.6413296372143","-154.6413296372143","2848","2848","2848","-154.65789510242973","-154.65789510242973","-154.65789510242973"
"1349","2849","2849","2849","-154.63316367989157","-154.63316367989157","-154.63316367989157","2849","2849","2849","-154.6413297510859","-154.6413297510859","-154.6413297510859","2849","2849","2849","-154.65795647920066","-154.65795647920066","-154.65795647920066"
"1350","2850","2850","2850","-154.63318289297598","-154.63318289297598","-154.63318289297598","2850","2850","2850","-154.641487065068","-154.641487065068","-154.641487065068","2850","2850","2850","-154.65814333315248","-154.65814333315248","-154.65814333315248"
"1351","2851","2851","2851","-154.63318617078994","-154.63318617078994","-154.63318617078994","2851","2851","2851","-154.64145699960213","-154.64145699960213","-154.64145699960213","2851","2851","2851","-154.65807393391927","-154.65807393391927","-154.65807393391927"
"1352","2852","2852","2852","-154.63301866319443","-154.63301866319443","-154.63301866319443","2852","2852","2852","-154.6416431568287","-154.6416431568287","-154.6416431568287","2852","2852","2852","-154.6580394603588","-154.6580394603588","-154.6580394603588"
"1353","2853","2853","2853","-154.63297740794994","-154.63297740794994","-154.63297740794994","2853","2853","2853","-154.6417236328125","-154.6417236328125","-154.6417236328125","2853","2853","2853","-154.6581143979673","-154.6581143979673","-154.6581143979673"
"1354","2854","2854","2854","-154.6330088297526","-154.6330088297526","-154.6330088297526","2854","2854","2854","-154.6420134367766","-154.6420134367766","-154.6420134367766","2854","2854","2854","-154.65803618254486","-154.65803618254486","-154.65803618254486"
"1355","2855","2855","2855","-154.63309812192563","-154.63309812192563","-154.63309812192563","2855","2855","2855","-154.6389239275897","-154.6389239275897","-154.6389239275897","2855","2855","2855","-154.65805268464266","-154.65805268464266","-154.65805268464266"
"1356","2856","2856","2856","-154.63323601616753","-154.63323601616753","-154.63323601616753","2856","2856","2856","-154.63890968605324","-154.63890968605324","-154.63890968605324","2856","2856","2856","-154.65786483199508","-154.65786483199508","-154.65786483199508"
"1357","2857","2857","2857","-154.63368213794848","-154.63368213794848","-154.63368213794848","2857","2857","2857","-154.63891454626014","-154.63891454626014","-154.63891454626014","2857","2857","2857","-154.6575421368634","-154.6575421368634","-154.6575421368634"
"1358","2858","2858","2858","-154.63412407769098","-154.63412407769098","-154.63412407769098","2858","2858","2858","-154.6390429461444","-154.6390429461444","-154.6390429461444","2858","2858","2858","-154.65746324327256","-154.65746324327256","-154.65746324327256"
"1359","2859","2859","2859","-154.6344674569589","-154.6344674569589","-154.6344674569589","2859","2859","2859","-154.63883994773582","-154.63883994773582","-154.63883994773582","2859","2859","2859","-154.65741271972655","-154.65741271972655","-154.65741271972655"
"1360","2860","2860","2860","-154.63454773846794","-154.63454773846794","-154.63454773846794","2860","2860","2860","-154.63892409380745","-154.63892409380745","-154.63892409380745","2860","2860","2860","-154.65749549865723","-154.65749549865723","-154.65749549865723"
"1361","2861","2861","2861","-154.63491709092085","-154.63491709092085","-154.63491709092085","2861","2861","2861","-154.63880404304055","-154.63880404304055","-154.63880404304055","2861","2861","2861","-154.6574680103975","-154.6574680103975","-154.6574680103975"
"1362","2862","2862","2862","-154.6353100047392","-154.6353100047392","-154.6353100047392","2862","2862","2862","-154.63878295000862","-154.63878295000862","-154.63878295000862","2862","2862","2862","-154.65763305215273","-154.65763305215273","-154.65763305215273"
"1363","2863","2863","2863","-154.6355017493753","-154.6355017493753","-154.6355017493753","2863","2863","2863","-154.63878036947813","-154.63878036947813","-154.63878036947813","2863","2863","2863","-154.6576089298024","-154.6576089298024","-154.6576089298024"
"1364","2864","2864","2864","-154.63564457612878","-154.63564457612878","-154.63564457612878","2864","2864","2864","-154.639087340411","-154.639087340411","-154.639087340411","2864","2864","2864","-154.657657735488","-154.657657735488","-154.657657735488"
"1365","2865","2865","2865","-154.63551442763384","-154.63551442763384","-154.63551442763384","2865","2865","2865","-154.63915667814368","-154.63915667814368","-154.63915667814368","2865","2865","2865","-154.6576359692742","-154.6576359692742","-154.6576359692742"
"1366","2866","2866","2866","-154.63553843778723","-154.63553843778723","-154.63553843778723","2866","2866","2866","-154.6393294614904","-154.6393294614904","-154.6393294614904","2866","2866","2866","-154.65785991444307","-154.65785991444307","-154.65785991444307"
"1367","2867","2867","2867","-154.63569618673887","-154.63569618673887","-154.63569618673887","2867","2867","2867","-154.63943313149844","-154.63943313149844","-154.63943313149844","2867","2867","2867","-154.65816172431497","-154.65816172431497","-154.65816172431497"
"1368","2868","2868","2868","-154.63573298734778","-154.63573298734778","-154.63573298734778","2868","2868","2868","-154.6396001927993","-154.6396001927993","-154.6396001927993","2868","2868","2868","-154.65840608933394","-154.65840608933394","-154.65840608933394"
"1369","2869","2869","2869","-154.63588950213264","-154.63588950213264","-154.63588950213264","2869","2869","2869","-154.6397974350873","-154.6397974350873","-154.6397974350873","2869","2869","2869","-154.65844479729148","-154.65844479729148","-154.65844479729148"
"1370","2870","2870","2870","-154.63599445872063","-154.63599445872063","-154.63599445872063","2870","2870","2870","-154.63980002298842","-154.63980002298842","-154.63980002298842","2870","2870","2870","-154.6583296504334","-154.6583296504334","-154.6583296504334"
"1371","2871","2871","2871","-154.63626065219407","-154.63626065219407","-154.63626065219407","2871","2871","2871","-154.6399054979756","-154.6399054979756","-154.6399054979756","2871","2871","2871","-154.65835471048842","-154.65835471048842","-154.65835471048842"
"1372","2872","2872","2872","-154.63654254996862","-154.63654254996862","-154.63654254996862","2872","2872","2872","-154.64028462876368","-154.64028462876368","-154.64028462876368","2872","2872","2872","-154.6583008035256","-154.6583008035256","-154.6583008035256"
"1373","2873","2873","2873","-154.63670850322194","-154.63670850322194","-154.63670850322194","2873","2873","2873","-154.64032717516824","-154.64032717516824","-154.64032717516824","2873","2873","2873","-154.6582255119825","-154.6582255119825","-154.6582255119825"
"1374","2874","2874","2874","-154.63685106709056","-154.63685106709056","-154.63685106709056","2874","2874","2874","-154.64038653965414","-154.64038653965414","-154.64038653965414","2874","2874","2874","-154.65809130146556","-154.65809130146556","-154.65809130146556"
"1375","2875","2875","2875","-154.63715512909158","-154.63715512909158","-154.63715512909158","2875","2875","2875","-154.6405298831689","-154.6405298831689","-154.6405298831689","2875","2875","2875","-154.65793047160128","-154.65793047160128","-154.65793047160128"
"1376","2876","2876","2876","-154.63734436035156","-154.63734436035156","-154.63734436035156","2876","2876","2876","-154.64049234877538","-154.64049234877538","-154.64049234877538","2876","2876","2876","-154.65778679395245","-154.65778679395245","-154.65778679395245"
"1377","2877","2877","2877","-154.6373728731253","-154.6373728731253","-154.6373728731253","2877","2877","2877","-154.6404301998389","-154.6404301998389","-154.6404301998389","2877","2877","2877","-154.65762496168597","-154.65762496168597","-154.65762496168597"
"1378","2878","2878","2878","-154.63750363092353","-154.63750363092353","-154.63750363092353","2878","2878","2878","-154.64029921928463","-154.64029921928463","-154.64029921928463","2878","2878","2878","-154.65738226897525","-154.65738226897525","-154.65738226897525"
"1379","2879","2879","2879","-154.6375872758183","-154.6375872758183","-154.6375872758183","2879","2879","2879","-154.6401550961237","-154.6401550961237","-154.6401550961237","2879","2879","2879","-154.6569933369212","-154.6569933369212","-154.6569933369212"
"1380","2880","2880","2880","-154.63762675852016","-154.63762675852016","-154.63762675852016","2880","2880","2880","-154.64005268483922","-154.64005268483922","-154.64005268483922","2880","2880","2880","-154.6568584718566","-154.6568584718566","-154.6568584718566"
"1381","2881","2881","2881","-154.63749274654666","-154.63749274654666","-154.63749274654666","2881","2881","2881","-154.6400792218637","-154.6400792218637","-154.6400792218637","2881","2881","2881","-154.65688567230666","-154.65688567230666","-154.65688567230666"
"1382","2882","2882","2882","-154.63735785000566","-154.63735785000566","-154.63735785000566","2882","2882","2882","-154.64028632122537","-154.64028632122537","-154.64028632122537","2882","2882","2882","-154.65673938695934","-154.65673938695934","-154.65673938695934"
"1383","2883","2883","2883","-154.63728819031647","-154.63728819031647","-154.63728819031647","2883","2883","2883","-154.6405512491862","-154.6405512491862","-154.6405512491862","2883","2883","2883","-154.65679522528166","-154.65679522528166","-154.65679522528166"
"1384","2884","2884","2884","-154.6373485620471","-154.6373485620471","-154.6373485620471","2884","2884","2884","-154.64065452243972","-154.64065452243972","-154.64065452243972","2884","2884","2884","-154.65678870159647","-154.65678870159647","-154.65678870159647"
"1385","2885","2885","2885","-154.6376531849737","-154.6376531849737","-154.6376531849737","2885","2885","2885","-154.64081507143766","-154.64081507143766","-154.64081507143766","2885","2885","2885","-154.65662361919016","-154.65662361919016","-154.65662361919016"
"1386","2886","2886","2886","-154.6377801204073","-154.6377801204073","-154.6377801204073","2886","2886","2886","-154.64077902531278","-154.64077902531278","-154.64077902531278","2886","2886","2886","-154.65671373450238","-154.65671373450238","-154.65671373450238"
"1387","2887","2887","2887","-154.63776862103006","-154.63776862103006","-154.63776862103006","2887","2887","2887","-154.6409068453139","-154.6409068453139","-154.6409068453139","2887","2887","2887","-154.65679721555847","-154.65679721555847","-154.65679721555847"
"1388","2888","2888","2888","-154.6379061712735","-154.6379061712735","-154.6379061712735","2888","2888","2888","-154.64114280368972","-154.64114280368972","-154.64114280368972","2888","2888","2888","-154.65689849853516","-154.65689849853516","-154.65689849853516"
"1389","2889","2889","2889","-154.63808618075606","-154.63808618075606","-154.63808618075606","2889","2889","2889","-154.64134625421053","-154.64134625421053","-154.64134625421053","2889","2889","2889","-154.65691607931385","-154.65691607931385","-154.65691607931385"
"1390","2890","2890","2890","-154.63805877905097","-154.63805877905097","-154.63805877905097","2890","2890","2890","-154.64150155705514","-154.64150155705514","-154.64150155705514","2890","2890","2890","-154.65695673441715","-154.65695673441715","-154.65695673441715"
"1391","2891","2891","2891","-154.6381857892592","-154.6381857892592","-154.6381857892592","2891","2891","2891","-154.6415086924601","-154.6415086924601","-154.6415086924601","2891","2891","2891","-154.65689800454558","-154.65689800454558","-154.65689800454558"
"1392","2892","2892","2892","-154.6382191609993","-154.6382191609993","-154.6382191609993","2892","2892","2892","-154.64171309436824","-154.64171309436824","-154.64171309436824","2892","2892","2892","-154.65697528647004","-154.65697528647004","-154.65697528647004"
"1393","2893","2893","2893","-154.6382955647201","-154.6382955647201","-154.6382955647201","2893","2893","2893","-154.6420766706947","-154.6420766706947","-154.6420766706947","2893","2893","2893","-154.65702666138574","-154.65702666138574","-154.65702666138574"
"1394","2894","2894","2894","-154.63819479084702","-154.63819479084702","-154.63819479084702","2894","2894","2894","-154.64250699050135","-154.64250699050135","-154.64250699050135","2894","2894","2894","-154.6570884649702","-154.6570884649702","-154.6570884649702"
"1395","2895","2895","2895","-154.63806701221054","-154.63806701221054","-154.63806701221054","2895","2895","2895","-154.64266276188033","-154.64266276188033","-154.64266276188033","2895","2895","2895","-154.65731987164176","-154.65731987164176","-154.65731987164176"
"1396","2896","2896","2896","-154.63811432543417","-154.63811432543417","-154.63811432543417","2896","2896","2896","-154.64288494741317","-154.64288494741317","-154.64288494741317","2896","2896","2896","-154.65741230257981","-154.65741230257981","-154.65741230257981"
"1397","2897","2897","2897","-154.63808051459225","-154.63808051459225","-154.63808051459225","2897","2897","2897","-154.64312272106145","-154.64312272106145","-154.64312272106145","2897","2897","2897","-154.6572891345127","-154.6572891345127","-154.6572891345127"
"1398","2898","2898","2898","-154.6379769963326","-154.6379769963326","-154.6379769963326","2898","2898","2898","-154.64326971040356","-154.64326971040356","-154.64326971040356","2898","2898","2898","-154.65707540169038","-154.65707540169038","-154.65707540169038"
"1399","2899","2899","2899","-154.63808303942784","-154.63808303942784","-154.63808303942784","2899","2899","2899","-154.64365271698657","-154.64365271698657","-154.64365271698657","2899","2899","2899","-154.6571976915538","-154.6571976915538","-154.6571976915538"
"1400","2900","2900","2900","-154.638151877267","-154.638151877267","-154.638151877267","2900","2900","2900","-154.64369321550643","-154.64369321550643","-154.64369321550643","2900","2900","2900","-154.6571889604841","-154.6571889604841","-154.6571889604841"
"1401","2901","2901","2901","-154.63831220354353","-154.63831220354353","-154.63831220354353","2901","2901","2901","-154.64377888270786","-154.64377888270786","-154.64377888270786","2901","2901","2901","-154.65698710850307","-154.65698710850307","-154.65698710850307"
"1402","2902","2902","2902","-154.6380828857422","-154.6380828857422","-154.6380828857422","2902","2902","2902","-154.64383261544364","-154.64383261544364","-154.64383261544364","2902","2902","2902","-154.6570530482701","-154.6570530482701","-154.6570530482701"
"1403","2903","2903","2903","-154.63796953473772","-154.63796953473772","-154.63796953473772","2903","2903","2903","-154.64377539498466","-154.64377539498466","-154.64377539498466","2903","2903","2903","-154.65733359200613","-154.65733359200613","-154.65733359200613"
"1404","2904","2904","2904","-154.63798773629324","-154.63798773629324","-154.63798773629324","2904","2904","2904","-154.64389027186803","-154.64389027186803","-154.64389027186803","2904","2904","2904","-154.65745609828403","-154.65745609828403","-154.65745609828403"
"1405","2905","2905","2905","-154.6380848475865","-154.6380848475865","-154.6380848475865","2905","2905","2905","-154.6439635140555","-154.6439635140555","-154.6439635140555","2905","2905","2905","-154.65740083966935","-154.65740083966935","-154.65740083966935"
"1406","2906","2906","2906","-154.63808016095842","-154.63808016095842","-154.63808016095842","2906","2906","2906","-154.64403435843332","-154.64403435843332","-154.64403435843332","2906","2906","2906","-154.65737489972796","-154.65737489972796","-154.65737489972796"
"1407","2907","2907","2907","-154.63801661900112","-154.63801661900112","-154.63801661900112","2907","2907","2907","-154.64412885393415","-154.64412885393415","-154.64412885393415","2907","2907","2907","-154.65729729788643","-154.65729729788643","-154.65729729788643"
"1408","2908","2908","2908","-154.63786337716238","-154.63786337716238","-154.63786337716238","2908","2908","2908","-154.6442479814802","-154.6442479814802","-154.6442479814802","2908","2908","2908","-154.65744160243443","-154.65744160243443","-154.65744160243443"
"1409","2909","2909","2909","-154.63764048985072","-154.63764048985072","-154.63764048985072","2909","2909","2909","-154.64446313040597","-154.64446313040597","-154.64446313040597","2909","2909","2909","-154.65764345441545","-154.65764345441545","-154.65764345441545"
"1410","2910","2910","2910","-154.63765375664894","-154.63765375664894","-154.63765375664894","2910","2910","2910","-154.64470775414867","-154.64470775414867","-154.64470775414867","2910","2910","2910","-154.65765759623642","-154.65765759623642","-154.65765759623642"
"1411","2911","2911","2911","-154.63764596492686","-154.63764596492686","-154.63764596492686","2911","2911","2911","-154.64496888505653","-154.64496888505653","-154.64496888505653","2911","2911","2911","-154.6576928754225","-154.6576928754225","-154.6576928754225"
"1412","2912","2912","2912","-154.63756328609819","-154.63756328609819","-154.63756328609819","2912","2912","2912","-154.64516237948803","-154.64516237948803","-154.64516237948803","2912","2912","2912","-154.65765705514463","-154.65765705514463","-154.65765705514463"
"1413","2913","2913","2913","-154.6372213160738","-154.6372213160738","-154.6372213160738","2913","2913","2913","-154.64543368292192","-154.64543368292192","-154.64543368292192","2913","2913","2913","-154.6577122465093","-154.6577122465093","-154.6577122465093"
"1414","2914","2914","2914","-154.6369557482131","-154.6369557482131","-154.6369557482131","2914","2914","2914","-154.64558692012272","-154.64558692012272","-154.64558692012272","2914","2914","2914","-154.65778875689134","-154.65778875689134","-154.65778875689134"
"1415","2915","2915","2915","-154.637089289672","-154.637089289672","-154.637089289672","2915","2915","2915","-154.6455961186835","-154.6455961186835","-154.6455961186835","2915","2915","2915","-154.65774795856882","-154.65774795856882","-154.65774795856882"
"1416","2916","2916","2916","-154.63733040018283","-154.63733040018283","-154.63733040018283","2916","2916","2916","-154.64561808701103","-154.64561808701103","-154.64561808701103","2916","2916","2916","-154.65785141532302","-154.65785141532302","-154.65785141532302"
"1417","2917","2917","2917","-154.63769747686723","-154.63769747686723","-154.63769747686723","2917","2917","2917","-154.64588625211243","-154.64588625211243","-154.64588625211243","2917","2917","2917","-154.65802467292082","-154.65802467292082","-154.65802467292082"
"1418","2918","2918","2918","-154.63802245660875","-154.63802245660875","-154.63802245660875","2918","2918","2918","-154.64607953010722","-154.64607953010722","-154.64607953010722","2918","2918","2918","-154.65790260260832","-154.65790260260832","-154.65790260260832"
"1419","2919","2919","2919","-154.6382453864348","-154.6382453864348","-154.6382453864348","2919","2919","2919","-154.64630808728808","-154.64630808728808","-154.64630808728808","2919","2919","2919","-154.6579953457447","-154.6579953457447","-154.6579953457447"
"1420","2920","2920","2920","-154.63832554347078","-154.63832554347078","-154.63832554347078","2920","2920","2920","-154.64645622145963","-154.64645622145963","-154.64645622145963","2920","2920","2920","-154.6581444538815","-154.6581444538815","-154.6581444538815"
"1421","2921","2921","2921","-154.63838464441434","-154.63838464441434","-154.63838464441434","2921","2921","2921","-154.64674732047067","-154.64674732047067","-154.64674732047067","2921","2921","2921","-154.65825814260563","-154.65825814260563","-154.65825814260563"
"1422","2922","2922","2922","-154.63881479182714","-154.63881479182714","-154.63881479182714","2922","2922","2922","-154.6470401387819","-154.6470401387819","-154.6470401387819","2922","2922","2922","-154.65823794082857","-154.65823794082857","-154.65823794082857"
"1423","2923","2923","2923","-154.639275026993","-154.639275026993","-154.639275026993","2923","2923","2923","-154.64727428597465","-154.64727428597465","-154.64727428597465","2923","2923","2923","-154.65820462938765","-154.65820462938765","-154.65820462938765"
"1424","2924","2924","2924","-154.63951357989245","-154.63951357989245","-154.63951357989245","2924","2924","2924","-154.64731060619084","-154.64731060619084","-154.64731060619084","2924","2924","2924","-154.658176368391","-154.658176368391","-154.658176368391"
"1425","2925","2925","2925","-154.6399107382331","-154.6399107382331","-154.6399107382331","2925","2925","2925","-154.64753905820174","-154.64753905820174","-154.64753905820174","2925","2925","2925","-154.6582094649194","-154.6582094649194","-154.6582094649194"
"1426","2926","2926","2926","-154.64025782195614","-154.64025782195614","-154.64025782195614","2926","2926","2926","-154.64767262633418","-154.64767262633418","-154.64767262633418","2926","2926","2926","-154.65825180268624","-154.65825180268624","-154.65825180268624"
"1427","2927","2927","2927","-154.64033282642635","-154.64033282642635","-154.64033282642635","2927","2927","2927","-154.64803948200924","-154.64803948200924","-154.64803948200924","2927","2927","2927","-154.65827673253878","-154.65827673253878","-154.65827673253878"
"1428","2928","2928","2928","-154.64050325205628","-154.64050325205628","-154.64050325205628","2928","2928","2928","-154.64836690123653","-154.64836690123653","-154.64836690123653","2928","2928","2928","-154.65831111854231","-154.65831111854231","-154.65831111854231"
"1429","2929","2929","2929","-154.64085280727332","-154.64085280727332","-154.64085280727332","2929","2929","2929","-154.64868486431283","-154.64868486431283","-154.64868486431283","2929","2929","2929","-154.6583637721102","-154.6583637721102","-154.6583637721102"
"1430","2930","2930","2930","-154.64079156622185","-154.64079156622185","-154.64079156622185","2930","2930","2930","-154.64885855721428","-154.64885855721428","-154.64885855721428","2930","2930","2930","-154.65849389563073","-154.65849389563073","-154.65849389563073"
"1431","2931","2931","2931","-154.64051626778982","-154.64051626778982","-154.64051626778982","2931","2931","2931","-154.64905062588778","-154.64905062588778","-154.64905062588778","2931","2931","2931","-154.65849165482953","-154.65849165482953","-154.65849165482953"
"1432","2932","2932","2932","-154.6403253728693","-154.6403253728693","-154.6403253728693","2932","2932","2932","-154.64914783397754","-154.64914783397754","-154.64914783397754","2932","2932","2932","-154.65862684983475","-154.65862684983475","-154.65862684983475"
"1433","2933","2933","2933","-154.6399835973353","-154.6399835973353","-154.6399835973353","2933","2933","2933","-154.6492725719105","-154.6492725719105","-154.6492725719105","2933","2933","2933","-154.6588284152371","-154.6588284152371","-154.6588284152371"
"1434","2934","2934","2934","-154.63955923227164","-154.63955923227164","-154.63955923227164","2934","2934","2934","-154.64959535398683","-154.64959535398683","-154.64959535398683","2934","2934","2934","-154.6588319364961","-154.6588319364961","-154.6588319364961"
"1435","2935","2935","2935","-154.63926526049633","-154.63926526049633","-154.63926526049633","2935","2935","2935","-154.64971849134753","-154.64971849134753","-154.64971849134753","2935","2935","2935","-154.65909186943426","-154.65909186943426","-154.65909186943426"
"1436","2936","2936","2936","-154.63905835985304","-154.63905835985304","-154.63905835985304","2936","2936","2936","-154.64983543982873","-154.64983543982873","-154.64983543982873","2936","2936","2936","-154.65910766174744","-154.65910766174744","-154.65910766174744"
"1437","2937","2937","2937","-154.63902272044362","-154.63902272044362","-154.63902272044362","2937","2937","2937","-154.65019087357953","-154.65019087357953","-154.65019087357953","2937","2937","2937","-154.65912836248225","-154.65912836248225","-154.65912836248225"
"1438","2938","2938","2938","-154.63897918487763","-154.63897918487763","-154.63897918487763","2938","2938","2938","-154.65032265403053","-154.65032265403053","-154.65032265403053","2938","2938","2938","-154.65936343319765","-154.65936343319765","-154.65936343319765"
"1439","2939","2939","2939","-154.6388891260107","-154.6388891260107","-154.6388891260107","2939","2939","2939","-154.65061513193837","-154.65061513193837","-154.65061513193837","2939","2939","2939","-154.65939032281196","-154.65939032281196","-154.65939032281196"
"1440","2940","2940","2940","-154.63900576697455","-154.63900576697455","-154.63900576697455","2940","2940","2940","-154.65070131089954","-154.65070131089954","-154.65070131089954","2940","2940","2940","-154.6594475640191","-154.6594475640191","-154.6594475640191"
"1441","2941","2941","2941","-154.63888221316867","-154.63888221316867","-154.63888221316867","2941","2941","2941","-154.6509279674954","-154.6509279674954","-154.6509279674954","2941","2941","2941","-154.65948083665637","-154.65948083665637","-154.65948083665637"
"1442","2942","2942","2942","-154.63897365993924","-154.63897365993924","-154.63897365993924","2942","2942","2942","-154.65113629235162","-154.65113629235162","-154.65113629235162","2942","2942","2942","-154.65945646497937","-154.65945646497937","-154.65945646497937"
"1443","2943","2943","2943","-154.63896115620932","-154.63896115620932","-154.63896115620932","2943","2943","2943","-154.65149349636502","-154.65149349636502","-154.65149349636502","2943","2943","2943","-154.6592067082723","-154.6592067082723","-154.6592067082723"
"1444","2944","2944","2944","-154.6389217376709","-154.6389217376709","-154.6389217376709","2944","2944","2944","-154.65170945061578","-154.65170945061578","-154.65170945061578","2944","2944","2944","-154.6591387854682","-154.6591387854682","-154.6591387854682"
"1445","2945","2945","2945","-154.63878356085883","-154.63878356085883","-154.63878356085883","2945","2945","2945","-154.65185928344727","-154.65185928344727","-154.65185928344727","2945","2945","2945","-154.659045431349","-154.659045431349","-154.659045431349"
"1446","2946","2946","2946","-154.6389011806912","-154.6389011806912","-154.6389011806912","2946","2946","2946","-154.6519216961331","-154.6519216961331","-154.6519216961331","2946","2946","2946","-154.6589699851142","-154.6589699851142","-154.6589699851142"
"1447","2947","2947","2947","-154.63898277282715","-154.63898277282715","-154.63898277282715","2947","2947","2947","-154.65199671851263","-154.65199671851263","-154.65199671851263","2947","2947","2947","-154.65899319118924","-154.65899319118924","-154.65899319118924"
"1448","2948","2948","2948","-154.63890149858264","-154.63890149858264","-154.63890149858264","2948","2948","2948","-154.65199375152588","-154.65199375152588","-154.65199375152588","2948","2948","2948","-154.65913910335965","-154.65913910335965","-154.65913910335965"
"1449","2949","2949","2949","-154.63899739583334","-154.63899739583334","-154.63899739583334","2949","2949","2949","-154.65215873718262","-154.65215873718262","-154.65215873718262","2949","2949","2949","-154.65923945109049","-154.65923945109049","-154.65923945109049"
"1450","2950","2950","2950","-154.63901682886583","-154.63901682886583","-154.63901682886583","2950","2950","2950","-154.65221399767645","-154.65221399767645","-154.65221399767645","2950","2950","2950","-154.65917905610183","-154.65917905610183","-154.65917905610183"
