"opt/step","C4H4-new-1-3.0-1-104613 - _step","C4H4-new-1-3.0-1-104613 - _step__MIN","C4H4-new-1-3.0-1-104613 - _step__MAX","C4H4-new-1-3.0-1-104613 - opt/E_smooth","C4H4-new-1-3.0-1-104613 - opt/E_smooth__MIN","C4H4-new-1-3.0-1-104613 - opt/E_smooth__MAX","C4H4-new-1-9.0-3-104613 - _step","C4H4-new-1-9.0-3-104613 - _step__MIN","C4H4-new-1-9.0-3-104613 - _step__MAX","C4H4-new-1-9.0-3-104613 - opt/E_smooth","C4H4-new-1-9.0-3-104613 - opt/E_smooth__MIN","C4H4-new-1-9.0-3-104613 - opt/E_smooth__MAX","C4H4-new-1-6.0-2-104613 - _step","C4H4-new-1-6.0-2-104613 - _step__MIN","C4H4-new-1-6.0-2-104613 - _step__MAX","C4H4-new-1-6.0-2-104613 - opt/E_smooth","C4H4-new-1-6.0-2-104613 - opt/E_smooth__MIN","C4H4-new-1-6.0-2-104613 - opt/E_smooth__MAX"
"24","1524","1524","1524","-148.47702026367188","-148.47702026367188","-148.47702026367188","1524","1524","1524","-150.09957122802734","-150.09957122802734","-150.09957122802734","1524","1524","1524","-149.0789031982422","-149.0789031982422","-149.0789031982422"
"25","1525","1525","1525","-148.62357330322266","-148.62357330322266","-148.62357330322266","1525","1525","1525","-150.08084106445312","-150.08084106445312","-150.08084106445312","1525","1525","1525","-148.9681396484375","-148.9681396484375","-148.9681396484375"
"26","1526","1526","1526","-148.7071990966797","-148.7071990966797","-148.7071990966797","1526","1526","1526","-150.10611724853516","-150.10611724853516","-150.10611724853516","1526","1526","1526","-148.81537628173828","-148.81537628173828","-148.81537628173828"
"27","1527","1527","1527","-148.8507537841797","-148.8507537841797","-148.8507537841797","1527","1527","1527","-150.13983917236328","-150.13983917236328","-150.13983917236328","1527","1527","1527","-148.76248168945312","-148.76248168945312","-148.76248168945312"
"28","1528","1528","1528","-148.92583465576172","-148.92583465576172","-148.92583465576172","1528","1528","1528","-150.17366790771484","-150.17366790771484","-150.17366790771484","1528","1528","1528","-148.6990966796875","-148.6990966796875","-148.6990966796875"
"29","1529","1529","1529","-148.8665313720703","-148.8665313720703","-148.8665313720703","1529","1529","1529","-150.13240814208984","-150.13240814208984","-150.13240814208984","1529","1529","1529","-148.64318084716797","-148.64318084716797","-148.64318084716797"
"30","1530","1530","1530","-148.84729512532553","-148.84729512532553","-148.84729512532553","1530","1530","1530","-150.0835927327474","-150.0835927327474","-150.0835927327474","1530","1530","1530","-148.68262227376303","-148.68262227376303","-148.68262227376303"
"31","1531","1531","1531","-148.86890157063803","-148.86890157063803","-148.86890157063803","1531","1531","1531","-149.9532674153646","-149.9532674153646","-149.9532674153646","1531","1531","1531","-148.70340983072916","-148.70340983072916","-148.70340983072916"
"32","1532","1532","1532","-148.9239501953125","-148.9239501953125","-148.9239501953125","1532","1532","1532","-149.91255696614584","-149.91255696614584","-149.91255696614584","1532","1532","1532","-148.79471842447916","-148.79471842447916","-148.79471842447916"
"33","1533","1533","1533","-148.99827575683594","-148.99827575683594","-148.99827575683594","1533","1533","1533","-149.87100728352866","-149.87100728352866","-149.87100728352866","1533","1533","1533","-148.89909871419272","-148.89909871419272","-148.89909871419272"
"34","1534","1534","1534","-149.05980936686197","-149.05980936686197","-149.05980936686197","1534","1534","1534","-149.9521687825521","-149.9521687825521","-149.9521687825521","1534","1534","1534","-149.05326334635416","-149.05326334635416","-149.05326334635416"
"35","1535","1535","1535","-149.15831502278647","-149.15831502278647","-149.15831502278647","1535","1535","1535","-149.91424051920572","-149.91424051920572","-149.91424051920572","1535","1535","1535","-149.14657592773438","-149.14657592773438","-149.14657592773438"
"36","1536","1536","1536","-149.2411346435547","-149.2411346435547","-149.2411346435547","1536","1536","1536","-149.9581502278646","-149.9581502278646","-149.9581502278646","1536","1536","1536","-149.17664591471353","-149.17664591471353","-149.17664591471353"
"37","1537","1537","1537","-149.3040974934896","-149.3040974934896","-149.3040974934896","1537","1537","1537","-149.95753479003906","-149.95753479003906","-149.95753479003906","1537","1537","1537","-149.15950520833334","-149.15950520833334","-149.15950520833334"
"38","1538","1538","1538","-149.37354532877603","-149.37354532877603","-149.37354532877603","1538","1538","1538","-150.00982666015625","-150.00982666015625","-150.00982666015625","1538","1538","1538","-149.18077596028647","-149.18077596028647","-149.18077596028647"
"39","1539","1539","1539","-149.44068908691406","-149.44068908691406","-149.44068908691406","1539","1539","1539","-150.06212361653647","-150.06212361653647","-150.06212361653647","1539","1539","1539","-149.26914978027344","-149.26914978027344","-149.26914978027344"
"40","1540","1540","1540","-149.4422950744629","-149.4422950744629","-149.4422950744629","1540","1540","1540","-150.0446891784668","-150.0446891784668","-150.0446891784668","1540","1540","1540","-149.26293563842773","-149.26293563842773","-149.26293563842773"
"41","1541","1541","1541","-149.48077011108398","-149.48077011108398","-149.48077011108398","1541","1541","1541","-150.047607421875","-150.047607421875","-150.047607421875","1541","1541","1541","-149.28253555297852","-149.28253555297852","-149.28253555297852"
"42","1542","1542","1542","-149.48918914794922","-149.48918914794922","-149.48918914794922","1542","1542","1542","-150.09188079833984","-150.09188079833984","-150.09188079833984","1542","1542","1542","-149.2806167602539","-149.2806167602539","-149.2806167602539"
"43","1543","1543","1543","-149.53207397460938","-149.53207397460938","-149.53207397460938","1543","1543","1543","-150.0855598449707","-150.0855598449707","-150.0855598449707","1543","1543","1543","-149.23611068725586","-149.23611068725586","-149.23611068725586"
"44","1544","1544","1544","-149.5787353515625","-149.5787353515625","-149.5787353515625","1544","1544","1544","-150.0621109008789","-150.0621109008789","-150.0621109008789","1544","1544","1544","-149.25214767456055","-149.25214767456055","-149.25214767456055"
