Molecule,16det,16det,1det,1det,baseline,baseline,nojastrow
State,singlet,triplet,singlet,triplet,singlet,triplet,singlet
opt/step,,,,,,,
162,-60.23356628417969,-60.3259162902832,-60.50020217895508,-60.014259338378906,-60.14650344848633,-60.25478744506836,-60.332244873046875
163,-60.516387939453125,-60.2962646484375,-60.35804748535156,-60.170265197753906,-60.2291145324707,-60.28075408935547,-60.33641815185547
164,-60.44255065917969,-60.348018646240234,-60.3721923828125,-60.170806884765625,-60.664085388183594,-60.299598693847656,-60.28260040283203
165,-60.42863464355469,-60.37998962402344,-60.3743896484375,-60.102210998535156,-60.71726989746094,-60.25558090209961,-60.409828186035156
166,-60.4039306640625,-60.460426330566406,-60.34143829345703,-60.263092041015625,-60.454681396484375,-60.35789108276367,-60.439125061035156
167,-60.39921569824219,-60.29156494140625,-60.516273498535156,-60.15473556518555,-60.59547424316406,-60.32430648803711,-60.370025634765625
168,-60.37325668334961,-60.28101348876953,-60.481109619140625,-60.26232147216797,-60.60558319091797,-60.28112030029297,-60.417022705078125
169,-60.45954132080078,-60.341644287109375,-60.42027282714844,-60.141143798828125,-60.59014892578125,-60.3757438659668,-60.417728424072266
170,-60.42258834838867,-60.34099578857422,-60.42649841308594,-60.3026123046875,-60.62824630737305,-60.28922653198242,-60.489227294921875
171,-60.564510345458984,-60.30234146118164,-60.435386657714844,-60.28471374511719,-60.57598876953125,-60.37670135498047,-60.45185852050781
172,-60.47812271118164,-60.23682403564453,-60.58493423461914,-60.32255935668945,-60.60771179199219,-60.33610916137695,-60.478641510009766
173,-60.526458740234375,-60.313987731933594,-60.626731872558594,-60.274749755859375,-60.459903717041016,-60.390525817871094,-60.471675872802734
174,-60.51148223876953,-60.42268753051758,-60.56889343261719,-60.23499298095703,-60.45637512207031,-60.408538818359375,-60.54923629760742
175,-60.48302459716797,-60.37709045410156,-60.555030822753906,-60.15201187133789,-60.57682800292969,-60.41285705566406,-60.531375885009766
176,-60.477081298828125,-60.43842315673828,-60.57213592529297,-60.33280944824219,-60.68656539916992,-60.46574020385742,-60.40956115722656
177,-60.51000213623047,-60.475975036621094,-60.52234649658203,-60.223533630371094,-60.666080474853516,-60.42236328125,-60.48116683959961
178,-60.43228530883789,-60.372230529785156,-60.476844787597656,-60.26951217651367,-60.70091247558594,-60.29903030395508,-60.300933837890625
179,-60.568397521972656,-60.434600830078125,-60.463653564453125,-60.35579299926758,-60.60090637207031,-60.39886474609375,-60.48491668701172
180,-60.57844543457031,-60.42564392089844,-60.57384490966797,-60.28475570678711,-60.64377975463867,-60.33867645263672,-60.29741287231445
181,-60.584449768066406,-60.506126403808594,-60.58109664916992,-60.267852783203125,-60.702003479003906,-60.464996337890625,-60.47870635986328
182,-60.60333251953125,-60.481021881103516,-60.54045867919922,-60.33113098144531,-60.722137451171875,-60.4051513671875,-60.41407012939453
183,-60.60292053222656,-60.4900016784668,-60.61770248413086,-60.38050842285156,-60.70317840576172,-60.538970947265625,-60.418479919433594
184,-60.49024963378906,-60.49127197265625,-60.566680908203125,-60.42406463623047,-60.723445892333984,-60.5550651550293,-60.526832580566406
185,-60.6103515625,-60.47621154785156,-60.5600471496582,-60.48835372924805,-60.785491943359375,-60.44975662231445,-60.55901336669922
186,-60.58115768432617,-60.4578857421875,-60.647254943847656,-60.4267463684082,-60.729000091552734,-60.57844543457031,-60.65150451660156
187,-60.54771423339844,-60.53669357299805,-60.59416580200195,-60.302433013916016,-60.72926330566406,-60.578670501708984,-60.52014923095703
188,-60.651973724365234,-60.48622131347656,-60.654632568359375,-60.42156982421875,-60.72151565551758,-60.455501556396484,-60.62249755859375
189,-60.708473205566406,-60.3475341796875,-60.6827392578125,-60.452762603759766,-60.755863189697266,-60.53755569458008,-60.4512939453125
190,-60.61125946044922,-60.42724609375,-60.630958557128906,-60.43745422363281,-60.76655197143555,-60.55506134033203,-60.75823974609375
191,-60.646392822265625,-60.555152893066406,-60.67287063598633,-60.451778411865234,-60.767127990722656,-60.44942855834961,-60.650718688964844
192,-60.71855163574219,-60.4946174621582,-60.62684631347656,-60.35319519042969,-60.83650207519531,-60.55799865722656,-60.73038101196289
193,-60.61740493774414,-60.48085021972656,-60.64118576049805,-60.48011779785156,-60.8036994934082,-60.59101867675781,-60.621177673339844
194,-60.60453796386719,-60.508304595947266,-60.694969177246094,-60.468116760253906,-60.852325439453125,-60.56318664550781,-60.5834846496582
195,-60.51216125488281,-60.5482063293457,-60.70886993408203,-60.54722595214844,-60.826995849609375,-60.575191497802734,-60.60185241699219
196,-60.74717330932617,-60.575496673583984,-60.61763381958008,-60.511253356933594,-60.87983703613281,-60.62453079223633,-60.617671966552734
197,-60.736106872558594,-60.55569076538086,-60.65093231201172,-60.42132568359375,-60.76100540161133,-60.4607048034668,-60.65160369873047
198,-60.681068420410156,-60.48815155029297,-60.681373596191406,-60.442447662353516,-60.84187316894531,-60.5322151184082,-60.616050720214844
199,-60.67090606689453,-60.433143615722656,-60.6436767578125,-60.54074478149414,-60.689239501953125,-60.551246643066406,-60.63085174560547
200,-60.64726257324219,-60.39165115356445,-60.6784553527832,-60.53377914428711,-60.823089599609375,-60.555320739746094,-60.6837158203125
201,-60.57402801513672,-60.519161224365234,-60.66435241699219,-60.53620147705078,-60.85452651977539,-60.547698974609375,-60.66943359375
202,-60.75412368774414,-60.57535171508789,-60.732479095458984,-60.496734619140625,-60.81205749511719,-60.5888557434082,-60.67882537841797
203,-60.71997833251953,-60.53870391845703,-60.6824951171875,-60.40550994873047,-60.84618377685547,-60.56941604614258,-60.692562103271484
204,-60.734397888183594,-60.60912322998047,-60.68982696533203,-60.59401321411133,-60.93901824951172,-60.6089973449707,-60.597721099853516
205,-60.668922424316406,-60.494850158691406,-60.7436637878418,-60.514488220214844,-60.77388381958008,-60.54755783081055,-60.74815368652344
206,-60.75336837768555,-60.59842300415039,-60.68907165527344,-60.458126068115234,-60.820064544677734,-60.51950454711914,-60.60932159423828
207,-60.74626541137695,-60.6103401184082,-60.7188606262207,-60.54379653930664,-60.83823013305664,-60.613216400146484,-60.72560119628906
208,-60.75884246826172,-60.613712310791016,-60.784603118896484,-60.429466247558594,-60.911705017089844,-60.64976119995117,-60.68585205078125
