step,E_neutral_Ha,E_charged_Ha,deltaE_raw_mHa,deltaE_cleaned_mHa
36,-189.7403944002504,-187.62657132741515,2113.8230728352596,2113.8230728352596
37,-189.8374780214296,-187.67078810736515,2166.689914064449,2166.689914064449
38,-190.1346216340937,-188.13259338372237,2002.0282503713247,2002.0282503713247
39,-190.08146467617595,-188.73360686641436,1347.8578097615923,1347.8578097615923
40,-190.0120593755412,-188.3290240763286,1683.0352992126052,1683.0352992126052
41,-190.31756780721884,-189.19189808635096,1125.6697208678759,1125.6697208678759
42,-190.47842886486717,-189.3395978972537,1138.8309676134725,1138.8309676134725
43,-190.62736556203689,-189.31104938571804,1316.3161763188498,1316.3161763188498
44,-190.68672591629704,-189.22254119448115,1464.184721815883,1464.184721815883
45,-190.4089980498951,-189.49525498089827,913.7430689968369,913.7430689968369
46,-190.8020397857904,-189.61570837390727,1186.3314118831454,1186.3314118831454
47,-191.07710137666828,-189.82641860020212,1250.6827764661637,1250.6827764661637
48,-191.7943065497909,-189.8043154286728,1989.991121118095,1989.991121118095
49,-191.41630289168893,-189.9167713141057,1499.531577583241,1499.531577583241
50,-191.20630817927767,-190.26362093314285,942.6872461348239,942.6872461348239
51,-191.22977383717927,-190.0258545737852,1203.9192633940559,1203.9192633940559
52,-191.8251522798276,-190.0951674455159,1729.9848343116935,1729.9848343116935
53,-191.80644682078184,-190.61328104600565,1193.1657747761903,1193.1657747761903
54,-191.9412567072732,-190.86451782507703,1076.7388821961674,1076.7388821961674
55,-191.87166736608955,-190.98564326832053,886.0240977690239,886.0240977690239
56,-192.33320512699,-191.0318060938413,1301.399033148698,1301.399033148698
57,-192.07446455173408,-191.2889924419472,785.4721097868946,785.4721097868946
58,-192.1866678394936,-191.3262709235852,860.3969159083817,860.3969159083817
59,-192.3242511133201,-191.53662354101783,787.6275723022559,787.6275723022559
60,-192.22118328650163,-191.5071695192304,714.0137672712399,714.0137672712399
61,-192.29031873211937,-191.82504202989185,465.27670222752704,465.27670222752704
62,-192.76572872154517,-191.64652064041968,1119.2080811254925,1119.2080811254925
63,-193.40584979693017,-191.88253857858624,1523.3112183439346,1523.3112183439346
64,-192.84035119530083,-191.87438005961707,965.971135683759,965.971135683759
65,-193.1334286525959,-192.01355987340375,1119.86877919216,1119.86877919216
66,-193.0747224595937,-192.04322353103905,1031.4989285546403,1031.4989285546403
67,-192.63363086662488,-192.12258604822924,511.0448183956464,511.0448183956464
68,-193.2798688837377,-192.1113343246508,1168.5345590868792,1168.5345590868792
69,-193.2574436012557,-192.43810697765093,819.3366236047552,819.3366236047552
70,-193.64764216063747,-192.4762983998409,1171.3437607965602,1171.3437607965602
71,-193.2461256469649,-192.52006045702623,726.0651899386801,726.0651899386801
72,-193.3532143670824,-192.8270746485317,526.1397185506951,526.1397185506951
73,-193.7357756685113,-192.7764274784912,959.3481900201084,959.3481900201084
74,-193.9785788773471,-192.8240949111693,1154.4839661777928,1154.4839661777928
75,-193.95949372420665,-192.63454835402928,1324.9453701773746,1324.9453701773746
76,-194.0154164410588,-192.9849393106417,1030.477130417097,1030.477130417097
77,-193.8124639282973,-193.07482906081827,737.6348674790165,737.6348674790165
78,-193.9916495619012,-193.08576712099529,905.8824409059127,905.8824409059127
79,-194.20735384627665,-193.18600502312492,1021.348823151726,1021.348823151726
80,-194.1780422423525,-193.23246089078785,945.5813515646412,945.5813515646412
81,-194.39670855222025,-193.2681146543929,1128.5938978273578,1128.5938978273578
82,-194.2144408087268,-193.53076450978463,683.6762989421743,683.6762989421743
83,-194.5370787434942,-193.5646870816027,972.3916618914927,972.3916618914927
84,-194.39671436367087,-193.7415985246937,655.1158389771672,655.1158389771672
85,-194.49348234472063,-193.67960851222125,813.8738324993824,813.8738324993824
86,-194.54631033072027,-193.5187418491976,1027.5684815226782,1027.5684815226782
87,-194.40522532953307,-193.86262435014748,542.6009793855826,542.6009793855826
88,-194.3851044403596,-193.77095077504853,614.1536653110791,614.1536653110791
89,-194.4063145590492,-193.9652291992367,441.0853598125186,441.0853598125186
90,-194.7177161575344,-194.01323274250575,704.4834150286476,704.4834150286476
91,-194.97127851114425,-193.5912251672379,1380.0533439063543,1380.0533439063543
92,-194.65368544715693,-194.23103695756623,422.6484895906992,422.6484895906992
93,-194.93040556427368,-194.3127154335056,617.6901307680964,617.6901307680964
94,-194.94356162149,-194.06185469067825,881.7069308117595,881.7069308117595
95,-195.0182892980232,-194.15136448375108,866.9248142721244,866.9248142721244
96,-194.954217507856,-194.14375208915996,810.4654186960261,810.4654186960261
97,-195.16836357170703,-194.37357069164668,794.7928800603563,794.7928800603563
98,-195.06999060433355,-194.49817253773176,571.8180666017929,571.8180666017929
99,-221.0169816562362,-194.53598885833344,26480.992797902756,571.8180666017929
100,-195.1256234194865,-194.61533197611135,510.291443375138,510.291443375138
101,-195.47376315536485,-194.61473542312177,859.0277322430779,859.0277322430779
102,-195.1730292093327,-194.7594525980723,413.576611260396,413.576611260396
103,-195.5508471211208,-194.92835389679823,622.493224322568,622.493224322568
104,-195.3952453901209,-194.89202402974183,503.22136037905807,503.22136037905807
105,-195.41827689146191,-195.1897234766108,228.55341485112035,228.55341485112035
106,-195.3507456038928,-195.0940460461586,256.69955773417996,256.69955773417996
107,-195.8342749429085,-195.3832055467406,451.0693961678953,451.0693961678953
108,-195.6097850441389,-194.9453604248996,664.4246192392984,664.4246192392984
109,-195.8625429114039,-195.3273961812596,535.1467301443051,535.1467301443051
110,-195.859791800036,-195.22418680576493,635.6049942710627,635.6049942710627
111,-195.66361323947316,-195.50393512033708,159.67811913608898,159.67811913608898
112,-195.89196034696067,-195.30245192989972,589.508417060955,589.508417060955
113,-195.93616242052144,-189.88714725502183,6049.015165499612,6049.015165499612
114,-195.622659026502,-195.3174004931775,305.2585333244906,305.2585333244906
115,-196.0865431773736,-195.44460717788343,641.9359994901868,641.9359994901868
116,-195.964057189196,-195.82258161345584,141.47557574017355,141.47557574017355
117,-196.19826598290152,-195.4519193939421,746.3465889594261,746.3465889594261
118,-196.234476269638,-195.71882688588155,515.649383756454,515.649383756454
119,-196.0363206321523,-195.7563825906143,279.93804153800284,279.93804153800284
120,-196.26204733911896,-195.40375912051672,858.2882186022402,858.2882186022402
121,-196.28287349963935,-195.75371178387024,529.1617157691064,529.1617157691064
122,-196.05545894996044,-195.86176246651308,193.69648344735424,193.69648344735424
123,-196.52250832181076,-195.96022262178565,562.2857000251145,562.2857000251145
124,-196.32708245513763,-195.7949818486752,532.1006064624214,532.1006064624214
125,-196.21072299802853,-195.88259079817283,328.13219985570186,328.13219985570186
126,-196.2110901303097,-196.2114210292528,-0.33089894307636314,-0.33089894307636314
127,-196.4928396324109,-195.817124248119,675.715384291891,675.715384291891
128,-196.5317016163717,-196.02160277300908,510.0988433626128,510.0988433626128
129,-196.38326862875036,-195.87092529863628,512.3433301140778,512.3433301140778
130,-196.40867270530123,-196.0878924792052,320.7802260960193,320.7802260960193
131,-196.37523336673055,-195.9979449996308,377.28836709976576,377.28836709976576
132,-196.7891809412287,-196.1190649808886,670.1159603400981,670.1159603400981
133,-196.6638378322728,-196.153379713625,510.45811864781854,510.45811864781854
134,-196.61474684341744,-196.20201656670145,412.7302767159904,412.7302767159904
135,-196.5554671780779,-196.3201127913798,235.35438669807718,235.35438669807718
136,-196.9293458315827,-196.3206608832482,608.6849483345134,608.6849483345134
137,-196.83540484909196,-196.53340075794384,302.0040911481203,302.0040911481203
138,-196.84217301817125,-196.349711646277,492.461371894251,492.461371894251
139,-196.7949311238821,-196.1869768414807,607.9542824013799,607.9542824013799
140,-196.7100152388495,-196.2609789790133,449.03625983621964,449.03625983621964
141,-196.6043953351429,-196.52247558739424,81.91974774865685,81.91974774865685
142,-196.87949928794163,-196.51209769464015,367.40159330148003,367.40159330148003
143,-197.05617012265523,-196.51902018570868,537.1499369465482,537.1499369465482
144,-196.88828674642275,-196.388499581944,499.7871644787608,499.7871644787608
145,-196.912258014918,-196.5301740888926,382.08392602538765,382.08392602538765
146,-196.8633844761954,-196.5415839773224,321.8004988729888,321.8004988729888
147,-196.82478127248064,-196.52830698506648,296.4742874141564,296.4742874141564
148,-197.004462882991,-196.3995676713714,604.8952116196062,604.8952116196062
149,-197.12606474336783,-196.78765696102167,338.40778234616664,338.40778234616664
150,-197.1679289496299,-196.65038183209907,517.5471175308246,517.5471175308246
151,-197.0429327595566,-196.60899002132984,433.94273822676155,433.94273822676155
152,-197.13887203872315,-196.71836696074692,420.50507797623027,420.50507797623027
153,-197.1490730019885,-196.6319207643852,517.1522376033124,517.1522376033124
154,-197.22390630883692,-196.92912061866755,294.7856901693626,294.7856901693626
155,-197.10195947349968,-196.8629574089425,239.00206455718376,239.00206455718376
156,-197.10518981121123,-196.9056438387806,199.54597243062722,199.54597243062722
157,-197.30493295910463,-196.91626247877863,388.6704803259988,388.6704803259988
158,-197.35652666561992,-196.90894806158488,447.57860403504424,447.57860403504424
159,-197.33648019806589,-197.2536951897534,82.78500831249858,82.78500831249858
160,-197.27495182687048,-197.1649218391728,110.02998769768624,110.02998769768624
161,-197.3790674521963,-197.0969460427765,282.12140941980124,282.12140941980124
162,-197.35589307781493,-196.98657581670452,369.3172611104103,369.3172611104103
163,-197.34917443125815,-197.17437825032945,174.79618092869487,174.79618092869487
164,-197.39399276121333,-197.23334668711624,160.64607409708742,160.64607409708742
165,-197.5033686403629,-196.97695926919977,526.4093711631403,526.4093711631403
166,-197.51972735601584,-197.13983667345911,379.8906825567201,379.8906825567201
167,-197.5367886090904,-197.0948239908879,441.96461820249056,441.96461820249056
168,-197.3948814167833,-197.1670234516953,227.85796508802036,227.85796508802036
169,-197.56951303065188,-197.1317472063,437.76582435188516,437.76582435188516
170,-197.54676605983516,-197.15313772066747,393.6283391676909,393.6283391676909
171,-197.54941621329917,-197.1384696103245,410.94660297466135,410.94660297466135
172,-197.6324782155276,-197.28649845376805,345.97976175956546,345.97976175956546
173,-197.5879270298172,-197.2353413564222,352.5856733949979,352.5856733949979
174,-197.5605996313514,-197.0411055026648,519.4941286866026,519.4941286866026
175,-197.71927941897184,-197.1267221851313,592.5572338405232,592.5572338405232
176,-197.65716718767297,-197.327419418617,329.74776905595604,329.74776905595604
177,-197.83860655673695,-197.21196910449956,626.6374522373894,626.6374522373894
178,-197.65207739791623,-197.23005999474805,422.0174031681836,422.0174031681836
179,-197.70501263939772,-197.23755631464164,467.45632475608545,467.45632475608545
180,-197.75602020103628,-197.3059710396055,450.0491614307691,450.0491614307691
181,-197.6151479637097,-197.30716793273277,307.98003097692117,307.98003097692117
182,-197.70669982326643,-197.30504294236917,401.6568808972636,401.6568808972636
183,-197.72698515330765,-197.2089011019479,518.0840513597502,518.0840513597502
184,-197.75139053280063,-197.59970115090107,151.68938189955838,151.68938189955838
185,-197.82206310169076,-197.3401944481404,481.86865355035025,481.86865355035025
186,-197.86111444683095,-197.4684664309948,392.6480158361585,392.6480158361585
187,-197.85840363698645,-197.51655858324847,341.845053737984,341.845053737984
188,-197.7902110996707,-197.432709984004,357.5011156667074,357.5011156667074
189,-197.89511953218744,-197.6261977060168,268.9218261706401,268.9218261706401
190,-197.8670024420815,-197.3806162721401,486.3861699414258,486.3861699414258
191,-197.73003760580363,-197.49158699486463,238.45061093899744,238.45061093899744
192,-197.70522611787536,-197.6142897858486,90.93633202675733,90.93633202675733
193,-198.16168566773047,-197.56529680066436,596.3888670661106,596.3888670661106
194,-197.8867469265201,-197.7322802241416,154.46670237849958,154.46670237849958
195,-197.9477343109762,-197.6850883522194,262.6459587567922,262.6459587567922
196,-198.02027401509469,-197.66739983155784,352.87418353684075,352.87418353684075
197,-198.09420369705344,-197.71143703896536,382.7666580880873,382.7666580880873
198,-198.0949199371715,-197.6363597407254,458.5601964461148,458.5601964461148
199,-198.11247105175536,-197.5160883597464,596.382692008973,596.382692008973
200,-198.0104885058979,-197.50113630442297,509.35220147493965,509.35220147493965
201,-198.01961925451687,-197.7856077932231,234.01146129376116,234.01146129376116
202,-198.1074286573019,-197.7774150246774,330.0136326245138,330.0136326245138
203,-198.3072205768804,-197.66379072991572,643.4298469646933,643.4298469646933
204,-197.9018889404735,-197.64879258365767,253.0963568158313,253.0963568158313
205,-197.986108471184,-197.8882244386916,97.88403249240218,97.88403249240218
206,-197.96816682144245,-197.86737263440568,100.79418703676879,100.79418703676879
207,-197.98112743504947,-197.8222966544114,158.83078063808398,158.83078063808398
208,-198.19984310525928,-197.59449006549067,605.3530397686018,605.3530397686018
209,-198.2431735164454,-197.80042686844357,442.7466480018438,442.7466480018438
210,-198.27883616981276,-197.8239080880848,454.9280817279566,454.9280817279566
211,-198.37290095270012,-197.75480069120488,618.1002614952433,618.1002614952433
212,-198.2076225012761,-197.95146935645303,256.1531448230596,256.1531448230596
213,-198.184548651973,-197.89478199267808,289.7666592949122,289.7666592949122
214,-198.2166208703375,-198.0405399676117,176.08090272580057,176.08090272580057
215,-198.21910759333892,-197.92070397845927,298.4036148796463,298.4036148796463
216,-198.29276811343505,-197.9717418737761,321.0262396589485,321.0262396589485
217,-198.26703821602555,-198.0168816373918,250.1565786337494,250.1565786337494
218,-198.4081790410728,-197.8880293779277,520.149663145105,520.149663145105
219,-198.39783248446048,-197.94815112451664,449.6813599438383,449.6813599438383
220,-198.31140935078247,-198.0284839624462,282.925388336281,282.925388336281
221,-198.16600531104783,-197.96994266719784,196.0626438499844,196.0626438499844
222,-198.4082034536456,-198.08769773677008,320.5057168755161,320.5057168755161
223,-198.3622132669128,-198.03905866949407,323.1545974187213,323.1545974187213
224,-198.3423345538895,-198.07033789640516,271.99665748432267,271.99665748432267
225,-198.4358029049954,-198.08779339026847,348.0095147269253,348.0095147269253
226,-198.40206625930412,-197.9656267674257,436.43949187841713,436.43949187841713
227,-198.4826275094736,-197.94201157238632,540.6159370872672,540.6159370872672
228,-198.49671011547483,-198.0982294345531,398.48068092172184,398.48068092172184
229,-198.4381978294057,-198.13684190566724,301.35592373846976,301.35592373846976
230,-198.43879864401103,-197.96306194238065,475.73670163038173,475.73670163038173
231,-198.4656651936994,-198.01752100374188,448.1441899575316,448.1441899575316
232,-198.50587091000656,-198.21160403106185,294.26687894471115,294.26687894471115
233,-198.57370068835465,-198.18340928743828,390.29140091636805,390.29140091636805
234,-198.409252583878,-198.07075404043889,338.49854343910124,338.49854343910124
235,-198.49793154119152,-198.1242412702437,373.6902709478329,373.6902709478329
236,-198.4908900095195,-198.19924744010245,291.6425694170357,291.6425694170357
237,-198.66797061519503,-198.24419781511736,423.77280007767126,423.77280007767126
238,-198.63531084984297,-198.29399027150737,341.3205783355977,341.3205783355977
239,-198.57041404412556,-198.2876628463989,282.7511977266681,282.7511977266681
240,-198.4397889629536,-198.153768001181,286.02096177260705,286.02096177260705
241,-198.6871153839156,-198.2709041675295,416.2112163861025,416.2112163861025
242,-198.48037332114865,-198.2495635093387,230.80981180993376,230.80981180993376
243,-198.45605492600745,-198.2173459704539,238.70895555356242,238.70895555356242
244,-198.55230474980675,-198.1147318932567,437.5728565500481,437.5728565500481
245,-198.6895730965365,-198.19721364201024,492.35945452625174,492.35945452625174
246,-198.66582414643497,-198.2884015426461,377.42260378885817,377.42260378885817
247,-198.42785321877767,-198.4097963836979,18.056835079761413,18.056835079761413
248,-198.5355374798253,-198.31593071896964,219.60676085566888,219.60676085566888
249,-198.56878401979407,-198.34917044513492,219.61357465914944,219.61357465914944
250,-198.59582042282327,-198.37400441249895,221.81601032431786,221.81601032431786
251,-198.48244583974687,-198.34324089713223,139.20494261464,139.20494261464
252,-198.7312099881574,-198.2920579013139,439.1520868434782,439.1520868434782
253,-198.6280605862499,-198.3915549676356,236.50561861427377,236.50561861427377
254,-198.72469336434412,-198.4251851591221,299.5082052220255,299.5082052220255
255,-198.7016312108409,-198.3089510982519,392.68011258900515,392.68011258900515
256,-198.7221683032206,-198.3611938089484,360.97449427219885,360.97449427219885
257,-198.77846720667367,-198.35651561834032,421.9515883333429,421.9515883333429
258,-198.7443064060001,-198.4207882597458,323.5181462543153,323.5181462543153
259,-198.74681982644023,-198.3747033419496,372.1164844906184,372.1164844906184
260,-198.71066898092727,-198.2969427282582,413.72625266907903,413.72625266907903
261,-198.69032389194484,-198.43706507263872,253.25881930612582,253.25881930612582
262,-198.85481589631985,-198.5895302825885,265.2856137313506,265.2856137313506
263,-198.65953754165915,-198.4849003907046,174.63715095453836,174.63715095453836
264,-198.75784650585533,-198.40981847452375,348.0280313315802,348.0280313315802
265,-198.75169324839135,-199.08678306632012,-335.08981792877535,-335.08981792877535
266,-198.7547876488103,-198.46208580187724,292.70184693305623,292.70184693305623
267,-198.74937277746005,-198.4765785749776,272.79420248245856,272.79420248245856
268,-198.7107062775148,-198.39626236745005,314.44391006473893,314.44391006473893
269,-198.63760845400435,-198.56070463752133,76.90381648302491,76.90381648302491
270,-198.86360990432317,-198.5053604548388,358.24944948436155,358.24944948436155
271,-198.797216000809,-198.5007243317681,296.49166904087565,296.49166904087565
272,-198.8430642845778,-198.535331182234,307.73310234380347,307.73310234380347
273,-198.7446876132701,-198.45403612321505,290.65149005504054,290.65149005504054
274,-198.65529126273796,-198.5232962193844,131.99504335355527,131.99504335355527
275,-198.8284234939658,-198.5466335177107,281.78997625511215,281.78997625511215
276,-198.9624663889557,-198.61400825409248,348.45813486322186,348.45813486322186
277,-198.91374155247365,-198.642035974438,271.70557803566453,271.70557803566453
278,-198.842626217327,-198.61604031528643,226.5859020405685,226.5859020405685
279,-198.93719188299067,-198.5110013029335,426.190580057181,426.190580057181
280,-198.9396455656411,-198.69078698205112,248.85858358996416,248.85858358996416
281,-198.85685660942545,-198.53143368691968,325.42292250576565,325.42292250576565
282,-198.8812316253834,-198.5980636112517,283.1680141317179,283.1680141317179
283,-198.95315094131607,-198.6659755069635,287.17543435257653,287.17543435257653
284,-199.0938507711172,-198.59487476569467,498.9760054225201,498.9760054225201
285,-199.0441560573403,-198.64055647821905,403.59957912124855,403.59957912124855
286,-199.07272820274147,-198.5804474242376,492.28077850386853,492.28077850386853
287,-198.98302751537693,-198.65274972921617,330.27778616076375,330.27778616076375
288,-198.8323932813479,-198.5126167521148,319.7765292330814,319.7765292330814
289,-198.97451310877096,-198.65662899354223,317.88411522873616,317.88411522873616
290,-199.0647128209757,-198.6682597420246,396.4530789511116,396.4530789511116
291,-199.0208162436265,-198.7075360443014,313.2801993251064,313.2801993251064
292,-198.88697510150016,-198.6898594572261,197.11564427404937,197.11564427404937
293,-198.94288911609385,-198.56088894439532,382.00017169853595,382.00017169853595
294,-199.01831792258696,-198.7065698945225,311.7480280644713,311.7480280644713
295,-198.9770766033517,-198.79720923356456,179.86736978713225,179.86736978713225
296,-199.09436165019324,-198.79599965639605,298.36199379718664,298.36199379718664
297,-198.9204076639571,-198.722110056381,198.29760757608028,198.29760757608028
298,-198.88926377647232,-198.7335947845021,155.66899197023076,155.66899197023076
299,-199.01010211156108,-198.7913857252965,218.7163862645889,218.7163862645889
300,-199.0862246917558,-198.5705858230816,515.6388686742162,515.6388686742162
301,-199.102207514734,-198.4414076396386,660.7998750953925,660.7998750953925
302,-199.11013813525068,-198.7185846624845,391.5534727661907,391.5534727661907
303,-199.0158135018352,-198.68607363358976,329.73986824544,329.73986824544
304,-199.0226386342453,-198.63018839639585,392.4502378494594,392.4502378494594
305,-199.13092820213015,-198.53425697103475,596.6712310953994,596.6712310953994
306,-199.09574201921131,-198.8671316701466,228.61034906472355,228.61034906472355
307,-198.9586063342465,-198.9263931403501,32.21319389641053,32.21319389641053
308,-199.0504348127077,-198.6682432836965,382.19152901118036,382.19152901118036
309,-199.02418759473443,-198.72348356607523,300.7040286591973,300.7040286591973
310,-199.0469346725661,-198.87675378145804,170.18089110806045,170.18089110806045
311,-199.08725259058545,-198.77616702350517,311.08556708028345,311.08556708028345
312,-199.10888817428275,-198.7852745728205,323.61360146225593,323.61360146225593
313,-199.0545301600008,-198.8011906693941,253.33949060672012,253.33949060672012
314,-199.02340475411327,-198.77372296536976,249.68178874351565,249.68178874351565
315,-199.0806243177959,-198.87163198240063,208.99233539526563,208.99233539526563
316,-199.107750278769,-198.8955132364465,212.2370423224993,212.2370423224993
317,-199.09474880671587,-198.74363234470883,351.1164620070417,351.1164620070417
318,-199.1844904840719,-198.8597434850817,324.7469989901788,324.7469989901788
319,-199.0380477825727,-198.72436663845545,313.681144117254,313.681144117254
320,-199.1112562272045,-198.8513140283542,259.9421988502968,259.9421988502968
321,-199.06427760343144,-198.84240537089187,221.87223253956745,221.87223253956745
322,-199.21099557428823,-198.75220917869365,458.78639559458634,458.78639559458634
323,-199.12188005609147,-198.89438261938105,227.4974367104221,227.4974367104221
324,-199.1332542596951,-198.8947660600951,238.488199599999,238.488199599999
325,-199.04817344825403,-198.9390123102316,109.16113802244354,109.16113802244354
326,-199.2086898626864,-198.9005032508144,308.1866118720029,308.1866118720029
327,-199.07198898342943,-198.95755206039743,114.43692303200237,114.43692303200237
328,-200.0299360073919,-198.96500333194652,1064.932675445391,1064.932675445391
329,-199.12734378362592,-198.8798715150509,247.4722685750237,247.4722685750237
330,-199.2276698391688,-198.94410122642927,283.56861273954337,283.56861273954337
331,-199.10911064833104,-199.0142574720705,94.85317626052847,94.85317626052847
332,-199.1128158087975,-198.91744956688603,195.36624191147212,195.36624191147212
333,-199.2904795516219,-198.88320985763528,407.2696939866205,407.2696939866205
334,-199.2596840100358,-198.8329436007037,426.7404093321261,426.7404093321261
335,-199.2243207179021,-198.7974777609218,426.84295698029473,426.84295698029473
336,-199.17120691489544,-198.84130701200647,329.8999028889682,329.8999028889682
337,-199.09670938817465,-198.97347177246155,123.23761571309433,123.23761571309433
338,-199.1502614515972,-198.8184641639242,331.7972876729982,331.7972876729982
339,-199.1344384141952,-198.7881510961648,346.2873180303916,346.2873180303916
340,-199.36293912918876,-199.0045157371156,358.4233920731492,358.4233920731492
341,-199.10702580821345,-198.9663480634959,140.67774471755,140.67774471755
342,-199.10298517442035,-198.9792425985128,123.74257590755633,123.74257590755633
343,-199.2048682499553,-198.9749373750128,229.93087494251085,229.93087494251085
344,-199.356911997836,-198.708684151588,648.2278462480053,648.2278462480053
345,-199.278731655276,-198.9119502866186,366.7813686573993,366.7813686573993
346,-199.29053999205817,-198.99257412736213,297.9658646960388,297.9658646960388
347,-199.27283577776524,-199.0418321106669,231.0036670983493,231.0036670983493
348,-199.22425075101356,-198.86169902860087,362.5517224126895,362.5517224126895
349,-199.27821102938915,-199.0455972563471,232.6137730420612,232.6137730420612
350,-199.2540177955018,-198.8284817801993,425.5360153024981,425.5360153024981
351,-199.303514280255,-199.0301558910736,273.35838918139643,273.35838918139643
352,-199.28867223169289,-198.98963958103064,299.03265066224094,299.03265066224094
353,-199.3102660515773,-198.9732447497424,337.02130183488066,337.02130183488066
354,-199.28295326764325,-198.9568695713744,326.0836962688529,326.0836962688529
355,-199.33934230793776,-199.0080199265543,331.32238138344405,331.32238138344405
356,-199.4067820180242,-198.99618560823453,410.5964097896617,410.5964097896617
357,-199.24795231114643,-199.05297845002457,194.97386112186632,194.97386112186632
358,-199.3379724778204,-199.12795934472703,210.013133093355,210.013133093355
359,-199.24878776805144,-198.9029163118372,345.8714562142404,345.8714562142404
360,-199.31151132630396,-198.9651071353751,346.4041909288653,346.4041909288653
361,-199.27970007117744,-199.07954176181116,200.1583093662873,200.1583093662873
362,-199.2924630895656,-199.05619147801508,236.27161155050658,236.27161155050658
363,-199.3206178650084,-199.1421130039789,178.50486102949503,178.50486102949503
364,-199.3643223116439,-199.12427192764372,240.05038400017042,240.05038400017042
365,-199.2710614037403,-199.13227977008845,138.7816336518597,138.7816336518597
366,-199.29189220708145,-199.17489472994544,116.99747713601027,116.99747713601027
367,-199.3768649589965,-199.1708393456188,206.02561337770453,206.02561337770453
368,-199.36476863746643,-199.14237646939216,222.39216807426487,222.39216807426487
369,-199.32863784936004,-199.03562714073524,293.0107086247915,293.0107086247915
370,-199.29717592439445,-199.09171596440933,205.45995998512012,205.45995998512012
371,-199.33840526064068,-199.5917060263232,-253.3007656825248,-253.3007656825248
372,-199.40187145623395,-199.15493506249737,246.9363937365756,246.9363937365756
373,-199.3920594008276,-199.108611538016,283.44786281161305,283.44786281161305
374,-199.1795361535913,-199.32996864941876,-150.43249582745943,-150.43249582745943
375,-199.4751421923151,-199.24880950305965,226.33268925545735,226.33268925545735
376,-199.39106628308792,-199.24047442589367,150.59185719425727,150.59185719425727
377,-199.4591239687034,-199.07817125744796,380.9527112554463,380.9527112554463
378,-199.39296015627824,-199.1074517317448,285.5084245334467,285.5084245334467
379,-199.38483043214825,-199.15706867338253,227.76175876572324,227.76175876572324
380,-199.39760947415687,-199.17340644506015,224.20302909671364,224.20302909671364
381,-199.41616713226895,-199.04781729510185,368.3498371671021,368.3498371671021
382,-199.4854466892564,-199.1620213912348,323.42529802161835,323.42529802161835
383,-199.42293095840932,-199.20695794530235,215.97301310697503,215.97301310697503
384,-199.32682325191675,-199.023062542126,303.7607097907369,303.7607097907369
385,-199.34730725395852,-199.14150459502628,205.80265893224237,205.80265893224237
