step,E_HC_Ha,E_HS_Ha,E_HFe_Ha,E_HFe2_Ha
37770,-335.263,-335.2111,-335.1657,-335.1506
37771,-335.2996,-335.218,-335.1796,-335.1473
37772,-335.2445,-335.1841,-335.1799,-335.1768
37773,-335.2237,-335.2133,-335.1702,-335.1678
37774,-335.238,-335.2119,-335.1737,-335.2339
37775,-335.2211,-335.1861,-335.1626,-335.1597
37776,-335.2695,-335.2133,-335.1797,-335.158
37777,-335.236,-335.2368,-335.1876,-335.178
37778,-335.2382,-335.2355,-335.1994,-335.2013
37779,-335.2511,-335.1852,-335.1078,-335.1709
37780,-335.2688,-335.1901,-335.1863,-335.1991
37781,-335.2452,-335.1966,-335.1565,-335.1653
37782,-335.2765,-335.159,-335.162,-335.1648
37783,-335.2701,-335.2233,-335.147,-335.1567
37784,-335.2711,-335.2122,-335.1407,-335.1626
37785,-335.2715,-335.2189,-335.1632,-335.141
37786,-335.2561,-335.1909,-335.1671,-335.1939
37787,-335.2424,-335.1942,-335.183,-335.1754
37788,-335.2796,-335.1925,-335.1888,-335.2049
37789,-335.2551,-335.1884,-335.1404,-335.1749
37790,-335.2512,-335.214,-335.1772,-335.2097
37791,-335.2499,-335.1968,-335.1953,-335.1781
37792,-335.2713,-335.1936,-335.1753,-335.1787
37793,-335.2379,-335.2438,-335.1751,-335.1634
37794,-335.262,-335.1878,-335.1772,-335.1829
37795,-335.2802,-335.2106,-335.1535,-335.1938
37796,-335.2453,-335.1915,-335.1387,-335.1655
37797,-335.2391,-334.9995,-335.1599,-335.1873
37798,-335.2745,-335.2148,-335.1581,-335.1917
37799,-335.2438,-335.1868,-335.1805,-335.2128
37800,-335.2542,-335.204,-335.1721,-335.1643
37801,-335.2556,-335.2354,-335.1821,-335.2224
37802,-335.2564,-335.2137,-335.1866,-335.1498
37803,-335.2588,-335.2159,-335.17,-335.1704
37804,-335.2748,-335.1976,-335.1913,-335.2
37805,-335.2542,-335.1837,-335.1688,-335.175
37806,-335.2457,-335.2038,-335.1747,-335.181
37807,-335.2339,-335.1953,-335.1778,-335.1802
37808,-335.2625,-335.226,-335.1644,-335.164
37809,-335.271,-335.2067,-335.1752,-335.2054
37810,-335.2678,-335.2153,-335.183,-335.1864
37811,-335.253,-335.183,-335.1764,-335.1822
37812,-335.2653,-335.1786,-335.169,-335.1898
37813,-335.258,-335.2169,-335.1851,-335.2064
37814,-335.2745,-335.2047,-335.1236,-335.1853
37815,-335.232,-335.1869,-335.1877,-335.1718
37816,-335.2839,-335.1883,-335.1719,-335.1721
37817,-335.2664,-335.201,-335.1644,-335.1996
37818,-335.2603,-335.2206,-335.1632,-335.2043
37819,-335.254,-335.1809,-335.1677,-335.2037
37820,-335.2413,-335.2325,-335.1757,-335.2187
37821,-335.2845,-335.2166,-335.2022,-335.1941
37822,-335.3055,-335.1965,-335.1768,-335.1488
37823,-335.2554,-335.2221,-335.1549,-335.1854
37824,-335.2702,-335.1494,-335.178,-335.177
37825,-335.2803,-335.011,-335.1889,-335.1871
37826,-335.2732,-335.1852,-335.1613,-335.1815
37827,-335.2461,-335.1846,-335.1704,-335.1929
37828,-335.2369,-335.2133,-335.1609,-335.1807
37829,-335.2851,-335.181,-335.1747,-335.1769
37830,-335.269,-335.1991,-335.173,-335.164
37831,-335.2787,-335.166,-335.1591,-335.1987
37832,-335.2633,-335.1949,-335.1826,-335.2181
37833,-335.2874,-335.2208,-335.1693,-335.1575
37834,-335.2413,-335.2148,-335.141,-335.1845
37835,-335.2871,-335.1509,-335.1438,-335.1964
37836,-335.2681,-335.1754,-335.1641,-335.2095
37837,-335.2782,-335.1789,-335.1733,-335.1913
37838,-335.2513,-335.1722,-335.2033,-335.1755
37839,-335.2028,-335.2426,-335.1683,-335.1809
37840,-335.2443,-335.2141,-335.1695,-335.2035
37841,-335.2538,-335.1843,-335.1804,-335.1905
37842,-335.2575,-335.2009,-335.167,-335.1779
37843,-335.2809,-335.2383,-335.1939,-335.1862
37844,-335.2565,-335.1725,-335.1563,-335.1973
37845,-335.2629,-335.1811,-335.1871,-335.184
37846,-335.2705,-335.1617,-335.1812,-335.1936
37847,-335.2499,-335.1879,-335.1758,-335.1604
37848,-335.241,-335.2056,-335.1769,-335.199
37849,-335.2826,-335.1937,-335.2359,-335.1663
37850,-335.2776,-335.1753,-335.1571,-335.1736
37851,-335.2729,-335.206,-335.2118,-335.1834
37852,-335.3003,-335.2618,-335.1792,-335.2009
37853,-335.2886,-335.2209,-335.1632,-335.18
37854,-335.2845,-335.1971,-335.1475,-335.1951
37855,-335.2654,-335.2245,-335.17,-335.0967
37856,-335.2272,-335.2275,-335.187,-335.1701
37857,-335.2866,-335.2325,-335.2169,-335.1789
37858,-335.2758,-335.1729,-335.2035,-335.1618
37859,-335.2813,-335.1973,-335.1537,-335.1387
37860,-335.2557,-335.1662,-335.1587,-335.1677
37861,-335.2336,-335.2085,-335.2067,-335.1875
37862,-335.2599,-335.2194,-335.1509,-335.1838
37863,-335.2533,-335.2089,-335.197,-335.1461
37864,-335.2339,-335.2006,-335.1476,-335.1941
37865,-335.262,-335.1985,-335.1558,-335.1679
37866,-335.2614,-335.2158,-335.17,-335.1709
37867,-335.2558,-335.2394,-335.166,-335.205
37868,-335.2469,-335.2491,-335.1714,-335.1711
37869,-335.2608,-335.1968,-335.164,-335.1325
37870,-335.2748,-335.2292,-335.1853,-335.1909
37871,-335.3036,-335.2366,-335.1838,-335.2049
37872,-335.2733,-335.1908,-335.2072,-335.2108
37873,-335.2727,-335.2161,-335.1771,-335.1829
37874,-335.3035,-335.2288,-335.1563,-335.1687
37875,-335.2664,-335.2106,-335.1702,-335.1985
37876,-335.2697,-335.2142,-335.1683,-335.1927
37877,-335.2938,-335.1869,-335.2055,-335.17
37878,-335.288,-335.2071,-335.185,-335.1799
37879,-335.2644,-335.1924,-335.1828,-335.2019
37880,-335.2437,-335.2056,-335.1674,-335.2123
37881,-335.2559,-335.1997,-335.1784,-335.19
37882,-335.2499,-335.2248,-335.1849,-335.1916
37883,-335.1966,-335.2025,-335.2034,-335.1375
37884,-335.265,-335.2025,-335.186,-335.1294
37885,-335.253,-335.2318,-335.174,-335.0649
37886,-335.2442,-335.2037,-335.1702,-335.174
37887,-335.2305,-335.1894,-335.1819,-335.1878
37888,-335.2611,-335.2157,-335.1833,-335.1753
37889,-335.2549,-335.1457,-335.1667,-335.2089
37890,-335.2678,-335.1908,-335.1872,-335.1631
37891,-335.2751,-335.2036,-335.1732,-335.1522
37892,-335.2542,-335.1987,-335.1787,-335.1752
37893,-335.2304,-335.1944,-335.1721,-335.2046
37894,-335.2788,-335.1934,-335.1801,-335.1796
37895,-335.2762,-335.2039,-335.1851,-335.1915
37896,-335.2527,-335.1688,-335.1682,-335.2095
37897,-335.2466,-335.1723,-335.1707,-335.1751
37898,-335.2364,-335.1526,-335.1638,-335.2167
37899,-335.2682,-335.185,-335.1464,-335.1623
37900,-335.2831,-335.1976,-335.1816,-335.1903
37901,-335.2692,-335.1804,-335.1465,-335.1446
37902,-335.3143,-335.2107,-335.1895,-335.1791
37903,-335.2589,-335.1629,-335.1735,-335.1837
37904,-335.2502,-335.2329,-335.1587,-335.2313
37905,-335.2807,-335.237,-335.2023,-335.1381
37906,-335.2394,-335.1909,-335.1323,-335.2046
37907,-335.2704,-335.1609,-335.164,-335.1821
37908,-335.2306,-335.1766,-335.1721,-335.1873
37909,-335.2663,-335.2279,-335.1754,-335.1944
37910,-335.2293,-335.1962,-335.1671,-335.1907
37911,-335.2695,-335.2066,-335.1718,-335.1317
37912,-335.2451,-335.2153,-335.1782,-335.1985
37913,-335.269,-335.2067,-335.1877,-335.1518
37914,-335.2791,-335.1764,-335.1784,-335.2165
37915,-335.2747,-335.163,-335.1669,-335.1832
37916,-335.296,-335.1868,-335.1898,-335.1747
37917,-335.2623,-335.2025,-335.2152,-335.1617
37918,-335.2638,-335.1925,-335.1575,-335.1576
37919,-335.2471,-335.2357,-335.1879,-335.1844
37920,-335.254,-335.2061,-335.1588,-335.1405
37921,-335.2427,-335.2228,-335.1932,-335.1674
37922,-335.2665,-335.1785,-335.1757,-335.1806
37923,-335.2697,-335.2388,-335.1535,-335.1548
37924,-335.2536,-335.2137,-335.1761,-335.172
37925,-335.2169,-335.1968,-335.1482,-335.1593
37926,-335.2666,-335.2144,-335.1697,-335.1581
37927,-335.2472,-335.1697,-335.1459,-335.1862
37928,-335.2935,-335.1711,-335.179,-335.214
37929,-335.2468,-335.2004,-335.196,-335.1687
37930,-335.2805,-335.2036,-335.1563,-335.1855
37931,-335.2578,-335.1827,-335.1666,-335.1924
37932,-335.2531,-335.2119,-335.1818,-335.1529
37933,-335.263,-335.2027,-335.187,-335.1669
37934,-335.2771,-335.2002,-335.1751,-335.1976
37935,-335.2573,-335.1967,-335.1895,-335.1305
37936,-335.2326,-335.2356,-335.1799,-335.1971
37937,-335.2495,-335.212,-335.1582,-335.1526
37938,-335.2409,-335.1946,-335.1895,-335.1448
37939,-335.2389,-335.1922,-335.1839,-335.1829
37940,-335.2268,-335.2079,-335.1655,-335.1838
37941,-335.2831,-335.2175,-335.1703,-335.2099
37942,-335.226,-335.1854,-335.1676,-335.1827
37943,-335.2238,-335.231,-335.1857,-335.1582
37944,-335.2635,-335.1835,-335.1914,-335.1954
37945,-335.2877,-335.1945,-335.1881,-335.1318
37946,-335.2553,-335.2212,-335.186,-335.1687
37947,-335.2455,-335.2068,-335.2089,-335.1814
37948,-335.2588,-335.1547,-335.2042,-335.2013
37949,-335.252,-335.1972,-335.1747,-335.1878
37950,-335.2455,-335.1853,-335.1928,-335.1529
37951,-335.2521,-335.2083,-335.2017,-335.2841
37952,-335.28,-335.1952,-335.1781,-335.1933
37953,-335.2643,-335.2034,-335.1631,-335.1616
37954,-335.2304,-335.2003,-335.1733,-335.1988
37955,-335.2593,-335.222,-335.155,-335.1584
37956,-335.256,-335.2166,-335.1778,-335.2091
37957,-335.258,-335.2686,-335.2098,-335.1979
37958,-335.2718,-335.2202,-335.1417,-335.1696
37959,-335.2563,-335.2152,-335.1888,-335.178
37960,-335.2444,-335.2215,-335.1545,-335.1979
37961,-335.261,-335.2033,-335.1456,-335.2139
37962,-335.2237,-335.1997,-335.1442,-335.1657
37963,-335.2455,-335.1842,-335.1648,-335.1692
37964,-335.2538,-335.188,-335.1994,-335.1358
37965,-335.2763,-335.1889,-335.1639,-335.1671
37966,-335.2731,-335.1937,-335.1598,-335.1815
37967,-335.271,-335.2014,-335.1557,-335.1902
37968,-335.2535,-335.2055,-335.1581,-335.1774
37969,-335.2664,-335.1861,-335.1512,-335.2052
37970,-335.2624,-335.1825,-335.1917,-335.1638
37971,-335.2419,-335.1793,-335.1689,-335.1971
37972,-335.259,-335.1929,-335.2137,-335.1724
37973,-335.2569,-335.1954,-335.1721,-335.2119
37974,-335.2799,-335.2207,-335.1684,-335.1921
37975,-335.287,-335.1467,-335.1614,-335.1908
37976,-335.2455,-335.1835,-335.1668,-335.1465
37977,-335.2143,-335.188,-335.1595,-335.1713
37978,-335.2839,-335.2043,-335.1734,-335.1403
37979,-335.2667,-335.2126,-335.18,-335.1635
37980,-335.2745,-335.191,-335.1746,-335.174
37981,-335.2668,-335.2101,-335.1478,-335.1713
37982,-335.2703,-335.1935,-335.17,-335.23
37983,-335.258,-335.2238,-335.1673,-335.2138
37984,-335.2713,-335.2224,-335.1602,-335.1913
37985,-335.2434,-335.1828,-335.1783,-335.1986
37986,-335.2579,-335.2102,-335.2082,-335.1613
37987,-335.2657,-335.2179,-335.1545,-335.2164
37988,-335.2564,-335.1751,-335.1928,-335.1852
37989,-335.2825,-335.1823,-335.1899,-335.1682
37990,-335.2469,-335.195,-335.1843,-335.178
37991,-335.2704,-335.1951,-335.1679,-335.181
37992,-335.245,-335.1889,-335.1274,-335.1531
37993,-335.2545,-335.211,-335.1685,-335.2148
37994,-335.2511,-335.1805,-335.1385,-335.1999
37995,-335.2578,-335.1642,-335.1819,-335.1731
37996,-335.2532,-335.1718,-335.1685,-335.1378
37997,-335.2681,-335.1701,-335.1706,-335.2204
37998,-335.2997,-335.1809,-335.1747,-335.17
37999,-335.2835,-335.1785,-335.1833,-335.1787
38000,-335.2436,-335.2108,-335.1777,-335.196
38001,-335.2586,-335.2162,-335.1745,-335.1725
38002,-335.2589,-335.1959,-335.1338,-335.1343
38003,-335.2409,-335.1628,-335.1772,-335.1621
38004,-335.2358,-335.2097,-335.1703,-335.2094
38005,-335.2476,-335.2044,-335.158,-335.1904
38006,-335.2898,-335.2126,-335.1558,-335.2075
38007,-335.2726,-335.2267,-335.1888,-335.2046
38008,-335.2833,-335.2125,-335.1814,-335.1426
38009,-335.2616,-335.2027,-335.1555,-335.1916
38010,-335.2603,-335.227,-335.1836,-335.1487
38011,-335.2861,-335.1916,-335.1416,-335.1435
38012,-335.2599,-335.175,-335.1795,-335.1974
38013,-335.2886,-335.2122,-335.1543,-335.1741
38014,-335.2718,-335.2153,-335.159,-335.1881
38015,-335.2664,-335.1953,-335.1678,-335.1749
38016,-335.2613,-335.2294,-335.1889,-335.1866
38017,-335.2448,-335.193,-335.1664,-335.1623
38018,-335.3004,-335.2124,-335.1542,-335.161
38019,-335.2076,-335.1965,-335.1749,-335.1765
38020,-335.2426,-335.1833,-335.1598,-335.1866
38021,-335.2545,-335.2181,-335.1342,-335.1769
38022,-335.2487,-335.2257,-335.1608,-335.2093
38023,-335.279,-335.2085,-335.1971,-335.2223
38024,-335.2578,-335.2049,-335.1662,-335.1953
38025,-335.2634,-335.2128,-335.1639,-335.1671
38026,-335.3232,-335.2061,-335.196,-335.1953
38027,-335.2642,-335.1905,-335.1482,-335.1241
38028,-335.2464,-335.1914,-335.1841,-335.1735
38029,-335.2864,-335.2314,-335.1491,-335.2001
38030,-335.241,-335.2267,-335.1977,-335.1678
38031,-335.2815,-335.21,-335.1768,-335.1852
38032,-335.2622,-335.2127,-335.1448,-335.2092
38033,-335.2546,-335.1943,-335.1833,-335.1876
38034,-335.2587,-335.1734,-335.1949,-335.188
38035,-335.2541,-335.1815,-335.1813,-335.1833
38036,-335.2572,-335.1962,-335.162,-335.135
38037,-335.2796,-335.1964,-335.1894,-335.182
38038,-335.2731,-335.2288,-335.1957,-335.2104
38039,-335.2784,-335.1461,-335.1752,-335.1603
38040,-335.2602,-335.209,-335.1795,-335.1674
38041,-335.2481,-335.2121,-335.1736,-335.1782
38042,-335.2622,-335.192,-335.174,-335.1889
38043,-335.258,-335.1835,-335.1853,-335.1992
38044,-335.2618,-335.194,-335.183,-335.1889
38045,-335.2541,-335.1917,-335.2178,-335.165
38046,-335.2796,-335.2157,-335.1477,-335.1884
38047,-335.2676,-335.212,-335.1487,-335.1872
38048,-335.2969,-335.1911,-335.1583,-335.1782
38049,-335.2622,-335.2445,-335.1609,-335.1573
38050,-335.2554,-335.2434,-335.1986,-335.2
38051,-335.2193,-335.1789,-335.1587,-335.1994
38052,-335.2498,-335.2113,-335.1753,-335.1722
38053,-335.2739,-335.204,-335.1984,-335.2321
38054,-335.2596,-335.2154,-335.2182,-335.2047
38055,-335.2268,-335.2137,-335.1891,-335.211
38056,-335.2672,-335.2143,-335.189,-335.1848
38057,-335.2525,-335.1791,-335.1281,-335.1647
38058,-335.2504,-335.2253,-335.2173,-335.1612
38059,-335.2533,-335.1991,-335.1413,-335.1848
38060,-335.2339,-335.2346,-335.1721,-335.2025
38061,-335.2711,-335.2157,-335.1572,-335.1898
38062,-335.2484,-335.1889,-335.1937,-335.1828
38063,-335.2403,-335.23,-335.1538,-335.1982
38064,-335.2538,-335.2224,-335.1392,-335.1892
38065,-335.2379,-335.1827,-335.141,-335.184
38066,-335.2614,-335.1978,-335.163,-335.2224
38067,-335.2683,-335.2139,-335.1449,-335.2083
38068,-335.2307,-335.2063,-335.1596,-335.1825
38069,-335.2826,-335.2279,-335.1708,-335.1782
38070,-335.2553,-335.2383,-335.1495,-335.1667
38071,-335.2602,-335.1969,-335.1707,-335.2204
38072,-335.2821,-335.1967,-335.2026,-335.2075
38073,-335.295,-335.2169,-335.135,-335.1974
38074,-335.2444,-335.1895,-335.1541,-335.1127
38075,-335.2072,-335.2089,-335.12,-335.2074
38076,-335.2536,-335.1949,-335.1968,-335.2285
38077,-335.2624,-335.1949,-335.1494,-335.1933
38078,-335.2314,-335.1885,-335.1501,-335.1805
38079,-335.2517,-335.1982,-335.1435,-335.1704
38080,-335.2637,-335.2113,-335.1847,-335.2103
38081,-335.2767,-335.201,-335.1437,-335.2079
38082,-335.2784,-335.1813,-335.1818,-335.1373
38083,-335.2761,-335.2063,-335.1502,-335.1942
38084,-335.2416,-335.218,-335.2011,-335.1677
38085,-335.2672,-335.2042,-335.1907,-335.175
38086,-335.2785,-335.1944,-335.1784,-335.1748
38087,-335.2889,-335.2144,-335.1573,-335.1877
38088,-335.298,-335.1942,-335.1899,-335.1808
38089,-335.2893,-335.1554,-335.1517,-335.1503
38090,-335.2504,-335.2196,-335.1699,-335.1861
38091,-335.2927,-335.1876,-335.1625,-335.1993
38092,-335.2813,-335.1789,-335.1894,-335.1822
38093,-335.2802,-335.1629,-335.1628,-335.158
38094,-335.285,-335.1801,-335.191,-335.1568
38095,-335.2849,-335.1961,-335.168,-335.1912
38096,-335.3047,-335.1565,-335.1645,-335.1877
38097,-335.2953,-335.163,-335.1484,-335.1727
38098,-335.2341,-335.1919,-335.1736,-335.1748
38099,-335.2436,-335.2,-335.1593,-335.1686
38100,-335.277,-335.2133,-335.1541,-335.1906
38101,-335.2382,-335.22,-335.1623,-335.172
38102,-335.2575,-335.2133,-335.1643,-335.1668
38103,-335.2632,-335.1844,-335.1617,-335.2007
38104,-335.2496,-335.2058,-335.2016,-335.1586
38105,-335.2695,-335.1886,-335.1852,-335.1861
38106,-335.2411,-335.187,-335.1973,-335.1655
38107,-335.291,-335.2156,-335.1608,-335.1785
38108,-335.2823,-335.2176,-335.1773,-335.1512
38109,-335.2552,-335.205,-335.2094,-335.1736
38110,-335.2508,-335.1783,-335.1508,-335.1402
38111,-335.2756,-335.2145,-335.1619,-335.1342
38112,-335.2325,-335.2083,-335.1927,-335.1367
38113,-335.2669,-335.2095,-335.1935,-335.1623
38114,-335.2727,-335.1848,-335.1587,-335.1897
38115,-335.2258,-335.1782,-335.1393,-335.2237
38116,-335.246,-335.2034,-335.2367,-335.1708
38117,-335.2684,-335.2099,-335.1759,-335.1711
38118,-335.2576,-335.2344,-335.1539,-335.1974
38119,-335.2106,-335.2108,-335.1511,-335.2032
38120,-335.2406,-335.1914,-335.186,-335.1719
38121,-335.2546,-335.1901,-335.1765,-335.1784
38122,-335.2595,-335.201,-335.1484,-335.2058
38123,-335.2736,-335.2209,-335.1739,-335.1729
38124,-335.2725,-335.1766,-335.1704,-335.1859
38125,-335.2478,-335.2057,-335.1728,-335.18
38126,-335.2552,-335.1817,-335.2203,-335.1537
38127,-335.2216,-335.2031,-335.2,-335.2148
38128,-335.2785,-335.2159,-335.1542,-335.1903
38129,-335.2314,-335.1888,-335.1584,-335.1759
38130,-335.2745,-335.1985,-335.1596,-335.2105
38131,-335.2234,-335.2158,-335.15,-335.188
38132,-335.2886,-335.2414,-335.1624,-335.2002
38133,-335.2593,-335.1801,-335.1887,-335.2024
38134,-335.2787,-335.2117,-335.1909,-335.1791
38135,-335.3011,-335.2212,-335.1591,-335.1964
38136,-335.259,-335.1752,-335.169,-335.2051
38137,-335.2039,-335.2044,-335.191,-335.1866
38138,-335.2657,-335.2357,-335.1531,-335.1843
38139,-335.2307,-335.2023,-335.1906,-335.2046
38140,-335.2674,-335.2156,-335.1968,-335.1792
38141,-335.2682,-335.2029,-335.2084,-335.1708
38142,-335.2677,-335.194,-335.1408,-335.2268
38143,-335.2659,-335.1899,-335.1933,-335.1696
38144,-335.2591,-335.2109,-335.1568,-335.1699
38145,-335.257,-335.188,-335.1788,-335.1806
38146,-335.2603,-335.2147,-335.1773,-335.1598
38147,-335.2734,-335.2051,-335.1765,-335.1787
38148,-335.2678,-335.1776,-335.191,-335.1992
38149,-335.2589,-335.2044,-335.1678,-335.1283
38150,-335.2793,-335.1938,-335.1606,-335.1681
38151,-335.2372,-335.1703,-335.1645,-335.1767
38152,-335.2492,-335.239,-335.1768,-335.1773
38153,-335.2603,-335.217,-335.169,-335.1609
38154,-335.2793,-335.1698,-335.2226,-335.1761
38155,-335.2566,-335.213,-335.1984,-335.1741
38156,-335.2484,-335.2047,-335.1594,-335.1666
38157,-335.2576,-335.2321,-335.1405,-335.1752
38158,-335.2422,-335.1936,-335.1433,-335.2062
38159,-335.2943,-335.1789,-335.1788,-335.2109
38160,-335.2684,-335.1841,-335.1709,-335.1785
38161,-335.2521,-335.2118,-335.1704,-335.2003
38162,-335.265,-335.2109,-335.1757,-335.1803
38163,-335.2638,-335.2097,-335.1823,-335.1578
38164,-335.2419,-335.187,-335.1652,-335.1735
38165,-335.286,-335.2132,-335.1868,-335.168
38166,-335.2803,-335.1943,-335.1986,-335.1538
38167,-335.2305,-335.1823,-335.1884,-335.2025
38168,-335.2331,-335.1838,-335.1516,-335.1915
38169,-335.2574,-335.2018,-335.1524,-335.2033
38170,-335.2679,-335.1729,-335.1611,-335.1732
38171,-335.2652,-335.1844,-335.1573,-335.1977
38172,-335.2301,-335.2129,-335.1519,-335.1931
38173,-335.2391,-335.18,-335.1646,-335.2179
38174,-335.2778,-335.1949,-335.1816,-335.1738
38175,-335.2612,-335.1842,-335.2305,-335.1955
38176,-335.2834,-335.2129,-335.1852,-335.2095
38177,-335.2529,-335.175,-335.1834,-335.1935
38178,-335.2425,-335.1583,-335.1742,-335.194
38179,-335.2563,-335.1744,-335.2029,-335.2011
38180,-335.2941,-335.1885,-335.1563,-335.1975
38181,-335.2675,-335.1938,-335.1825,-335.1804
38182,-335.2577,-335.2057,-335.1765,-335.1913
38183,-335.2806,-335.1946,-335.1856,-335.1877
38184,-335.2949,-335.2055,-335.1622,-335.1932
38185,-335.2492,-335.2422,-335.1937,-335.2119
38186,-335.3088,-335.2245,-335.1735,-335.1561
38187,-335.2653,-335.1822,-335.1971,-335.1937
38188,-335.2343,-335.23,-335.1749,-335.1581
38189,-335.2676,-335.2088,-335.175,-335.1935
38190,-335.2558,-335.1915,-335.1409,-335.1764
38191,-335.2521,-335.1951,-335.1684,-335.1365
38192,-335.2552,-335.2102,-335.1466,-335.1724
38193,-335.2267,-335.1853,-335.1486,-335.1924
38194,-335.2604,-335.176,-335.2024,-335.1376
38195,-335.28,-335.1881,-335.1757,-335.1833
38196,-335.2761,-335.1638,-335.159,-335.1391
38197,-335.2409,-335.2188,-335.1671,-335.1634
38198,-335.2723,-335.1786,-335.1549,-335.1865
38199,-335.2669,-335.1854,-335.1967,-335.1741
38200,-335.2716,-335.2044,-335.1978,-335.213
38201,-335.2572,-335.1794,-335.2095,-335.2084
38202,-335.2646,-335.1757,-335.2047,-335.1731
38203,-335.2557,-335.2169,-335.1768,-335.1795
38204,-335.2421,-335.2359,-335.1396,-335.2273
38205,-335.2658,-335.1974,-335.1676,-335.1637
38206,-335.2874,-335.2048,-335.1732,-335.1721
38207,-335.2764,-335.2128,-335.1928,-335.1893
38208,-335.2482,-335.1866,-335.166,-335.1599
38209,-335.2507,-335.2234,-335.1666,-335.1997
38210,-335.2451,-335.1855,-335.1613,-335.2054
38211,-335.2558,-335.1758,-335.1695,-335.202
38212,-335.1802,-335.179,-335.1603,-335.1902
38213,-335.2568,-335.2024,-335.1889,-335.1833
38214,-335.2438,-335.212,-335.1642,-335.2018
38215,-335.2713,-335.2254,-335.1298,-335.1911
38216,-335.2651,-335.225,-335.181,-335.1879
38217,-335.2741,-335.1816,-335.1733,-335.2032
38218,-335.2528,-335.17,-335.1879,-335.14
38219,-335.2447,-335.1886,-335.1853,-335.1701
38220,-335.2856,-335.0518,-335.1844,-335.1387
38221,-335.27,-335.1771,-335.1413,-335.1552
38222,-335.2558,-335.1918,-335.1849,-335.197
38223,-335.2429,-335.2039,-335.1813,-335.1844
38224,-335.2531,-335.2091,-335.1794,-335.1679
38225,-335.2542,-335.2329,-335.1861,-335.1929
38226,-335.2573,-335.2054,-335.1549,-335.1639
38227,-335.2621,-335.2176,-335.1755,-335.2056
38228,-335.2691,-335.1829,-335.1718,-335.2006
38229,-335.2676,-335.1851,-335.2084,-335.1911
38230,-335.2463,-335.1841,-335.1928,-335.1741
38231,-335.2452,-335.1851,-335.1624,-335.1699
38232,-335.246,-335.2054,-335.1807,-335.1679
38233,-335.2669,-335.2007,-335.1575,-335.1657
38234,-335.2747,-335.2205,-335.1654,-335.1901
38235,-335.2488,-335.1952,-335.1925,-335.1676
38236,-335.2842,-335.2161,-335.1748,-335.1873
38237,-335.2346,-335.2029,-335.1898,-335.1943
38238,-335.2162,-335.2051,-335.1696,-335.1963
38239,-335.2548,-335.2113,-335.1886,-335.1591
38240,-335.2476,-335.213,-335.1838,-335.1775
38241,-335.2373,-335.194,-335.2078,-335.1917
38242,-335.2318,-335.1907,-335.2009,-335.1941
38243,-335.3102,-335.1985,-335.1908,-335.1631
38244,-335.2418,-335.2198,-335.1832,-335.1845
38245,-335.2288,-335.1863,-335.1901,-335.1743
38246,-335.2906,-335.1929,-335.1532,-335.1877
38247,-335.2671,-335.2191,-335.1891,-335.1699
38248,-335.2313,-335.1773,-335.1601,-335.1751
38249,-335.2753,-335.2042,-335.1915,-335.1675
38250,-335.266,-335.171,-335.175,-335.1693
38251,-335.2419,-335.1767,-335.144,-335.1859
38252,-335.2471,-335.1854,-335.151,-335.1714
38253,-335.2684,-335.2204,-335.1743,-335.1702
38254,-335.2465,-335.1776,-335.1797,-335.1855
38255,-335.2747,-335.2079,-335.17,-335.166
38256,-335.2538,-335.2055,-335.1687,-335.1961
38257,-335.2636,-335.1951,-335.1469,-335.189
38258,-335.2356,-335.2072,-335.1955,-335.1966
38259,-335.2717,-335.1619,-335.1773,-335.1577
38260,-335.2791,-335.205,-335.1521,-335.1535
38261,-335.2628,-335.2124,-335.172,-335.178
38262,-335.2513,-335.1721,-335.1898,-335.1638
38263,-335.2797,-335.2065,-335.1873,-335.1653
38264,-335.2733,-335.2122,-335.1639,-335.1937
38265,-335.2372,-335.2019,-335.1767,-335.1774
38266,-335.2154,-335.1693,-335.1514,-335.1798
38267,-335.2296,-335.2011,-335.1588,-335.1679
38268,-335.2437,-335.2258,-335.1592,-335.1547
38269,-335.2326,-335.2033,-335.1772,-335.18
38270,-335.3095,-335.1853,-335.1703,-335.2436
38271,-335.2995,-335.2311,-335.1425,-335.2167
38272,-335.2766,-335.1907,-335.1761,-335.2032
38273,-335.2752,-335.2046,-335.152,-335.1607
38274,-335.2565,-335.232,-335.0521,-335.1814
38275,-335.2622,-335.2058,-335.1618,-335.2146
38276,-335.2663,-335.2202,-335.1707,-335.171
38277,-335.2841,-335.2217,-335.1647,-335.1894
38278,-335.244,-335.1895,-335.1853,-335.1963
38279,-335.2888,-335.2068,-335.1725,-335.1146
38280,-335.2701,-335.1891,-335.1704,-335.184
38281,-335.2645,-335.1962,-335.1693,-335.1666
38282,-335.2756,-335.1784,-335.2157,-335.1675
38283,-335.2373,-335.1883,-335.2112,-335.2346
38284,-335.2508,-335.2169,-335.1887,-335.1717
38285,-335.2382,-335.2179,-335.2233,-335.1855
38286,-335.2852,-335.188,-335.1529,-335.2009
38287,-335.2491,-335.2315,-335.1687,-335.1711
38288,-335.2587,-335.2066,-335.1775,-335.1627
38289,-335.2589,-335.1934,-335.1679,-335.1873
38290,-335.2614,-335.2331,-335.1409,-335.1929
38291,-335.264,-335.1869,-335.1568,-335.1992
38292,-335.2732,-335.2103,-335.1831,-335.1854
38293,-335.2592,-335.196,-335.157,-335.1406
38294,-335.2419,-335.209,-335.1508,-335.1737
