step,E_HC_Ha,E_HS_Ha,E_HFe_Ha,E_HFe2_Ha
123,-330.232,-330.4392,-329.9817,-330.5435
124,-330.3336,-330.7517,-329.8851,-330.7163
125,-330.2775,-330.2889,-330.0893,-330.7189
126,-330.1797,-330.7643,-330.1454,-330.7509
127,-330.1763,-330.6167,-329.9507,-330.6562
128,-330.2868,-330.6738,-330.1614,-330.5244
129,-330.5032,-330.6281,-330.1123,-330.3362
130,-330.1569,-330.5854,-330.3754,-330.6318
131,-330.5502,-330.6145,-330.3544,-330.7913
132,-330.4835,-330.6733,-330.5365,-330.8728
133,-330.2442,-330.848,-330.3491,-330.7336
134,-330.2593,-330.7093,-330.4025,-330.5869
135,-330.4282,-330.5686,-330.3182,-330.7405
136,-330.4108,-330.8802,-330.7245,-330.8458
137,-330.2032,-330.8668,-330.2498,-330.9805
138,-330.6227,-330.6545,-330.2581,-331.0195
139,-330.4481,-330.6422,-330.4006,-330.8127
140,-330.8101,-330.6607,-330.4874,-330.7031
141,-330.8943,-330.7427,-330.2322,-330.6142
142,-330.9764,-330.7269,-330.4325,-330.8438
143,-330.8053,-330.6379,-330.6367,-330.9255
144,-330.8324,-330.9598,-330.5069,-330.7911
145,-330.8131,-330.8125,-330.576,-331.0454
146,-330.6243,-330.8253,-330.6441,-330.9669
147,-330.8578,-331.0206,-330.5328,-330.8453
148,-331.0628,-331.0045,-330.6964,-331.1907
149,-330.5903,-331.1063,-330.7723,-331.1526
150,-330.9489,-331.1147,-330.6548,-331.1058
151,-330.8677,-331.2674,-330.5618,-331.2573
152,-331.1221,-331.1863,-330.7067,-331.2098
153,-331.0317,-331.2044,-330.8456,-331.2364
154,-331.1815,-331.2622,-330.8111,-331.2365
155,-331.0717,-331.1382,-330.7324,-331.0642
156,-331.0106,-331.185,-331.0914,-331.0541
157,-331.1457,-331.2486,-330.8172,-331.1018
158,-331.2482,-331.2799,-330.7977,-331.0961
159,-331.295,-331.4805,-331.0375,-331.0826
160,-331.2197,-331.3153,-331.0902,-331.1335
161,-331.2385,-331.2361,-330.8672,-331.2596
162,-331.206,-331.4759,-330.9072,-330.5491
163,-331.2185,-331.1906,-330.8435,-331.0833
164,-331.1761,-331.3219,-330.7619,-331.3174
165,-331.1595,-331.4868,-330.7169,-331.3611
166,-331.3186,-331.1682,-331.0442,-331.4215
167,-331.2651,-331.4894,-331.1434,-331.5157
168,-331.2221,-331.3839,-331.1547,-331.1694
169,-331.1556,-331.3915,-331.2477,-331.3574
170,-331.3245,-331.387,-331.2583,-331.5214
171,-331.3787,-331.6032,-331.364,-331.3716
172,-331.6946,-331.6083,-331.2748,-331.5206
173,-331.4853,-331.5525,-331.3118,-331.3702
174,-331.4692,-331.5884,-331.4131,-331.487
175,-331.4722,-331.6522,-331.4073,-331.2925
176,-331.3996,-331.7031,-331.205,-331.4994
177,-331.4528,-331.6608,-331.3513,-331.2545
178,-331.6995,-331.5763,-331.4211,-331.3541
179,-331.4913,-331.7684,-331.3334,-331.6734
180,-331.4503,-331.6882,-331.1913,-331.6182
181,-331.3116,-331.76,-331.215,-331.7495
182,-331.6403,-331.5931,-331.3755,-331.8714
183,-331.7279,-331.8279,-331.3228,-331.7886
184,-331.5684,-331.6028,-331.1441,-331.82
185,-331.5175,-331.7591,-331.279,-331.7999
186,-331.5418,-331.7112,-331.2988,-331.8349
187,-331.5851,-331.6203,-331.3913,-331.8087
188,-331.8036,-331.5742,-331.2532,-331.9034
189,-331.6765,-331.7423,-331.4836,-331.9754
190,-331.5519,-331.8196,-331.3762,-331.9241
191,-331.6778,-331.6817,-331.4283,-331.8203
192,-331.8141,-331.8535,-331.6444,-331.9591
193,-331.5584,-331.6469,-331.4089,-331.9645
194,-331.5992,-331.7217,-331.4793,-331.7715
195,-331.5248,-331.8634,-331.4474,-331.1249
196,-331.858,-331.8813,-331.6357,-331.9229
197,-331.9988,-331.8716,-331.6797,-331.9924
198,-332.0339,-331.8766,-331.4602,-332.0554
199,-331.83,-331.9198,-331.6603,-331.8799
200,-331.7995,-331.8255,-331.4987,-331.98
201,-331.9335,-331.9221,-331.6897,-331.8208
202,-331.8,-331.9105,-331.7116,-331.9941
203,-331.8428,-331.813,-331.9568,-331.9871
204,-331.8474,-332.0482,-331.5965,-332.0094
205,-331.822,-331.948,-331.7309,-332.1103
206,-331.9945,-331.9649,-331.8758,-331.8835
207,-331.9386,-331.8433,-331.6172,-332.1583
208,-331.9584,-331.9314,-331.6691,-332.005
209,-331.8836,-331.9761,-331.7179,-332.2796
210,-331.9459,-332.1669,-331.7365,-332.1987
211,-332.0338,-332.0657,-331.7381,-332.0299
212,-332.0964,-331.9305,-331.7847,-332.2734
213,-332.1016,-332.0775,-331.8505,-332.2956
214,-331.9246,-331.9433,-331.8499,-332.2168
215,-331.8405,-331.9602,-331.9823,-332.165
216,-332.0992,-331.6753,-331.9395,-332.2061
217,-331.9959,-331.8212,-331.7969,-332.1202
218,-331.9528,-331.8943,-331.8424,-332.2218
219,-332.1151,-332.0702,-331.8116,-332.0937
220,-332.2288,-332.0691,-331.9926,-332.483
221,-331.9145,-331.8635,-331.9176,-331.9193
222,-332.0084,-332.0709,-332.0155,-332.1298
223,-332.1702,-332.4323,-331.8942,-332.3197
224,-332.0416,-332.2664,-331.9118,-332.3508
225,-332.274,-332.1811,-332.0013,-332.3623
226,-332.2893,-332.0796,-334.0683,-332.0701
227,-332.1741,-332.184,-332.0623,-332.1073
228,-332.0824,-332.0997,-331.8592,-332.2724
229,-332.0579,-332.2586,-331.9084,-332.2557
230,-332.1304,-332.2874,-331.7911,-332.3289
231,-331.9935,-332.3413,-332.038,-332.3093
232,-332.2448,-332.2715,-332.2123,-332.1364
