cutoff,n_carbon,E0,E0_err,E90,E90_err,deltaE_mean,deltaE_err,opt_step_begin,opt_step_end,n_steps_averaging
3,2,-13.730772231967885,4.446334719125565e-05,-13.610603538948723,4.955146456701701e-05,0.12016869301916137,6.685285739022611e-05,20000,25000,5000
3,4,-25.001169755095024,8.333822520924223e-05,-24.938517441583492,8.353162858925118e-05,0.06265231351153336,0.00011779527888586153,20001,25000,5000
3,6,-36.27628013881112,0.00010992571407747262,-36.23209216459179,0.00011359024406281243,0.044187974219322856,0.00015753672967948437,35131,40131,5000
3,8,-47.550495962096385,0.00013364656473881904,-47.51606665355717,0.00014089114654782038,0.03442930853921245,0.0001934601014582001,45000,50000,5000
3,12,-70.10015867629721,0.00017237623146436007,-70.0763281247357,0.00017530193552588313,0.023830551561525505,0.00024512899086025344,38366,43365,5000
3,16,-92.64225421632933,0.00022340159842503777,-92.62729259621455,0.00021490235039081757,0.014961620114781297,0.0003076171610412904,45000,50000,5000
3,20,-115.16563134647429,0.0002640051815512928,-115.16198041692907,0.0002520621995917166,0.0036509295452093284,0.00036812859300359887,42310,47310,5000
3,24,-137.71210126808052,0.00029718860690568406,-137.7179777380538,0.0002648947286026943,-0.005876469973294928,0.00039673620998705245,46474,51475,5000
3,36,-205.08588069197222,0.0009661527186007397,-205.09449201620353,0.0008928682740838775,-0.00861132423129323,0.0006166065907910151,3250,8250,5000
