cutoff,n_carbon,E0,E0_err,E90,E90_err,deltaE_mean,deltaE_err,opt_step_begin,opt_step_end,n_steps_averaging
3,2,-13.730772231967885,4.446334719125565e-05,-13.610603538948723,4.955146456701701e-05,0.12016869301916137,6.685285739022611e-05,20000,25000,5000
3,4,-25.001169755095024,8.333822520924223e-05,-24.938517441583492,8.353162858925118e-05,0.06265231351153336,0.00011779527888586153,20001,25000,5000
3,6,-36.27522475180131,0.0001152303056144132,-36.230894391747526,0.00011584634608677926,0.04433036005378165,0.00016429054687916485,19999,25000,5000
3,8,-47.54860798714624,0.00012998477165111904,-47.51373079170771,0.0001401577865491827,0.03487719543853025,0.00019032174100274725,19999,25000,5000
3,12,-70.09690543281427,0.00017390937474812682,-70.07294387228505,0.0001964416859279653,0.023961560529221593,0.0002612513259949834,20001,25000,5000
3,16,-92.64830361407947,0.00021627225639392358,-92.63044603662996,0.0002114532236329351,0.017857577449499958,0.00030329755452405147,81579,86579,5000
