jastrow,n_carbon,angle,cutoff,steps,E,E_std,t
no,2,0,5.0,2800,-78.58202966991327,0.31079054584628657,0.5275329840369523
no,2,0,5.0,3000,-78.58356972278357,0.32343404700881556,0.5282433489337564
no,2,0,5.0,3200,-78.58406888124398,0.3002632276008004,0.5268652988597751
no,2,0,5.0,3400,-78.58440203188748,0.24746514543106682,0.527244106400758
no,2,0,5.0,3600,-78.58359270592477,0.2521879978870091,0.5274359351024032
no,2,0,5.0,3800,-78.58384258842194,0.2528414083154578,0.5286441468633711
no,2,0,5.0,4000,-78.58448139345657,0.26440314007432836,0.5281761093065143
no,2,0,5.0,4200,-78.58440372769994,0.2761312629047193,0.5276878313161433
no,2,0,5.0,4400,-78.584209107478,0.3027212604096061,0.5270063988864422
no,2,0,5.0,4600,-78.58439859075595,0.2704815990046451,0.5276913540437818
no,2,0,5.0,4800,-78.58407538974302,0.26913220239313024,0.5273039028979838
no,2,0,5.0,5000,-78.58421100323785,0.2624246007517764,0.527133977971971
no,2,0,5.0,5200,-78.5847871902624,0.2426885938958118,0.5279553821310401
no,2,0,5.0,5400,-78.58526250142415,0.2387738674879074,0.5275131142698228
no,2,0,5.0,5600,-78.58535070254992,0.23691372808657193,0.5277918768115342
no,2,0,5.0,5800,-78.58503351323318,0.2270635789946506,0.5269651091657579
no,2,0,5.0,6000,-78.5853890588312,0.25575087886107595,0.5268529336899519
no,2,0,5.0,6200,-78.5852873004822,0.24029472705565,0.5277693150565028
no,2,0,5.0,6400,-78.58502879578614,0.23048017683782077,0.5278552011586726
no,2,0,5.0,6600,-78.58481703399423,0.220156770787741,0.5275032217614353
no,2,0,5.0,6800,-78.5848278089199,0.2362244748755505,0.5277681658044457
no,2,0,5.0,7000,-78.58497871539095,0.2416385592598664,0.5279769850894809
no,2,0,5.0,7200,-78.5851212387751,0.20352355586855034,0.5271355612203479
no,2,0,5.0,7400,-78.58496793946016,0.21619085026414772,0.5273898439481854
no,2,0,5.0,7600,-78.58493884876988,0.2471960657521298,0.5272642481140792
no,2,0,5.0,7800,-78.5847242305046,0.21638154748239016,0.5285406317561865
no,2,0,5.0,8000,-78.58446909177775,0.20551801982678866,0.5277029629796743
no,2,0,5.0,8200,-78.58479384795642,0.20798388437220924,0.5280828042887151
no,2,0,5.0,8400,-78.58513281457377,0.20759160110824987,0.5277599771507084
no,2,0,5.0,8600,-78.58518031120722,0.21754939932572215,0.5280866320244968
no,2,0,5.0,8800,-78.58532476033238,0.20794095177399485,0.5277063939720392
no,2,0,5.0,9000,-78.58528240279021,0.30716730967948314,0.5278808330185711
no,2,0,5.0,9200,-78.58519043283128,0.19827751109474584,0.52792550297454
no,2,0,5.0,9400,-78.58482567509984,0.4936508324585463,0.5292560649104416
no,2,0,5.0,9600,-78.5848092477434,0.30646164636862905,0.5278378040529788
no,2,0,5.0,9800,-78.58515777418428,0.2258644378498981,0.5279054138809443
no,2,0,5.0,10000,-78.58520191687909,0.21493260954555712,0.5278502092696726
no,2,0,5.0,10200,-78.58521985552964,0.19642958358714455,0.5276718651875854
no,2,0,5.0,10400,-78.5853404876776,0.2560489052220395,0.528194866143167
no,2,0,5.0,10600,-78.58540332979983,0.1977299922390988,0.5283196498639882
no,2,0,5.0,10800,-78.58528319097707,0.20369633169550644,0.5287440069951117
no,2,0,5.0,11000,-78.58535127367111,0.188044158251662,0.5288279438391328
no,2,0,5.0,11200,-78.58539374228013,0.21667322281159854,0.527929016854614
no,2,0,5.0,11400,-78.58538034507598,0.19275396356457158,0.5282325549051166
no,2,0,5.0,11600,-78.58543584966908,0.204160559334253,0.5283377119340003
no,2,0,5.0,11800,-78.58527919344664,0.19023066602255168,0.5278599341399968
no,2,0,5.0,12000,-78.58544724077564,0.19717497731509961,0.528416691813618
no,2,0,5.0,12200,-78.58545005672943,0.1866476849505776,0.5280064889229834
no,2,0,5.0,12400,-78.58560930265213,0.21120208893951617,0.5278594898991287
no,2,0,5.0,12600,-78.58557999638796,0.19143975016317868,0.5280768908560276
no,2,0,5.0,12800,-78.58557538058103,0.18583437094562932,0.5278621381148696
no,2,0,5.0,13000,-78.58573406687407,0.199404082015941,0.5280300681479275
no,2,0,5.0,13200,-78.58601963658427,0.18501222917908117,0.5277834152802825
no,2,0,5.0,13400,-78.58591126091446,0.1815650816026487,0.5279165143147111
no,2,0,5.0,13600,-78.58587949072903,0.1917143275863246,0.528221464715898
no,2,0,5.0,13800,-78.5856947704707,0.22644576195039248,0.5282636401243508
no,2,0,5.0,14000,-78.58572543722698,0.2191201228844492,0.5283600050024688
no,2,0,5.0,14200,-78.58577217608472,0.186360638392599,0.5287848077714443
no,2,0,5.0,14400,-78.58573618762144,0.18904256663824381,0.5280082509852946
no,2,0,5.0,14600,-78.58570039786869,0.19497058109233253,0.527498641051352
no,2,0,5.0,14800,-78.5856694652293,0.18480557909137324,0.5284795509651303
no,2,0,5.0,15000,-78.58564018155735,0.17784413067918076,0.5279600126668811
no,2,0,5.0,15200,-78.58559076623193,0.1845141037514335,0.5281577478162944
no,2,0,5.0,15400,-78.5857233712018,0.18867040151043943,0.5286091258749366
no,2,0,5.0,15600,-78.5857371923903,0.2274422088735982,0.5280791069380939
no,2,0,5.0,15800,-78.58583909082178,0.21747086393205742,0.5287328739650548
no,2,0,5.0,16000,-78.58574920559845,0.1831740948714708,0.528501549270004
no,2,0,5.0,16200,-78.5857517689581,0.17422437746273844,0.5282092439010739
no,2,0,5.0,16400,-78.58572099882383,0.18234996732912565,0.5291239321231842
no,2,0,5.0,16600,-78.58589425852922,0.1826856614727723,0.5283919321373105
no,2,0,5.0,16800,-78.58601619239222,0.20981858827565847,0.5283890729770064
no,2,0,5.0,17000,-78.58609986521685,0.17998356097622922,0.5292302519083023
no,2,0,5.0,17200,-78.58603756449259,0.1995833806301418,0.5280575901269913
no,2,0,5.0,17400,-78.58605559111942,0.19907498594961667,0.5281359446235001
no,2,0,5.0,17600,-78.58606658043094,0.17431525258641495,0.5288448669016361
no,2,0,5.0,17800,-78.58611635076332,0.1653798316654406,0.528344705235213
no,2,0,5.0,18000,-78.58624742041279,0.19480233129702115,0.5284850518219173
no,2,0,5.0,18200,-78.58626821489155,0.18816283188368144,0.5285433018580079
no,2,0,5.0,18400,-78.58617303684368,0.1652906309617193,0.5283412509597838
no,2,0,5.0,18600,-78.58616490965888,0.17936459811110245,0.5289121307432652
no,2,0,5.0,18800,-78.58594602343186,0.18232009050093198,0.5283711650408804
no,2,0,5.0,19000,-78.58608116168821,0.18349751830101013,0.5286320019513369
no,2,0,5.0,19200,-78.58605727215296,0.18926054317700236,0.5282128201797605
no,2,0,5.0,19400,-78.58605672203801,0.16607803106307983,0.532822729088366
no,2,0,5.0,19600,-78.58605466777647,0.1688116028120643,0.5289276442490518
no,2,0,5.0,19800,-78.58600771289167,0.17810241878032684,0.5279935416765511
no,2,90,3.0,0,-75.80996170043946,8.570026779174805,0.523770555621013
no,2,90,3.0,200,-78.0940736585707,2.1681481850774666,0.5262972502969205
no,2,90,3.0,400,-78.32216681945017,0.9357386231422424,0.5226093824021518
no,2,90,3.0,600,-78.40557810771759,0.6495335290306493,0.516706861089915
no,2,90,3.0,800,-78.42590625306751,0.6301319473668149,0.5204000193625689
no,2,90,3.0,1000,-78.42962053662978,0.5889419223132887,0.5203278190456331
no,2,90,3.0,1200,-78.43681038613694,0.5815642413340116,0.5195020330138505
no,2,90,3.0,1400,-78.44160290747637,0.5095236489647313,0.5178879112936556
no,2,90,3.0,1600,-78.4498764911735,0.5070402449683139,0.5190200777724385
no,2,90,3.0,1800,-78.45270187756545,0.48361608072331075,0.5196815291419625
no,2,90,3.0,2000,-78.4517550793466,0.5015197019827994,0.5192320197820663
no,2,90,3.0,2200,-78.4511640375144,0.47369518719221415,0.5161056090146303
no,2,90,3.0,2400,-78.45276338609753,0.44602563506678533,0.5194586249999702
no,2,90,3.0,2600,-78.45232109462309,0.49301567673683167,0.5189398378133774
no,2,90,3.0,2800,-78.4524372016018,0.46225222474650335,0.5196529971435666
no,2,90,3.0,3000,-78.45314480571213,0.4625025140611749,0.5181689448654652
no,2,90,3.0,3200,-78.45252669990465,0.44802695512771606,0.520871982909739
no,2,90,3.0,3400,-78.45437583436299,0.48737739104973643,0.5186423067934811
no,2,90,3.0,3600,-78.4539149076148,0.45435530731552526,0.5168411741033196
no,2,90,3.0,3800,-78.45363126804989,0.43400395543951736,0.5228319279849529
no,2,90,3.0,4000,-78.45392136409374,0.4327209419325778,0.5203407490625978
no,2,90,3.0,4200,-78.45495236428546,0.4813719956498397,0.5171273709274828
no,2,90,3.0,4400,-78.45307269288823,0.7884698776822341,0.5195926749147475
no,2,90,3.0,4600,-78.45234404013556,0.4344120511883183,0.5198799609206617
no,2,90,3.0,4800,-78.45478151336991,0.428371388661234,0.5180147010833025
no,2,90,3.0,5000,-78.45635715685073,0.4262809063258924,0.5203337739221752
no,2,90,3.0,5200,-78.45478079370017,0.38862468380677073,0.5158357028849423
no,2,90,3.0,5400,-78.4528147323297,3.8914781259863,0.5193748148158193
no,2,90,3.0,5600,-78.45303903322115,0.5924890449172572,0.5160422706976533
no,2,90,3.0,5800,-78.45417389801041,0.40692536925014694,0.5202766750007868
no,2,90,3.0,6000,-78.45562246896851,0.39982711484557704,0.5170571338385344
no,2,90,3.0,6200,-78.45632065150781,0.3983759691840724,0.5160894049331546
no,2,90,3.0,6400,-78.4567130652107,0.4069643475507435,0.5176607393659651
no,2,90,3.0,6600,-78.45734504439375,0.3847636815748717,0.5203134617768228
no,2,90,3.0,6800,-78.4579017843821,0.3814741812254253,0.5170574961230159
no,2,90,3.0,7000,-78.45766236904572,0.3580485033361535,0.5188084319233894
no,2,90,3.0,7200,-78.45785053996559,0.41633101827219915,0.517219094093889
no,2,90,3.0,7400,-78.45759646759133,0.3755018428752297,0.5203320719301701
no,2,90,3.0,7600,-78.45768421762175,0.37414243660475077,0.5181547934189439
no,2,90,3.0,7800,-78.45726840704904,0.37067007704784993,0.5183992963284254
no,2,90,3.0,8000,-78.45698953658443,0.3569705235330682,0.5196201279759407
no,2,90,3.0,8200,-78.45763139635805,0.40435588830395747,0.5212437179870903
no,2,90,3.0,8400,-78.45781250648163,0.3693538464997944,0.5152614982798696
no,2,90,3.0,8600,-78.45781815646144,0.4349566760816072,0.5213529118336737
no,2,90,3.0,8800,-78.4571448120873,0.36314513808802557,0.5171123365871608
no,2,90,3.0,9000,-78.45762610329783,0.39776470316083806,0.5206613368354738
no,2,90,3.0,9200,-78.45723544544067,0.4139215538376256,0.5224989922717214
no,2,90,3.0,9400,-78.45700183364971,0.3419083639195091,0.5188916409388185
no,2,90,3.0,9600,-78.4565763861781,0.358327611496574,0.5177594288252294
no,2,90,3.0,9800,-78.45706828706552,0.36821485663715164,0.5177596216090024
no,2,90,3.0,10000,-78.45699156242866,0.4495036272626174,0.5187438069842756
no,2,90,3.0,10200,-78.4572248309442,0.37088448436636673,0.5161395040340722
no,2,90,3.0,10400,-78.45801531050917,0.3370339572429657,0.5185860036872327
no,2,90,3.0,10600,-78.45847660170661,0.3885070838426289,0.5174744231626391
no,2,90,3.0,10800,-78.45870430886924,0.37784752092863383,0.5203293063677847
no,2,90,3.0,11000,-78.4588333667449,0.331784525984212,0.5168045861646533
no,2,90,3.0,11200,-78.45848848226437,0.3442438433044835,0.5205810107290745
no,2,90,3.0,11400,-78.45859642970379,0.3756070184080224,0.5182961728423834
no,2,90,3.0,11600,-78.4579726794141,0.34524707574593394,0.5183676332235336
no,2,90,3.0,11800,-78.45789113092553,0.3532213176551618,0.5219451230950654
no,2,90,3.0,12000,-78.45796130172671,0.3559330027354391,0.5160709018819034
no,2,90,3.0,12200,-78.4580255914483,0.3923957049846649,0.5180095490068197
no,2,90,3.0,12400,-78.45805417101376,0.33930296960629913,0.5200869212858379
no,2,90,3.0,12600,-78.45800261762584,0.4196501091906899,0.5198508547618985
no,2,90,3.0,12800,-78.45797153559272,0.3371746493013282,0.5210721339099109
no,2,90,3.0,13000,-78.45819535550223,0.34996492925443146,0.515501786954701
no,2,90,3.0,13200,-78.45773146014497,0.3608227042775405,0.5183122302405536
no,2,90,3.0,13400,-78.4578977674244,0.32764313722911637,0.5164263979531825
no,2,90,3.0,13600,-78.45827670831004,0.33484648873931483,0.5186440069228411
no,2,90,3.0,13800,-78.45829969065854,0.3304157884497392,0.5185527089051902
no,2,90,3.0,14000,-78.45855139573406,0.32745325879046794,0.5148564171977341
no,2,90,3.0,14200,-78.45876987294528,0.3356190323829651,0.515252151992172
no,2,90,3.0,14400,-78.459057983824,1.1225848276364176,0.5144706619903445
no,2,90,3.0,14600,-78.45927044219975,0.34638090823826034,0.5188572369515896
no,2,90,3.0,14800,-78.45938773586367,0.358759310684706,0.5178673607297242
no,2,90,3.0,15000,-78.45906519250862,0.3447162759931464,0.522390547208488
no,2,90,3.0,15200,-78.45908667314629,0.3373021844186281,0.5185579620301723
no,2,90,3.0,15400,-78.45899263016355,0.32080028715886566,0.5165755930356681
no,2,90,3.0,15600,-78.4588514975279,0.32813803459468643,0.5193325290456414
no,2,90,3.0,15800,-78.45888541691578,0.4098716660549766,0.5199380149133503
no,2,90,3.0,16000,-78.45882096987111,0.3538329773827603,0.5159265440888703
no,2,90,3.0,16200,-78.45883897625762,0.33380084759310674,0.5187949379906058
no,2,90,3.0,16400,-78.45856385624487,0.38954823424941615,0.5152803962118924
no,2,90,3.0,16600,-78.45837578392782,0.32115882164553594,0.5148465759120882
no,2,90,3.0,16800,-78.45846739255401,0.3885246578015779,0.5188497640192509
no,2,90,3.0,17000,-78.45831680187257,0.32952332496643066,0.5212570182047784
no,2,90,3.0,17200,-78.45866250464083,0.3240040462268026,0.5158783341757953
no,2,90,3.0,17400,-78.45876108824181,0.34233693386379044,0.5221273791976273
no,2,90,3.0,17600,-78.45862827017697,0.3881979663121073,0.5150400931015611
no,2,90,3.0,17800,-78.45870635717996,0.33285781741142273,0.517175693064928
no,2,90,3.0,18000,-78.45899773079147,0.32460074205147593,0.5186759480275214
no,2,90,3.0,18200,-78.45924259075707,0.382725433299416,0.515262202359736
no,2,90,3.0,18400,-78.45922532854964,0.38200607582142476,0.514856306836009
no,2,90,3.0,18600,-78.45937334282276,0.45900154741186844,0.5168129201047122
no,2,90,3.0,18800,-78.45917548843029,0.33123013690898295,0.5148567198775709
no,2,90,3.0,19000,-78.45922610646082,0.3233515149668643,0.515261113177985
no,2,90,3.0,19200,-78.45906189005426,0.38778022245356913,0.5150003279559314
no,2,90,3.0,19400,-78.4587275740458,0.3419845888489171,0.5178588950075209
no,2,90,3.0,19600,-78.45881158439859,0.3640309682017879,0.5204630112275481
no,2,90,3.0,19800,-78.45903289109314,0.35209187865257263,0.5152732781134546
no,2,90,5.0,0,-76.08445434570312,6.925905513763428,0.5273910723626614
no,2,90,5.0,200,-77.98204708680552,1.9793245604163723,0.5246781501919031
no,2,90,5.0,400,-78.27808423833808,0.9444858494557833,0.5242015207186341
no,2,90,5.0,600,-78.36602662954522,0.7379368041691027,0.5241340501233935
no,2,90,5.0,800,-78.40545585430282,0.5531291632275832,0.5257651647552848
no,2,90,5.0,1000,-78.42249506303948,0.49522690710268524,0.5249703489243984
no,2,90,5.0,1200,-78.43161530405409,0.4423017266549562,0.5249855336733162
no,2,90,5.0,1400,-78.43875496346858,0.41474773852448715,0.5250418339855969
no,2,90,5.0,1600,-78.44489916880688,0.4245164300266065,0.5248089698143303
no,2,90,5.0,1800,-78.44699611347889,0.3539759030467586,0.5256146462634206
no,2,90,5.0,2000,-78.45144501491126,0.3481587783286446,0.5259727379307151
no,2,90,5.0,2200,-78.4554419298554,0.3517539563931917,0.5256002489477396
no,2,90,5.0,2400,-78.45780062242495,0.35028082446048137,0.5252894200384617
no,2,90,5.0,2600,-78.45806317126292,0.37226124813682154,0.5272152139805257
no,2,90,5.0,2800,-78.45704259774003,0.32857424805038854,0.5258818753063679
no,2,90,5.0,3000,-78.45846850525413,0.3184637788094972,0.5263310191221535
no,2,90,5.0,3200,-78.45978821414745,0.2881365912525277,0.525999388191849
no,2,90,5.0,3400,-78.4594698784089,0.3208819972841363,0.5262545640580356
no,2,90,5.0,3600,-78.45916470408014,0.2891038875830801,0.5265341801568866
no,2,90,5.0,3800,-78.46072470814052,0.379436394101695,0.5262595941312611
no,2,90,5.0,4000,-78.46113065934216,0.3068356294380991,0.5261708800680935
no,2,90,5.0,4200,-78.46064416800483,0.31586802790039464,0.5262780031189322
no,2,90,5.0,4400,-78.46218782960788,0.28587703877373744,0.5263273846358061
no,2,90,5.0,4600,-78.46257575867091,0.30217524029706655,0.5301917786709964
no,2,90,5.0,4800,-78.46214012270973,0.362539731358227,0.5264450330287218
no,2,90,5.0,5000,-78.46186284343814,0.30290178719319794,0.5267683020792902
no,2,90,5.0,5200,-78.4612330463927,0.31247980735803904,0.5266452147625387
no,2,90,5.0,5400,-78.46143658782337,0.2610275863032592,0.5267670140601695
no,2,90,5.0,5600,-78.46202467929646,0.3585565066651294,0.5261388476938009
no,2,90,5.0,5800,-78.46186859640332,0.2966280587409672,0.5320020401850343
no,2,90,5.0,6000,-78.46199543073119,0.2565696874731465,0.5264454130083323
no,2,90,5.0,6200,-78.46260864224772,0.26596676832751226,0.5268908212892711
no,2,90,5.0,6400,-78.46366376472396,0.2521618149782482,0.5269355289638042
no,2,90,5.0,6600,-78.46397522990733,0.27003584174733414,0.5263348501175642
no,2,90,5.0,6800,-78.46400408297123,0.23455775176223956,0.5271699726581573
no,2,90,5.0,7000,-78.46439754787633,0.2901665513452731,0.5270142666995525
no,2,90,5.0,7200,-78.46462140968542,0.24205708346868815,0.526757359970361
no,2,90,5.0,7400,-78.46436941386933,0.2877561285307533,0.5270116901956499
no,2,90,5.0,7600,-78.46351941625824,0.250662824040965,0.5288434298709035
no,2,90,5.0,7800,-78.463513960803,0.24737792815032758,0.5270265489816666
no,2,90,5.0,8000,-78.46333576806346,0.2922329588940269,0.5271635567769408
no,2,90,5.0,8200,-78.46344543700836,0.25887572216360194,0.5271313199773431
no,2,90,5.0,8400,-78.46393360209889,0.24683520041014018,0.5271077170036733
no,2,90,5.0,8600,-78.46420240286811,0.24002409373459063,0.5269944500178099
no,2,90,5.0,8800,-78.46438797548797,0.275135800242424,0.5271532470360398
no,2,90,5.0,9000,-78.46467692844254,0.2651852071285248,0.5268774279393256
no,2,90,5.0,9200,-78.46458499074882,0.27781873314004196,0.5266346200369298
no,2,90,5.0,9400,-78.46435526044375,0.25564899883772196,0.5272878394462168
no,2,90,5.0,9600,-78.46418948852931,0.25365128015217026,0.5265437541529536
