geom,E,E_err,E_ext
HC,-335.2754795959473,0.0002568039767039617,-335.3114372838136
HFe,-335.18693732910157,0.00026773534392044096,-335.219490837678
HFe2,-335.19943406372073,0.0002734952808130654,-335.2323804402266
HS,-335.223862298584,0.0002701102122814917,-335.2598800266793
